timestep,Bin_x,Bin_y,Bin_z,B_in_mag,Bout_x,Bout_y,Bout_z,B_out_mag,Bam_x,Bam_y,Bam_z,Bam_mag
511.25,-0.8516,0.3988,1.9541,2.1686,-0.8506,0.4671,1.9811,2.206,-0.9632,0.4238,1.9169,2.1868
511.3125,-0.8541,0.3876,1.9765,2.1878,-0.8166,0.3521,2.0546,2.2388,-0.9274,0.3533,1.882,2.1276
511.375,-0.9536,0.4214,1.9824,2.2399,-0.832,0.5754,2.0496,2.2856,-0.946,0.3689,1.9397,2.1894
511.4375,-0.874,0.3984,1.8868,2.1172,-0.8262,0.5197,1.9853,2.2122,-0.9238,0.3466,1.8919,2.1337
511.5,-0.8038,0.431,1.937,2.141,-0.7798,0.498,2.0873,2.2832,-0.8978,0.3519,1.9287,2.1564
511.5625,-0.8958,0.5002,1.9837,2.2333,-0.8605,0.4397,2.12,2.3299,-0.9671,0.3452,1.9084,2.1671
511.625,-1.01,0.3627,1.8821,2.1665,-0.9156,0.4134,1.9775,2.218,-0.9942,0.3261,1.8434,2.1197
511.6875,-0.9536,0.3839,2.0006,2.2493,-0.9418,0.4064,2.0853,2.3239,-1.0233,0.3176,1.9431,2.2189
511.75,-1.0398,0.4877,1.9833,2.2919,-1.0117,0.4765,1.9831,2.2767,-1.0467,0.37,1.9274,2.2243
511.8125,-0.9182,0.3673,1.9654,2.2002,-0.9486,0.5829,1.9784,2.2702,-1.0347,0.3961,1.9054,2.2041
511.875,-1.0134,0.3635,1.8969,2.1812,-0.9828,0.4384,1.9847,2.2577,-1.0416,0.2701,1.8518,2.1417
511.9375,-0.9323,0.3836,1.9315,2.1788,-0.9319,0.3825,1.972,2.2144,-0.989,0.3336,1.8913,2.1602
512,-0.9006,0.4193,1.9752,2.2109,-0.9745,0.4555,2.0416,2.3076,-1.0008,0.3528,1.9213,2.1949
512.0625,-0.9733,0.3255,1.9019,2.1611,-0.8796,0.3926,1.9966,2.2168,-0.9914,0.2404,1.8797,2.1386
512.125,-0.9821,0.3728,2.0002,2.2593,-0.9253,0.4876,2.0313,2.2847,-0.9869,0.3172,1.9201,2.1821
512.1875,-1.06,0.4698,1.9773,2.2922,-1.0023,0.5135,2.0485,2.3377,-1.1058,0.4016,1.9085,2.242
512.25,-1.0513,0.4471,1.9179,2.2324,-1.0345,0.4901,1.9323,2.2459,-1.0609,0.4041,1.8807,2.1968
512.3125,-1.0426,0.4398,1.9035,2.2144,-0.8737,0.5573,2.021,2.2712,-1.0535,0.3646,1.904,2.2064
512.375,-1.0764,0.4355,1.9175,2.2416,-0.999,0.5277,1.9696,2.2707,-1.0813,0.3585,1.8742,2.1933
512.4375,-1.0133,0.2831,1.9959,2.2563,-0.9405,0.341,1.9595,2.2001,-1.0416,0.3116,1.8406,2.1377
512.5,-1.126,0.4073,1.8531,2.2063,-1.0143,0.3673,1.9001,2.185,-1.0933,0.3667,1.8629,2.1909
512.5625,-1.0277,0.2933,1.8885,2.17,-1.0422,0.4056,2.0138,2.3035,-1.0908,0.2926,1.882,2.1948
512.625,-1.0729,0.3619,1.9485,2.2536,-1.0463,0.3809,1.9865,2.2773,-1.054,0.3048,1.9067,2.1998
512.6875,-1.0802,0.4946,2.0038,2.3295,-0.8594,0.379,1.9517,2.1659,-1.0472,0.316,1.8535,2.1522
512.75,-1.0794,0.3349,1.8187,2.1413,-0.9206,0.4599,1.8776,2.1411,-1.0621,0.2534,1.8111,2.1148
512.8125,-1.0481,0.3682,1.8633,2.1693,-0.9765,0.4399,1.9159,2.195,-1.107,0.2978,1.8214,2.1521
512.875,-1.095,0.3654,1.875,2.2019,-1.0822,0.4486,2.0015,2.3192,-1.0912,0.2875,1.9119,2.2201
512.9375,-1.037,0.2122,1.9155,2.1884,-0.9922,0.362,2.0451,2.3017,-1.0878,0.2167,1.9054,2.2047
513,-1.0383,0.3302,1.7942,2.0992,-1.0462,0.2984,1.8529,2.1487,-1.106,0.1966,1.7988,2.1207
513.0625,-0.9953,0.1602,2.0064,2.2455,-1.0153,0.2083,2.0078,2.2595,-1.0972,0.1334,1.8742,2.1758
513.125,-1.1463,0.2455,1.9013,2.2337,-1.1145,0.2644,2.0664,2.3627,-1.1347,0.2063,1.8835,2.2086
513.1875,-1.0494,0.2762,1.9645,2.2443,-1.083,0.2903,1.9863,2.2809,-1.1293,0.199,1.8632,2.1878
513.25,-1.0792,0.2076,1.8923,2.1883,-1.002,0.2511,2.0244,2.2727,-1.1277,0.1044,1.8427,2.1629
513.3125,-1.068,0.1184,1.9621,2.2371,-1.0055,0.2209,2.0256,2.2722,-1.0983,0.0659,1.9077,2.2022
513.375,-1.0598,0.1706,2.0186,2.2863,-1.0236,0.2333,1.9832,2.244,-1.1068,0.1279,1.8589,2.1672
513.4375,-1.1091,0.0415,1.9126,2.2113,-1.1265,0.0711,1.9572,2.2593,-1.1442,0.0498,1.8427,2.1696
513.5,-1.0167,0.0264,1.9083,2.1625,-1.0244,0.2573,1.9747,2.2394,-1.1132,0.0759,1.8707,2.1781
513.5625,-1.079,0.1608,1.9826,2.2629,-1.0954,0.2391,1.9553,2.2539,-1.1386,0.1377,1.8769,2.1996
513.625,-1.0441,0.0851,2.0442,2.297,-1.0909,0.1004,1.9701,2.2542,-1.0996,0.0773,1.9145,2.2092
513.6875,-1.0447,0.0527,1.9137,2.1809,-0.9147,0.1636,1.9593,2.1685,-1.1145,0.0704,1.806,2.1234
513.75,-1.0986,0.1023,1.9067,2.2029,-1.0581,0.2458,1.9237,2.2092,-1.1478,0.0673,1.8509,2.1789
513.8125,-1.064,0.1508,1.8575,2.1459,-1.0203,0.057,1.9514,2.2028,-1.0933,-0.0041,1.857,2.155
513.875,-1.1855,-0.0463,2.0655,2.382,-1.0604,0.1282,1.9499,2.2233,-1.114,-0.039,1.9075,2.2093
513.9375,-1.0671,0.1137,1.9069,2.1882,-1.0736,0.1729,1.938,2.2223,-1.1396,0.037,1.8653,2.1861
514,-1.0406,0.0579,1.7827,2.065,-0.9396,0.043,1.9774,2.1897,-1.0794,-0.0074,1.8656,2.1554
514.0625,-1.1709,0.0488,1.8127,2.1585,-1.0537,0.1493,1.9524,2.2236,-1.1811,0.0317,1.852,2.1968
514.125,-1.1009,-0.0968,2.0589,2.3367,-1.0725,-0.0112,2.009,2.2774,-1.1629,-0.0595,1.8959,2.2249
514.1875,-1.0816,-0.0481,1.9004,2.1872,-0.9638,-0.0191,1.9429,2.1689,-1.0955,-0.1411,1.8725,2.174
514.25,-1.0766,0.0103,1.8412,2.1329,-1.0276,0.0322,1.8615,2.1265,-1.079,-0.0689,1.8234,2.1198
514.3125,-1.0754,-0.0242,1.9335,2.2126,-0.9327,0.0307,2.0694,2.2701,-1.0795,-0.0609,1.8689,2.1591
514.375,-1.0861,0.0499,1.7512,2.0612,-0.9712,-0.0351,1.8334,2.075,-1.0836,-0.1266,1.7917,2.0977
514.4375,-0.9862,-0.109,1.8968,2.1406,-0.9835,-0.0667,1.9278,2.1652,-1.1076,-0.1736,1.8356,2.1509
514.5,-1.0515,-0.1296,1.9385,2.2091,-1.0015,-0.0067,1.9677,2.2079,-1.0985,-0.118,1.8814,2.1818
514.5625,-1.0345,0.0065,1.862,2.1301,-0.9732,0.0351,2.0001,2.2246,-1.0946,-0.0714,1.8386,2.1409
514.625,-1.1007,-0.1928,1.9308,2.2309,-0.9855,-0.0506,1.8499,2.0967,-1.1583,-0.2076,1.8024,2.1525
514.6875,-1.0989,-0.002,2.0049,2.2863,-1.1089,0.0444,2.0254,2.3096,-1.1683,-0.0943,1.9324,2.2601
514.75,-1.1025,-0.045,1.9931,2.2782,-1.1089,0.0204,2.0243,2.3083,-1.2074,-0.0785,1.9208,2.2701
514.8125,-1.1249,-0.0988,1.9232,2.2302,-1.072,-0.007,1.8687,2.1543,-1.2078,-0.1411,1.8739,2.2339
514.875,-1.1995,-0.1116,1.9307,2.2757,-1.0452,0.0082,1.9154,2.182,-1.1759,-0.1067,1.857,2.2006
514.9375,-1.1235,-0.1082,2.0131,2.3079,-1.1295,-0.0056,1.9669,2.2682,-1.1754,-0.1235,1.9165,2.2516
515,-1.151,0.0366,1.9534,2.2676,-1.0719,0.01,2.0212,2.2879,-1.1946,-0.0938,1.941,2.2811
515.0625,-1.1266,0.038,1.937,2.2411,-1.1017,0.1156,2.1036,2.3774,-1.1452,-0.0409,1.9242,2.2396
515.125,-1.1073,0.0165,2.0224,2.3057,-0.9992,0.0592,2.0899,2.3172,-1.1928,-0.0015,1.9257,2.2652
515.1875,-1.1571,-0.0219,1.927,2.2478,-1.0366,0.0508,2.0066,2.2591,-1.1852,0.0172,1.9369,2.2708
515.25,-1.0809,-0.0984,1.9108,2.1976,-1.0393,0.0228,1.9298,2.192,-1.1694,-0.0492,1.8967,2.2287
515.3125,-1.0863,-0.0168,1.9463,2.229,-1.0259,0.1296,2.0292,2.2775,-1.1524,-0.0136,1.8646,2.1921
515.375,-1.1485,0.0538,1.8906,2.2128,-1.1281,0.0744,1.9404,2.2458,-1.2058,0.0006,1.8587,2.2156
515.4375,-1.0787,-0.0189,1.927,2.2085,-0.9742,-0.0039,1.9294,2.1614,-1.127,-0.068,1.8647,2.1799
515.5,-1.0578,-0.0257,2.0151,2.276,-1.042,0.0937,2.0679,2.3175,-1.1389,-0.0883,1.9048,2.221
515.5625,-1.0089,0.066,1.9156,2.166,-0.9083,0.0722,2.0177,2.2139,-1.0875,-0.0199,1.9061,2.1946
515.625,-1.0544,0.1556,2,2.2662,-1.0702,0.1519,1.9787,2.2547,-1.1351,0.0373,1.8993,2.213
515.6875,-1.1283,-0.0049,2.0666,2.3546,-1.0277,0.0914,2.0414,2.2874,-1.1213,-0.0463,1.9546,2.2539
515.75,-1.105,0.0674,1.9273,2.2227,-1.0758,0.0592,1.9489,2.2269,-1.1115,-0.0092,1.9104,2.2102
515.8125,-1.188,0.1434,1.9962,2.3274,-1.0174,0.0983,1.9441,2.1964,-1.1535,0.0583,1.9009,2.2243
515.875,-1.025,-0.0904,1.9173,2.176,-1.0058,0.039,1.8736,2.1269,-1.0816,-0.0792,1.8591,2.1523
515.9375,-1.0882,0.0628,1.8665,2.1614,-1.1166,0.0646,1.9328,2.2331,-1.1569,-0.0289,1.8681,2.1975
516,-1.1495,-0.0047,1.8154,2.1488,-0.9361,0.1431,1.8724,2.0982,-1.1494,-0.006,1.7893,2.1267
516.0625,-1.0049,0.0237,1.9589,2.2018,-1.0152,0.1159,2.0233,2.2667,-1.1157,0.0165,1.8761,2.1828
516.125,-0.9988,0.0806,1.9826,2.2215,-1.05,0.1632,2.1141,2.3662,-1.1009,0.0871,1.9286,2.2224
516.1875,-1.0261,0.0354,1.9527,2.2062,-0.9184,0.0705,1.9616,2.1671,-1.0832,-0.0709,1.8815,2.1722
516.25,-1.0568,-0.0966,1.8623,2.1434,-1.0415,-0.0022,1.958,2.2178,-1.0984,-0.1543,1.8254,2.1359
516.3125,-0.9858,-0.0244,1.9932,2.2238,-0.9872,0.0881,2.0664,2.2918,-1.0959,-0.0689,1.9149,2.2074
516.375,-1.0305,-0.0774,1.9341,2.1928,-1.0959,-0.0674,2.0313,2.309,-1.1025,-0.1285,1.911,2.21
516.4375,-1.0223,-0.0058,1.9139,2.1699,-1.0055,-0.0463,1.9843,2.225,-1.1284,-0.0546,1.9059,2.2156
516.5,-1.0605,0.0405,2.01,2.273,-1.1032,0.1834,2.115,2.3925,-1.1703,0.0216,1.9677,2.2895
516.5625,-1.058,-0.03,1.9159,2.1888,-1.0114,0.0473,1.9763,2.2205,-1.0715,-0.0352,1.9032,2.1844
516.625,-1.0959,0.009,1.9863,2.2686,-1.008,0.0072,1.9165,2.1654,-1.1048,-0.0693,1.9296,2.2246
516.6875,-1.0714,-0.0632,1.9346,2.2124,-1.0399,0.0902,2.0137,2.2682,-1.1024,-0.0958,1.8812,2.1826
516.75,-1.072,-0.0329,1.9522,2.2274,-1.0097,0.0214,2.047,2.2826,-1.1054,-0.1612,1.9297,2.2297
516.8125,-1.0508,-0.1814,1.9383,2.2123,-0.9967,-0.1286,2.037,2.2714,-1.0702,-0.2088,1.9047,2.1947
516.875,-0.9981,-0.0811,2.0166,2.2515,-0.9111,-0.0929,1.9389,2.1443,-1.0638,-0.1466,1.8904,2.1741
516.9375,-0.9814,-0.0571,2.0055,2.2335,-0.8528,-0.1395,2.0007,2.1794,-1.0618,-0.1284,1.9305,2.207
517,-1.0215,-0.0437,1.8543,2.1174,-0.8775,-0.0018,2.006,2.1895,-1.0436,-0.0973,1.8657,2.1399
517.0625,-1.0037,-0.0877,1.8684,2.1227,-0.9117,-0.1689,1.9413,2.1513,-1.034,-0.1515,1.8393,2.1155
517.125,-0.9229,-0.0129,1.9865,2.1904,-0.9133,0.0198,2.0508,2.2451,-1.0155,-0.1264,1.9249,2.18
517.1875,-1.0658,-0.0587,1.9782,2.2478,-1.08,-0.1079,2.0064,2.2811,-1.0869,-0.1843,1.9804,2.2666
517.25,-1.086,-0.0465,1.9888,2.2665,-1.0328,-0.0722,2.071,2.3154,-1.0673,-0.1242,1.9674,2.2417
517.3125,-1.0821,-0.1527,1.9703,2.253,-0.9483,-0.1741,2.0156,2.2344,-1.0667,-0.1846,1.9231,2.2068
517.375,-0.9715,-0.3295,2.0287,2.2733,-0.9448,-0.1702,2.0051,2.2231,-1.0231,-0.2733,1.9386,2.209
517.4375,-0.8946,-0.1483,1.9341,2.1362,-0.8813,-0.1917,2.0686,2.2566,-1.0102,-0.2919,1.9217,2.1906
517.5,-0.9463,-0.1914,1.9416,2.1684,-0.9499,-0.126,1.9919,2.2104,-1.0322,-0.2793,1.8885,2.1702
517.5625,-0.9012,-0.178,1.9899,2.1917,-0.885,-0.0691,2.0621,2.245,-1.0044,-0.2182,1.9498,2.2042
517.625,-0.9603,-0.0914,2.0092,2.2288,-0.8945,-0.0144,1.9601,2.1546,-0.9829,-0.1429,1.9512,2.1895
517.6875,-0.8705,-0.298,2.0072,2.2081,-0.8212,-0.2414,2.0879,2.2566,-0.9155,-0.3629,1.9619,2.1953
517.75,-0.8878,-0.2441,1.9672,2.172,-0.8132,-0.2225,2.0196,2.1885,-0.9747,-0.3936,1.9355,2.2025
517.8125,-0.8258,-0.2981,1.9474,2.1361,-0.8295,-0.2202,1.9848,2.1624,-0.9641,-0.3333,1.8966,2.1536
517.875,-0.9166,-0.2445,2.038,2.248,-0.8515,-0.1992,2.0968,2.2718,-0.9943,-0.2536,1.9166,2.174
517.9375,-0.9537,-0.1819,1.9579,2.1854,-0.9112,-0.2284,1.9298,2.1463,-0.9874,-0.2769,1.892,2.1521
518,-0.965,-0.2949,1.8188,2.0799,-0.9315,-0.1783,1.9784,2.194,-0.9535,-0.243,1.8737,2.1163
518.0625,-0.8902,-0.3305,2.0861,2.2921,-0.7877,-0.288,2.0849,2.2472,-0.9024,-0.361,1.9357,2.166
518.125,-0.8502,-0.2777,2.051,2.2376,-0.8058,-0.3575,2.1191,2.2951,-0.941,-0.4225,1.939,2.1963
518.1875,-0.8636,-0.405,2.041,2.2529,-0.904,-0.4527,2.0566,2.2917,-0.9945,-0.4414,1.9707,2.2511
518.25,-0.9682,-0.2968,2.0637,2.2987,-0.9289,-0.3496,2.0608,2.2873,-0.9966,-0.398,1.985,2.2565
518.3125,-1.0574,-0.3312,2.0251,2.3084,-0.9762,-0.2198,2.0977,2.3242,-1.0417,-0.3501,2.0115,2.2921
518.375,-0.9097,-0.319,2.0771,2.2899,-0.8519,-0.2547,2.058,2.2419,-0.9999,-0.3889,1.9681,2.2416
518.4375,-0.8612,-0.259,2.0284,2.2188,-0.8727,-0.3418,2.145,2.3408,-0.9335,-0.3835,1.9953,2.236
518.5,-0.9776,-0.3125,2.0095,2.2564,-0.887,-0.2902,2.0782,2.2781,-0.9855,-0.373,1.9822,2.2449
518.5625,-0.9152,-0.3683,1.9966,2.227,-0.9273,-0.332,2.0359,2.2617,-0.9876,-0.4144,1.9113,2.1909
518.625,-0.972,-0.4035,2.0007,2.2606,-0.9006,-0.3136,2.0046,2.2199,-1.027,-0.4187,1.9309,2.2268
518.6875,-0.8891,-0.3086,2.0935,2.2953,-0.9655,-0.2041,2.1181,2.3367,-1.0302,-0.3341,2.0308,2.3015
518.75,-0.9893,-0.2597,2.0047,2.2506,-0.8946,-0.2366,2.0222,2.2238,-0.9855,-0.3294,1.9464,2.2064
518.8125,-0.8132,-0.3541,2.0133,2.2,-0.8193,-0.292,2.0538,2.2304,-0.9309,-0.4339,1.9563,2.2095
518.875,-1.0719,-0.3501,1.9571,2.2587,-0.8836,-0.2718,2.0806,2.2767,-1.0043,-0.4192,1.9401,2.2245
518.9375,-0.8944,-0.2448,1.9942,2.1993,-0.9242,-0.174,2.0304,2.2376,-1.0158,-0.3534,2.0063,2.2764
519,-0.9058,-0.2996,2.055,2.2657,-0.7932,-0.3475,2.0064,2.1853,-0.9708,-0.3557,1.9806,2.2343
519.0625,-0.9211,-0.2855,1.954,2.179,-0.8147,-0.1532,2.1331,2.2885,-0.9615,-0.3427,2.007,2.2517
519.125,-0.7645,-0.3237,2.0143,2.1787,-0.8021,-0.2188,2.0186,2.1831,-0.9159,-0.3408,1.9278,2.1614
519.1875,-0.9179,-0.2106,1.8989,2.1196,-0.886,-0.2603,2.1199,2.3123,-0.9635,-0.3295,1.93,2.1822
519.25,-0.9078,-0.3999,2.0361,2.2649,-0.9006,-0.2666,1.9475,2.1621,-0.995,-0.3536,1.9572,2.2239
519.3125,-1.0323,-0.2411,2.031,2.291,-0.9151,-0.2129,2.0096,2.2184,-1.0579,-0.3201,1.9582,2.2486
519.375,-0.9509,-0.3582,1.9369,2.1872,-0.8687,-0.3222,2.0015,2.2056,-0.9973,-0.4058,1.9119,2.1942
519.4375,-0.9473,-0.302,2.0407,2.2701,-0.9697,-0.3736,2.093,2.3368,-0.9893,-0.4421,1.9677,2.2463
519.5,-0.8873,-0.215,2.0021,2.2004,-0.8216,-0.2299,2.1047,2.2711,-0.9503,-0.3244,1.994,2.2325
519.5625,-0.9087,-0.2668,1.9716,2.1873,-0.8057,-0.2304,2.0997,2.2607,-0.9349,-0.2755,2.0233,2.2458
519.625,-0.8611,-0.2355,2.0262,2.2142,-0.8972,-0.1326,1.9792,2.1771,-0.9926,-0.2959,1.9294,2.1899
519.6875,-0.8787,-0.2188,2.027,2.2201,-0.9409,-0.2311,2.0977,2.3106,-0.9901,-0.331,1.9975,2.2539
519.75,-0.9148,-0.1817,1.9655,2.1756,-0.9386,-0.1639,2.051,2.2615,-1.0335,-0.2245,1.9156,2.1882
519.8125,-0.9291,-0.2161,2.0922,2.2994,-0.8474,-0.1645,2.2174,2.3795,-0.9958,-0.2945,2.0307,2.2808
519.875,-0.8865,-0.2778,2.0596,2.2594,-0.8986,-0.1468,2.0458,2.2393,-0.9893,-0.3555,1.9762,2.2384
519.9375,-0.8679,-0.2333,2.068,2.2549,-0.8729,-0.1872,2.1982,2.3725,-0.9986,-0.2612,1.9957,2.2468
520,-0.8822,-0.1916,2.015,2.208,-0.9007,-0.1097,2.1214,2.3073,-0.9417,-0.2418,2.0274,2.2484
520.0625,-0.9213,-0.2144,2.0676,2.2737,-0.9202,-0.1877,2.1007,2.3011,-0.978,-0.2759,1.9946,2.2385
520.125,-0.992,-0.1878,2.0525,2.2874,-0.8714,-0.1878,2.1367,2.3152,-0.9831,-0.2552,1.9835,2.2285
520.1875,-0.8898,-0.2849,2.1118,2.3093,-0.697,-0.031,2.0582,2.1733,-0.8669,-0.2542,1.953,2.1518
520.25,-0.825,-0.1347,2.0631,2.226,-0.704,-0.0407,2.127,2.2408,-0.8631,-0.2394,1.9987,2.1902
520.3125,-0.9054,-0.3173,2.0981,2.3071,-0.8182,-0.2777,2.2587,2.4183,-0.9269,-0.3114,2.0963,2.3132
520.375,-0.8057,-0.2504,2.0863,2.2505,-0.7407,-0.1418,2.2109,2.336,-0.8523,-0.2597,2.0542,2.2392
520.4375,-0.7221,-0.3238,2.0725,2.2184,-0.8382,-0.1698,2.0326,2.2052,-0.8655,-0.2847,1.9806,2.1802
520.5,-0.9088,-0.2314,2.0108,2.2187,-0.801,-0.1908,2.0528,2.2118,-0.9169,-0.2815,2.0172,2.2336
520.5625,-0.7797,-0.1583,2.0584,2.2068,-0.7405,-0.1703,2.141,2.2718,-0.8836,-0.213,2.0289,2.2232
520.625,-0.8197,-0.2157,2.0366,2.206,-0.7938,-0.1491,2.1004,2.2503,-0.849,-0.2365,2.0115,2.1961
520.6875,-0.7445,-0.1947,2.1005,2.237,-0.7362,-0.146,2.1383,2.2662,-0.859,-0.2589,2.0627,2.2494
520.75,-0.7952,-0.0843,1.9658,2.1222,-0.7737,-0.1945,2.0761,2.2241,-0.8514,-0.2183,1.9913,2.1766
520.8125,-0.7745,-0.0539,1.9325,2.0826,-0.7139,-0.0952,1.9823,2.109,-0.8813,-0.1636,1.9418,2.1387
520.875,-0.7499,-0.2394,2.0476,2.1937,-0.7582,-0.2601,2.0455,2.197,-0.898,-0.3138,1.9939,2.2092
520.9375,-0.8637,-0.3333,2.1485,2.3395,-0.7607,-0.2512,2.1876,2.3297,-0.8744,-0.3429,2.0318,2.2383
521,-0.8394,-0.2966,2.1452,2.3226,-0.7621,-0.25,2.1515,2.2961,-0.8711,-0.2983,2.0461,2.2437
521.0625,-0.8382,-0.1915,2.0954,2.265,-0.8853,-0.2527,2.1525,2.3412,-0.8643,-0.3093,2.0104,2.21
521.125,-0.7163,-0.1306,2.0398,2.1658,-0.7269,-0.1181,2.0239,2.1537,-0.8289,-0.2239,2.0022,2.1785
521.1875,-0.7836,-0.294,2.0022,2.1701,-0.6889,-0.2228,2.141,2.2601,-0.8089,-0.2947,2.0299,2.2049
521.25,-0.8709,-0.1705,2.0784,2.2599,-0.6766,-0.2185,2.0557,2.1752,-0.8276,-0.2626,2.0317,2.2094
521.3125,-0.739,-0.1238,2.0537,2.1861,-0.7191,-0.2165,2.1977,2.3224,-0.8383,-0.2199,2.0142,2.1927
521.375,-0.8587,-0.267,2.0958,2.2806,-0.6376,-0.1993,2.203,2.302,-0.8102,-0.347,2.0015,2.1869
521.4375,-0.7971,-0.3002,2.0724,2.2406,-0.732,-0.1236,2.1199,2.2461,-0.807,-0.2958,1.9735,2.1526
521.5,-0.7355,-0.2659,2.0409,2.1856,-0.7574,-0.1924,2.1723,2.3086,-0.8098,-0.3041,2.0088,2.1872
521.5625,-0.6346,-0.2416,1.9769,2.0902,-0.7417,-0.1368,2.0985,2.2299,-0.8276,-0.2612,1.9665,2.1495
521.625,-0.8122,-0.1587,2.0234,2.1861,-0.7819,-0.099,2.1972,2.3343,-0.8929,-0.2654,2.0094,2.2148
521.6875,-0.8497,-0.2938,2.0316,2.2216,-0.8103,-0.1938,2.099,2.2583,-0.8626,-0.2829,1.9759,2.1745
521.75,-0.8107,-0.2958,1.944,2.1269,-0.7698,-0.1689,2.055,2.201,-0.8966,-0.3184,1.9991,2.214
521.8125,-0.8209,-0.3427,2.0995,2.2802,-0.6421,-0.1969,2.1232,2.2269,-0.8026,-0.3383,2.0259,2.2052
521.875,-0.7781,-0.2868,2.0802,2.2394,-0.7337,-0.1915,2.1718,2.3003,-0.8254,-0.2862,1.9837,2.1676
521.9375,-0.8391,-0.2524,2.0193,2.2012,-0.8266,-0.212,2.0104,2.184,-0.8411,-0.2987,1.9174,2.115
522,-0.8185,-0.1293,2.0142,2.178,-0.5979,-0.1998,2.1448,2.2355,-0.7924,-0.2742,2.0042,2.1725
522.0625,-0.8149,-0.2006,2.0382,2.2042,-0.6625,-0.171,2.1067,2.215,-0.8291,-0.3145,2.0101,2.197
522.125,-0.8491,-0.3448,1.9841,2.1855,-0.7433,-0.2649,1.9695,2.1217,-0.8502,-0.3698,1.9228,2.1346
522.1875,-0.8706,-0.3493,1.992,2.2018,-0.8304,-0.1739,2.0073,2.1793,-0.8306,-0.3572,1.9648,2.1628
522.25,-0.8551,-0.3473,2.0808,2.2763,-0.7281,-0.3323,2.0718,2.221,-0.8644,-0.3911,1.9595,2.1771
522.3125,-0.7481,-0.2278,2.0499,2.194,-0.6197,-0.2984,2.0368,2.1498,-0.8099,-0.362,1.9698,2.1603
522.375,-0.7012,-0.2608,2.0075,2.1424,-0.7701,-0.2272,2.0251,2.1784,-0.792,-0.3475,1.9152,2.1014
522.4375,-0.7586,-0.4046,2.1406,2.3068,-0.6957,-0.3923,2.1627,2.3054,-0.8101,-0.442,2.0384,2.2376
522.5,-0.8041,-0.4791,2.0916,2.2914,-0.7383,-0.551,2.1334,2.3238,-0.8553,-0.5177,1.9985,2.2346
522.5625,-0.8221,-0.2976,2.0008,2.1835,-0.7474,-0.216,2.1849,2.3193,-0.8214,-0.3409,1.9547,2.1475
522.625,-0.7374,-0.365,1.9405,2.1077,-0.7685,-0.3379,2.0111,2.1793,-0.8557,-0.3978,1.8798,2.1034
522.6875,-0.7908,-0.3533,1.9602,2.143,-0.7666,-0.3584,2.1088,2.2723,-0.845,-0.5303,1.9978,2.233
522.75,-0.813,-0.4951,1.9394,2.1604,-0.8915,-0.2989,2.0652,2.2692,-0.8652,-0.4557,2.0165,2.2411
522.8125,-0.6941,-0.3594,1.9503,2.1011,-0.7733,-0.3734,2.0838,2.2539,-0.8756,-0.4171,1.9755,2.2007
522.875,-0.7684,-0.4254,1.9761,2.1625,-0.6828,-0.3248,2.065,2.1991,-0.8344,-0.4607,1.9711,2.1895
522.9375,-0.7834,-0.4925,2.1001,2.295,-0.6885,-0.3487,2.1186,2.2548,-0.8492,-0.5183,2.0147,2.247
523,-0.708,-0.4075,1.9883,2.1496,-0.6755,-0.3651,2.0716,2.2093,-0.8153,-0.5004,2.0329,2.2467
523.0625,-0.8043,-0.4057,2.003,2.1962,-0.8036,-0.392,2.0647,2.25,-0.8502,-0.4783,1.9664,2.1951
523.125,-0.8078,-0.4858,1.869,2.0933,-0.7648,-0.397,1.9968,2.1748,-0.8283,-0.5199,1.9151,2.1503
523.1875,-0.7854,-0.4792,2.1183,2.3095,-0.7524,-0.386,2.1609,2.3204,-0.8231,-0.5372,2.0805,2.301
523.25,-0.7268,-0.4177,1.9599,2.1316,-0.6999,-0.3145,2.0967,2.2327,-0.7969,-0.4678,1.9813,2.1861
523.3125,-0.6601,-0.3394,2.017,2.1493,-0.6922,-0.335,2.0997,2.2361,-0.7998,-0.4553,1.9864,2.1892
523.375,-0.7336,-0.4146,2.0781,2.2424,-0.6556,-0.3566,2.1478,2.2738,-0.7829,-0.5014,1.9899,2.1964
523.4375,-0.762,-0.4953,2.1555,2.3392,-0.7345,-0.559,2.1768,2.3644,-0.792,-0.5615,2.0976,2.3114
523.5,-0.7076,-0.4578,2.0849,2.2488,-0.7263,-0.494,2.2724,2.4362,-0.7933,-0.4909,2.0494,2.2518
523.5625,-0.7528,-0.4084,1.9664,2.1448,-0.6656,-0.3911,2.1052,2.2423,-0.7608,-0.4567,1.9472,2.1399
523.625,-0.835,-0.4202,2.025,2.2304,-0.7429,-0.339,1.9418,2.1065,-0.8085,-0.4484,1.8961,2.1095
523.6875,-0.7089,-0.5696,2.2488,2.4257,-0.6649,-0.4672,2.0865,2.2392,-0.76,-0.5821,2.0082,2.2247
523.75,-0.7718,-0.5707,1.9497,2.1732,-0.6467,-0.4122,2.1255,2.2596,-0.744,-0.5319,1.9287,2.1345
523.8125,-0.7614,-0.4851,2.0056,2.1994,-0.6208,-0.4157,2.1193,2.2471,-0.7732,-0.529,2.0195,2.2263
523.875,-0.8439,-0.5515,2.0776,2.3093,-0.7385,-0.7171,2.1073,2.3453,-0.8499,-0.664,2.0003,2.2726
523.9375,-0.7806,-0.5307,1.9531,2.1692,-0.7542,-0.461,2.0624,2.2438,-0.8133,-0.5812,1.981,2.2189
