iteration,dKx,dKy,dKz,rmse_neubauer_x,rmse_neubauer_y,rmse_neubauer_z,rmse_B2_x,rmse_B2_y,rmse_B2_z,rmse_B1_x,rmse_B1_y,rmse_B1_z,rmse_B0_x,rmse_B0_y,rmse_B0_z,rmse_waicup_x,rmse_waicup_y,rmse_waicup_z,rmse_ramen_x,rmse_ramen_y,rmse_ramen_z,rmse_hog_x,rmse_hog_y,rmse_hog_z,rmse_ubss_x,rmse_ubss_y,rmse_ubss_z,snr_neubauer_x,snr_neubauer_y,snr_neubauer_z,snr_B2_x,snr_B2_y,snr_B2_z,snr_waicup_x,snr_waicup_y,snr_waicup_z,snr_hog_x,snr_hog_y,snr_hog_z,snr_ramen_x,snr_ramen_y,snr_ramen_z,snr_ubss_x,snr_ubss_y,snr_ubss_z
0,0.24048601722493526,1.4538590232055608,1.2714749048951444,0.18393708719893512,0.14029333755695633,0.27401080622337715,0.18393708719891935,0.1402933375569655,0.2740108062233762,0.3354309782555742,0.2283161348049224,0.5113793356751567,0.6738830636619747,0.3847477212446094,1.0585111520637611,7.7573359066957845,9.69596096169726,1.655733369019291,0.13875366424757007,0.047907583407456045,0.08869252261939692,0.17851674446631005,0.12896566073275878,0.12318184990860201,0.27813637073647324,0.19736377383176318,0.3783415309695383,62.34603487615924,64.108724557543,46.53764277473124,62.346034876159976,64.10872455754243,46.53764277473128,29.845169019953453,27.317648335420927,30.91318855562843,62.605841807783506,64.83998375018767,53.48206214701364,64.79453175328389,73.44138021278808,56.335256437048244,58.75426530251751,61.144116684590664,43.73531624726991
1,5.609261745783061,1.1670305041207658,1.0091593812338397,0.24333672980969742,0.4098105216236359,0.6346750929863575,0.24333672980969306,0.4098105216237386,0.634675092986407,0.44110562500813705,0.7404712299144949,1.0803802133749907,0.894756996013412,1.4375758311548366,1.9633106957040696,4.210825498031616,7.668232333887517,1.7219844343417345,0.18439554033310007,0.1641337605617874,0.398699962590222,0.23916954185884207,0.3981792392405872,0.6196183254014271,0.7781509417777135,120.94445823796903,0.823653044462083,59.91526762585751,54.797803411586045,39.24196747888128,59.91526762585767,54.79780341158388,39.24196747888058,35.15207609019373,29.35556024521358,30.57241215748232,60.06530353939368,55.04789325040051,39.450511511816316,62.324412705945214,62.745507100854205,43.280072686944266,49.81814402364029,5.397746031058409,36.9781104242563
2,0.4959737821648153,0.19409876037428034,1.31168491408688,0.15505918925100218,0.18641868478514442,0.27327040088600724,0.15505918925098577,0.18641868478519963,0.27327040088600585,0.2788725190996907,0.34299082120642954,0.4505592661374992,0.5505095100547475,0.6881738165199193,0.7994948798118509,3.937388197015743,5.00932384971604,1.8347357895214624,0.11943809214686944,0.022337648966426794,0.16909762807554005,0.15129991437501264,0.17961232208779151,0.2579845848000218,0.4138014053749761,0.7608228390109083,0.20759460984803,63.829470794354215,61.63967670783509,46.56114470714864,63.82947079435512,61.63967670783251,46.56114470714868,35.73525626998358,33.053883311043194,30.021525931851404,64.04264732686534,61.9627429483255,47.06112145324562,66.096563820983,80.0687162650653,50.73024626895566,55.303581745596794,49.423794677687326,48.94867512610816
3,0.8282100484336051,97.3761653179754,2.0634354879788983,0.24225207575756957,0.3481744808122144,0.7210145017194813,0.242252075757608,0.3481744808122242,0.7210145017195143,0.44918817675569195,0.6258783265494199,1.358660972272387,0.9574437161263659,1.2898357375088065,2.8177002750491793,6.49159610869591,9.274073393076224,1.8420715239105996,0.18049340714661077,0.1705547119911423,0.22213536592407707,0.23057231405017783,0.31809930196773717,0.7190592854852017,2.884747264490673,2.429100302087356,2.783548139933686,59.954070831173915,56.21352676724583,38.134116590301026,59.954070831172515,56.2135267672456,38.134116590300636,31.392391146744853,27.704054930645448,29.9868668059138,60.38327780736501,56.99821117844195,38.157702607928435,62.510194109188205,62.412191053293654,48.360642433326205,38.43726556779314,39.3405565403162,26.40102185335957
4,0.31734506714064487,1.1174861143714925,0.9413927595157895,0.16691687026061192,0.41168275775073876,0.42422266473760306,0.16691687026061763,0.4116827577507308,0.4242226647375835,0.280209663362981,0.764439696865893,0.7241059071597266,0.4909497650699465,1.5884398595355411,1.3612620678246519,4.44237366169554,4.959914014393043,2.523178128517436,0.1443333218365065,0.1395817658375978,0.25283329851265596,0.15464654232981784,0.4040978945842158,0.40735820212601376,4.137611503341121,0.6424784997356751,1.361663637949952,63.1894163123468,54.758211938495414,42.74111923239916,63.18941631234648,54.758211938495585,42.74111923239957,34.687119259897386,33.139982548841274,27.254038356446717,63.85261668655036,54.91973374635372,43.09346728078778,64.4520888309327,64.15289173544798,47.236311173375604,35.30442675928229,50.89229352502544,32.61159978202543
5,5.37991116429449,1.956771299594654,4.572245952462135,0.2523227197719421,0.35077065264626084,1.0982766352149174,0.2523227197719376,0.35077065264627455,1.0982766352149145,0.4809930784613278,0.7047621789543738,1.993237421769731,1.0323496337017857,1.638101244397712,3.9394492119103646,4.51209462597142,8.073102404751252,2.35262410693111,0.176909024758187,0.22286328770964964,0.4399853930099436,0.2481664624505912,0.3421486109849908,1.080306316783777,0.3804930317402669,1.0783549318154797,1.3820741937451784,59.600293826833806,56.14900048425121,34.47876169520631,59.60029382683393,56.149000484250855,34.47876169520632,34.55185699306998,28.908656272295538,27.861945728263002,59.74455917197616,56.36516987566935,34.622058274964914,62.68442120413306,60.08869484040144,42.42423141186205,56.03248681948277,46.39423092240344,32.48236942821065
6,17.146489542251462,7.327738538007877,0.1693075117735755,0.321086891437583,0.14232524916177994,0.5971555276090637,0.3210868914376341,0.14232524916173708,0.5971555276090437,0.5506209408277437,0.26748868569628886,1.074644113216377,1.0105373248804597,0.5756820660832392,2.113884221203293,2.6844205485128305,6.356089020545204,2.0684402147107,0.2665397015396949,0.06448082440030412,0.24112933318095534,0.30960862283728413,0.10071441203275662,0.5337727407070485,0.8918283795551205,0.2258684383045412,0.7563697307685432,57.50696945975279,63.983826444783475,39.77124745052908,57.50696945975142,63.98382644478609,39.77124745052937,39.06240988046075,30.98566607817494,28.980137130088444,57.82316001946985,66.98763306682203,40.74586876540237,59.124182830154766,70.86085387293028,47.64799568219418,48.633795206706836,59.97235451883263,37.71831377622024
7,3.4161592190950483,2.6281384463705457,0.40283767368935525,0.08045635394101656,0.16114768394648105,0.4379223735730261,0.0804563539411124,0.16114768394646584,0.43792237357301433,0.130019056771725,0.29981973344820745,0.761612874140521,0.22327261661028064,0.6345732544659972,1.4137043274019865,4.867558765867776,5.698373174935527,2.6353134827972937,0.07121036492812896,0.08800724859196209,0.22173383374589928,0.07838089484922095,0.15331221740937268,0.4252047140979171,0.14399763488325298,0.31900535542130604,0.6124514893519515,69.52821401855766,62.90498413827035,42.465053905560346,69.52821401854735,62.904984138271175,42.46505390556058,33.89319690281682,31.934447762383662,26.876350905794574,69.75521662434603,63.33793019954835,42.72103517018066,70.58855674408878,68.15909662700332,48.376357266163154,64.47231379171704,56.97350602044884,39.55156268336221
8,0.478724012390237,26.15469256974422,3.353919044505007,0.2100851909976816,0.25542271198331085,0.4807247061343215,0.21008519099766493,0.2554227119833341,0.4807247061343209,0.35997696937691925,0.4653360098399695,0.8087320472603207,0.6591184118308664,0.9351647550325606,1.4536036408404305,3.230377917973379,4.646296073465886,4.243551162272664,0.17478601207662442,0.08863734087267157,0.28102501699385257,0.19987728163909,0.25080662179975294,0.46780960542641103,0.190465155376627,0.2538644482547078,0.8150035910196224,61.191512174416644,58.90427526517694,41.65506773272185,61.19151217441733,58.90427526517614,41.655067732721854,37.454354314032166,33.707327887157504,22.738407733095837,61.62415228491814,59.06268552925194,41.89161388854405,62.78928749970446,68.09713112621566,46.318096930246284,62.04311026513015,58.95742778920408,37.06980613907394
9,1.3554265687672593,0.9242660490037573,0.4480399975346722,0.20794771012766203,0.22204535791162763,0.933549883660651,0.2079477101275308,0.22204535791159696,0.9335498836606281,0.38330033763573496,0.3907808663522576,1.6582842231300758,0.8064016849587311,0.7584865201937341,3.236734115392703,4.6546702845966355,11.45849855247674,1.8713152751458098,0.15426125407755822,0.061438006512014164,0.4070610734381698,0.20407103441323127,0.2196485287549829,0.9059192958726497,0.4639971458352724,0.11758623837321602,1.2997046759185078,61.280338124207404,60.12063153586062,35.890246001957124,61.28033812421289,60.120631535861826,35.89024600195732,34.281642512011686,25.86691121602549,29.850057332033128,61.44379365421137,60.2148995278424,36.1512063826204,63.874283818375865,71.28072318771675,43.09980511483189,54.30911478959433,65.64233555342898,33.01610295736309
