iteration,dKx,dKy,dKz,rmse_neubauer_x,rmse_neubauer_y,rmse_neubauer_z,rmse_B2_x,rmse_B2_y,rmse_B2_z,rmse_B1_x,rmse_B1_y,rmse_B1_z,rmse_B0_x,rmse_B0_y,rmse_B0_z,rmse_waicup_x,rmse_waicup_y,rmse_waicup_z,rmse_ramen_x,rmse_ramen_y,rmse_ramen_z,rmse_hog_x,rmse_hog_y,rmse_hog_z,rmse_ubss_x,rmse_ubss_y,rmse_ubss_z,snr_neubauer_x,snr_neubauer_y,snr_neubauer_z,snr_B2_x,snr_B2_y,snr_B2_z,snr_waicup_x,snr_waicup_y,snr_waicup_z,snr_hog_x,snr_hog_y,snr_hog_z,snr_ramen_x,snr_ramen_y,snr_ramen_z,snr_ubss_x,snr_ubss_y,snr_ubss_z
0,0.24048601722493526,1.4538590232055608,1.2714749048951444,2.211745581541109,1.182497199181923,3.509605764345243,0.18393708719891935,0.1402933375569655,0.2740108062233762,0.3354309782555742,0.2283161348049224,0.5113793356751567,0.6738830636619747,0.3847477212446094,1.0585111520637611,7.7573359066957845,9.69596096169726,1.655733369019291,0.13875366424757007,0.047907583407456045,0.08869252261939692,0.18042940355908121,0.12937997910982466,0.13034574193127557,0.18042940355908121,0.12937997910982466,0.13034574193127557,40.744717604864306,45.59346308527409,24.387829891128142,62.346034876159976,64.10872455754243,46.53764277473128,29.845169019953453,27.317648335420927,30.91318855562843,62.51327470197457,64.81212396679295,52.991059616725295,64.79453175328389,73.44138021278808,56.335256437048244,62.51327470197457,64.81212396679295,52.991059616725295
1,5.609261745783061,1.1670305041207658,1.0091593812338397,129.38992294476992,207.59410786248495,269.97201110509286,0.24333672980969306,0.4098105216237386,0.634675092986407,0.44110562500813705,0.7404712299144949,1.0803802133749907,0.894756996013412,1.4375758311548366,1.9633106957040696,4.210825498031616,7.668232333887517,1.7219844343417345,0.18439554033310007,0.1641337605617874,0.398699962590222,0.23969026286106968,0.40076747655746814,0.6188970506952574,0.23969026286106968,0.40076747655746814,0.6188970506952574,5.401411887105371,0.7051650447517666,-13.333378249632178,59.91526762585767,54.79780341158388,39.24196747888058,35.15207609019373,29.35556024521358,30.57241215748232,60.046413138087296,54.991616099766425,39.46062832316271,62.324412705945214,62.745507100854205,43.280072686944266,60.046413138087296,54.991616099766425,39.46062832316271
2,0.4959737821648153,0.19409876037428034,1.31168491408688,9.245719622071746,11.719936415763726,12.595820267650824,0.15505918925098577,0.18641868478519963,0.27327040088600585,0.2788725190996907,0.34299082120642954,0.4505592661374992,0.5505095100547475,0.6881738165199193,0.7994948798118509,3.937388197015743,5.00932384971604,1.8347357895214624,0.11943809214686944,0.022337648966426794,0.16909762807554005,0.1521439660468843,0.18020381989791392,0.2598017711081759,0.1521439660468843,0.18020381989791392,0.2598017711081759,28.320606586694193,25.670960390262355,13.288467485771099,63.82947079435512,61.63967670783251,46.56114470714868,35.73525626998358,33.053883311043194,30.021525931851404,63.99432630903165,61.93418564514553,47.00015443722802,66.096563820983,80.0687162650653,50.73024626895566,63.99432630903165,61.93418564514553,47.00015443722802
3,0.8282100484336051,97.3761653179754,2.0634354879788983,9.16075540708323,12.22069148966873,26.475079337842356,0.242252075757608,0.3481744808122242,0.7210145017195143,0.44918817675569195,0.6258783265494199,1.358660972272387,0.9574437161263659,1.2898357375088065,2.8177002750491793,6.49159610869591,9.274073393076224,1.8420715239105996,0.18049340714661077,0.1705547119911423,0.22213536592407707,0.23212520620364896,0.3268206725248995,0.7197436077675626,0.23212520620364896,0.3268206725248995,0.7197436077675626,28.40079521977313,25.30754989023176,6.836251180574592,59.954070831172515,56.2135267672456,38.134116590300636,31.392391146744853,27.704054930645448,29.9868668059138,60.32497492084343,56.763275113626165,38.149440255527665,62.510194109188205,62.412191053293654,48.360642433326205,60.32497492084343,56.763275113626165,38.149440255527665
4,0.31734506714064487,1.1174861143714925,0.9413927595157895,4.274792939917206,15.437418097964345,12.566847168829737,0.16691687026061763,0.4116827577507308,0.4242226647375835,0.280209663362981,0.764439696865893,0.7241059071597266,0.4909497650699465,1.5884398595355411,1.3612620678246519,4.44237366169554,4.959914014393043,2.523178128517436,0.1443333218365065,0.1395817658375978,0.25283329851265596,0.1551229289774883,0.40523664609253024,0.409631748133573,0.1551229289774883,0.40523664609253024,0.409631748133573,35.021119302634524,23.277972170549294,13.308469916012918,63.18941631234648,54.758211938495585,42.74111923239957,34.687119259897386,33.139982548841274,27.254038356446717,63.82590104480984,54.895291254512735,43.045124407832525,64.4520888309327,64.15289173544798,47.236311173375604,63.82590104480984,54.895291254512735,43.045124407832525
5,5.37991116429449,1.956771299594654,4.572245952462135,10.730624674082867,17.768707335677494,39.26882337192872,0.2523227197719376,0.35077065264627455,1.0982766352149145,0.4809930784613278,0.7047621789543738,1.993237421769731,1.0323496337017857,1.638101244397712,3.9394492119103646,4.51209462597142,8.073102404751252,2.35262410693111,0.176909024758187,0.22286328770964964,0.4399853930099436,0.24248409801550677,0.34467009638767243,1.0812201854938086,0.24248409801550677,0.34467009638767243,1.0812201854938086,27.026920876105528,22.056348815341444,3.4120388148132563,59.60029382683393,56.149000484250855,34.47876169520632,34.55185699306998,28.908656272295538,27.861945728263002,59.945755710541405,56.30139338823955,34.61471368471945,62.68442120413306,60.08869484040144,42.42423141186205,59.945755710541405,56.30139338823955,34.61471368471945
