TIME_UTC                 BISX        BISY       BISZ       BIST         BOSX      BOSY       BOSZ       BOST      dBX        dBY        dBZ        dBT                                                 
2006-06-09T01:43:18.763   -590.464   -628.435   1792.638   1989.253      8.160    113.072    131.431    173.568   -598.624   -741.507   1661.207   1915.148
2006-06-09T01:43:18.771   -594.448   -627.842   1791.903   1989.591      7.763    113.181    130.960    173.264   -602.211   -741.022   1660.944   1915.856
2006-06-09T01:43:18.779   -594.336   -628.673   1796.620   1994.068      8.068    113.515    131.888    174.199   -602.404   -742.188   1664.732   1919.652
2006-06-09T01:43:18.787   -591.808   -628.493   1795.443   1992.199      8.060    113.211    131.895    174.006   -599.868   -741.704   1663.547   1917.644
2006-06-09T01:43:18.795   -592.512   -628.435   1792.038   1989.321      7.898    112.880    131.271    173.310   -600.410   -741.315   1660.767   1915.251
2006-06-09T01:43:18.802   -593.856   -628.957   1794.633   1992.225      8.109    112.977    131.583    173.619   -601.965   -741.935   1663.050   1917.958
2006-06-09T01:43:18.810   -593.088   -628.263   1795.976   1992.988      8.040    113.356    131.752    173.991   -601.128   -741.619   1664.225   1918.593
2006-06-09T01:43:18.818   -593.248   -627.752   1793.163   1990.339      7.555    113.195    131.448    173.634   -600.803   -740.948   1661.715   1916.055
2006-06-09T01:43:18.826   -593.104   -629.671   1793.651   1991.342      7.892    112.648    131.670    173.461   -600.996   -742.319   1661.981   1916.876
2006-06-09T01:43:18.834   -593.120   -629.271   1795.941   1993.283      8.146    113.144    131.791    173.888   -601.266   -742.416   1664.150   1918.879
2006-06-09T01:43:18.842   -593.824   -626.861   1793.505   1990.538      7.175    113.359    131.145    173.496   -600.999   -740.220   1662.360   1916.394
2006-06-09T01:43:18.849   -594.192   -628.704   1792.891   1990.676      7.292    112.683    131.423    173.270   -601.484   -741.387   1661.468   1916.224
2006-06-09T01:43:18.857   -592.656   -631.236   1796.379   1994.161      7.987    112.317    132.045    173.536   -600.643   -743.553   1664.334   1919.284
2006-06-09T01:43:18.865   -593.136   -627.784   1794.106   1991.166      7.639    113.345    130.968    173.372   -600.775   -741.128   1663.138   1917.350
2006-06-09T01:43:18.873   -594.944   -626.166   1791.191   1988.570      6.772    113.252    130.649    173.035   -601.716   -739.418   1660.543   1914.733
2006-06-09T01:43:18.881   -593.856   -631.197   1795.824   1994.006      7.420    112.102    132.077    173.397   -601.276   -743.300   1663.747   1918.875
2006-06-09T01:43:18.888   -592.704   -630.964   1796.813   1994.480      7.761    112.564    131.854    173.541   -600.465   -743.528   1664.959   1919.761
2006-06-09T01:43:18.896   -593.776   -625.901   1790.724   1987.716      7.000    113.381    130.113    172.724   -600.776   -739.281   1660.611   1914.445
2006-06-09T01:43:18.904   -595.376   -627.833   1792.147   1990.085      6.667    112.663    131.095    172.984   -602.043   -740.496   1661.051   1915.694
2006-06-09T01:43:18.912   -594.032   -633.023   1798.970   1997.469      7.211    111.789    132.772    173.716   -601.243   -744.811   1666.197   1921.575
2006-06-09T01:43:18.920   -592.688   -629.012   1794.036   1991.357      7.414    112.727    130.935    172.934   -600.102   -741.739   1663.101   1917.343
2006-06-09T01:43:18.927   -593.648   -625.372   1788.742   1985.725      6.756    112.956    129.904    172.278   -600.404   -738.328   1658.838   1912.421
2006-06-09T01:43:18.935   -596.144   -630.559   1795.867   1994.525      6.529    112.003    132.302    173.467   -602.673   -742.562   1663.565   1918.870
2006-06-09T01:43:18.943   -594.192   -632.848   1799.147   1997.621      7.074    111.737    132.588    173.536   -601.266   -744.585   1666.559   1921.808
2006-06-09T01:43:18.951   -591.840   -626.782   1790.313   1987.046      7.472    112.813    130.095    172.358   -599.312   -739.595   1660.219   1913.766
2006-06-09T01:43:18.959   -594.560   -626.707   1790.356   1987.873      6.387    112.664    130.632    172.622   -600.947   -739.370   1659.724   1913.764
2006-06-09T01:43:18.967   -597.568   -632.314   1799.322   1998.616      6.088    111.720    133.069    173.856   -603.656   -744.034   1666.252   1922.078
2006-06-09T01:43:18.974   -593.168   -631.224   1796.589   1994.499      7.105    111.984    131.941    173.203   -600.273   -743.208   1664.648   1919.307
2006-06-09T01:43:18.982   -591.184   -626.520   1788.776   1985.383      7.039    112.491    130.214    172.219   -598.223   -739.011   1658.562   1911.762
2006-06-09T01:43:18.990   -597.248   -628.616   1793.399   1992.020      5.740    112.132    131.519    172.927   -602.988   -740.747   1661.880   1916.806
2006-06-09T01:43:18.998   -597.520   -632.810   1800.472   1999.794      6.253    111.587    133.237    173.905   -603.773   -744.397   1667.235   1923.107
2006-06-09T01:43:19.006   -590.432   -629.891   1793.736   1990.694      7.398    111.879    131.316    172.672   -597.830   -741.769   1662.420   1916.054
2006-06-09T01:43:19.013   -593.040   -626.407   1788.895   1986.008      6.370    112.336    130.471    172.286   -599.410   -738.743   1658.425   1911.912
2006-06-09T01:43:19.021   -599.712   -630.363   1796.681   1996.265      5.287    111.690    132.526    173.395   -604.999   -742.052   1664.155   1919.916
2006-06-09T01:43:19.029   -594.656   -633.075   1799.820   1998.437      6.951    111.357    133.060    173.648   -601.607   -744.432   1666.760   1922.030
2006-06-09T01:43:19.037   -589.616   -628.764   1791.498   1988.078      7.047    111.930    131.173    172.581   -596.663   -740.694   1660.325   1913.456
2006-06-09T01:43:19.045   -596.368   -627.233   1790.233   1988.469      5.631    111.959    130.958    172.385   -601.999   -739.192   1659.274   1913.635
2006-06-09T01:43:19.052   -599.312   -631.736   1799.042   1998.704      5.928    111.429    133.165    173.737   -605.240   -743.165   1665.878   1921.915
2006-06-09T01:43:19.060   -591.312   -632.441   1798.434   1995.995      7.245    111.275    133.115    173.650   -598.557   -743.717   1665.319   1919.550
2006-06-09T01:43:19.068   -591.456   -627.515   1789.525   1986.453      6.489    111.740    131.021    172.320   -597.945   -739.254   1658.504   1911.720
2006-06-09T01:43:19.076   -598.800   -628.532   1792.957   1992.061      5.507    111.555    131.734    172.709   -604.307   -740.086   1661.223   1916.397
2006-06-09T01:43:19.084   -596.624   -633.427   1801.330   2000.495      6.562    110.913    134.035    174.098   -603.186   -744.339   1667.295   1922.953
2006-06-09T01:43:19.092   -590.032   -630.895   1795.571   1992.547      7.213    111.284    132.571    173.238   -597.245   -742.180   1663.000   1916.534
2006-06-09T01:43:19.099   -594.400   -627.121   1789.170   1986.887      6.030    111.618    131.301    172.438   -600.430   -738.739   1657.869   1911.748
2006-06-09T01:43:19.107   -598.544   -630.946   1797.187   1996.554      5.983    111.083    133.172    173.522   -604.527   -742.029   1664.015   1919.637
2006-06-09T01:43:19.115   -594.320   -633.329   1801.226   1999.684      6.702    110.756    134.282    174.194   -601.022   -744.085   1666.943   1921.871
2006-06-09T01:43:19.123   -590.768   -629.253   1792.396   1989.384      6.864    111.095    132.139    172.771   -597.632   -740.348   1660.257   1913.565
2006-06-09T01:43:19.131   -595.904   -628.605   1791.266   1989.693      6.243    111.219    132.108    172.804   -602.147   -739.824   1659.158   1913.825
2006-06-09T01:43:19.138   -597.424   -632.473   1800.393   1999.588      6.209    110.884    134.203    174.196   -603.633   -743.357   1666.190   1921.754
2006-06-09T01:43:19.146   -592.944   -631.510   1798.491   1996.236      6.765    111.010    133.667    173.885   -599.709   -742.520   1664.825   1919.018
2006-06-09T01:43:19.154   -592.176   -628.912   1790.755   1988.216      6.716    110.956    132.131    172.670   -598.892   -739.868   1658.624   1912.357
2006-06-09T01:43:19.162   -596.368   -630.769   1795.499   1994.327      6.296    110.825    133.203    173.392   -602.664   -741.594   1662.296   1917.392
2006-06-09T01:43:19.170   -596.384   -631.633   1800.408   1999.025      6.337    111.160    133.964    174.192   -602.721   -742.793   1666.444   1921.471
2006-06-09T01:43:19.177   -592.432   -630.034   1795.007   1992.478      6.641    111.142    133.035    173.479   -599.073   -741.176   1661.972   1915.824
2006-06-09T01:43:19.185   -593.424   -630.154   1792.370   1990.437      6.615    110.807    132.770    173.060   -600.039   -740.961   1659.600   1913.986
2006-06-09T01:43:19.193   -596.976   -631.109   1798.172   1997.023      6.153    111.166    133.532    173.858   -603.129   -742.275   1664.640   1919.834
2006-06-09T01:43:19.201   -595.440   -629.914   1797.851   1995.898      6.275    111.522    133.421    174.005   -601.715   -741.436   1664.430   1918.884
2006-06-09T01:43:19.209   -592.208   -630.208   1793.742   1991.327      6.657    111.134    132.979    173.432   -598.865   -741.342   1660.762   1914.774
2006-06-09T01:43:19.217   -594.752   -631.060   1795.396   1993.844      6.384    111.134    133.196    173.588   -601.136   -742.195   1662.200   1917.062
2006-06-09T01:43:19.224   -596.736   -629.460   1797.746   1996.047      6.065    112.025    133.174    174.132   -602.801   -741.485   1664.571   1919.366
2006-06-09T01:43:19.232   -594.320   -629.057   1795.370   1993.059      6.230    111.900    133.110    174.007   -600.550   -740.957   1662.260   1916.451
2006-06-09T01:43:19.240   -593.408   -631.146   1795.135   1993.235      6.153    111.150    133.420    173.761   -599.561   -742.295   1661.715   1916.187
2006-06-09T01:43:19.248   -595.968   -630.702   1797.130   1995.655      6.084    111.560    133.333    173.955   -602.052   -742.262   1663.797   1918.760
2006-06-09T01:43:19.256   -595.664   -628.443   1795.713   1993.576      6.107    112.088    132.782    173.874   -601.771   -740.531   1662.931   1917.252
2006-06-09T01:43:19.263   -594.560   -629.987   1794.951   1993.047      5.889    111.470    133.269    173.842   -600.449   -741.457   1661.682   1916.112
2006-06-09T01:43:19.271   -594.768   -631.828   1797.057   1995.588      6.015    111.114    133.684    173.936   -600.783   -742.942   1663.373   1918.258
2006-06-09T01:43:19.279   -595.600   -629.723   1796.588   1994.748      6.115    111.816    133.022    173.882   -601.715   -741.538   1663.567   1918.175
2006-06-09T01:43:19.287   -594.768   -628.228   1793.999   1991.696      5.787    111.818    132.646    173.585   -600.555   -740.046   1661.353   1915.314
2006-06-09T01:43:19.295   -595.440   -631.002   1796.375   1994.912      5.684    111.285    133.693    174.041   -601.124   -742.286   1662.682   1917.512
2006-06-09T01:43:19.302   -595.456   -632.058   1798.419   1997.092      6.036    111.266    133.820    174.139   -601.492   -743.323   1664.599   1919.690
2006-06-09T01:43:19.310   -594.496   -628.850   1794.636   1992.384      6.077    111.889    132.726    173.701   -600.573   -740.739   1661.910   1916.070
2006-06-09T01:43:19.318   -595.648   -628.507   1793.649   1991.732      5.244    111.579    132.838    173.560   -600.892   -740.086   1660.811   1914.965
2006-06-09T01:43:19.326   -596.704   -632.243   1798.519   1997.613      5.568    110.872    134.140    174.118   -602.272   -743.115   1664.379   1919.664
2006-06-09T01:43:19.334   -594.288   -631.793   1797.903   1996.196      6.436    111.269    133.580    173.971   -600.724   -743.061   1664.324   1919.110
2006-06-09T01:43:19.341   -593.744   -627.916   1792.684   1990.107      5.884    111.839    132.286    173.327   -599.628   -739.755   1660.398   1914.083
2006-06-09T01:43:19.349   -597.440   -628.937   1794.902   1993.532      5.049    111.489    133.198    173.773   -602.489   -740.426   1661.704   1916.373
2006-06-09T01:43:19.357   -596.384   -633.601   1800.448   1999.685      5.915    110.685    134.619    174.380   -602.299   -744.286   1665.830   1921.383
2006-06-09T01:43:19.365   -592.832   -630.661   1795.934   1993.631      6.411    111.246    133.156    173.629   -599.243   -741.907   1662.779   1916.860
2006-06-09T01:43:19.373   -594.656   -626.771   1791.572   1989.017      5.324    111.881    132.151    173.232   -599.980   -738.652   1659.422   1912.920
2006-06-09T01:43:19.381   -598.688   -631.155   1797.666   1997.095      5.033    110.913    134.212    174.184   -603.721   -742.068   1663.454   1918.912
2006-06-09T01:43:19.388   -595.008   -634.166   1801.113   2000.052      6.038    110.489    134.802    174.401   -601.046   -744.655   1666.311   1921.551
2006-06-09T01:43:19.396   -592.032   -628.815   1793.458   1990.579      6.056    111.425    132.613    173.316   -598.088   -740.240   1660.846   1914.177
2006-06-09T01:43:19.404   -596.688   -627.235   1792.010   1990.166      4.923    111.573    132.590    173.358   -601.611   -738.808   1659.420   1913.491
2006-06-09T01:43:19.412   -598.976   -633.525   1800.682   2000.646      5.123    110.390    134.931    174.409   -604.099   -743.915   1665.751   1921.737
2006-06-09T01:43:19.420   -592.976   -633.190   1799.493   1997.680      6.229    110.723    134.155    174.057   -599.205   -743.913   1665.339   1919.845
2006-06-09T01:43:19.427   -592.832   -627.077   1790.924   1987.985      5.562    111.513    132.037    172.916   -598.394   -738.590   1658.887   1911.935
2006-06-09T01:43:19.435   -598.688   -629.603   1794.488   1993.744      4.776    110.889    133.189    173.374   -603.464   -740.492   1661.300   1916.354
2006-06-09T01:43:19.443   -597.680   -634.651   1802.657   2002.393      5.418    110.356    135.162    174.576   -603.098   -745.007   1667.495   1923.357
2006-06-09T01:43:19.451   -591.616   -630.860   1796.169   1993.544      6.075    110.944    133.235    173.485   -597.691   -741.804   1662.934   1916.470
2006-06-09T01:43:19.459   -594.528   -627.282   1789.714   1987.466      5.279    111.129    131.861    172.525   -599.807   -738.412   1657.853   1911.412
2006-06-09T01:43:19.467   -600.112   -631.742   1797.781   1997.811      4.703    110.547    134.012    173.787   -604.815   -742.289   1663.770   1919.615
2006-06-09T01:43:19.474   -595.376   -634.265   1802.202   2001.174      5.668    110.428    134.714    174.283   -601.044   -744.693   1667.488   1922.586
2006-06-09T01:43:19.482   -590.944   -629.223   1792.413   1989.442      5.994    110.931    132.291    172.750   -596.938   -740.153   1660.121   1913.156
2006-06-09T01:43:19.490   -597.520   -628.426   1790.888   1989.782      4.721    110.931    132.205    172.644   -602.241   -739.357   1658.684   1913.263
2006-06-09T01:43:19.498   -599.744   -633.227   1801.102   2001.159      4.780    110.449    134.419    174.041   -604.524   -743.676   1666.683   1922.585
2006-06-09T01:43:19.506   -593.056   -633.047   1799.446   1997.616      5.755    110.386    133.914    173.641   -598.811   -743.433   1665.532   1919.704
2006-06-09T01:43:19.513   -592.640   -628.740   1789.509   1987.178      5.649    110.621    131.731    172.110   -598.289   -739.361   1657.778   1911.239
2006-06-09T01:43:19.521   -599.152   -630.166   1794.152   1993.759      4.468    110.731    132.756    172.932   -603.620   -740.897   1661.395   1916.643
2006-06-09T01:43:19.529   -598.048   -633.854   1802.182   2001.822      5.140    110.173    134.370    173.839   -603.188   -744.027   1667.811   1923.280
2006-06-09T01:43:19.537   -591.424   -631.802   1795.317   1993.017      6.087    110.223    132.921    172.784   -597.511   -742.025   1662.395   1916.032
2006-06-09T01:43:19.545   -594.928   -628.934   1789.645   1988.046      5.284    110.441    131.707    171.964   -600.212   -739.374   1657.938   1911.985
2006-06-09T01:43:19.552   -599.328   -631.592   1797.923   1997.656      4.923    110.396    133.315    173.160   -604.251   -741.988   1664.608   1920.048
2006-06-09T01:43:19.560   -595.632   -633.259   1800.623   1999.509      5.648    110.285    134.122    173.734   -601.280   -743.544   1666.501   1921.359
2006-06-09T01:43:19.568   -591.888   -630.638   1791.867   1989.679      5.893    110.189    132.138    172.153   -597.781   -740.827   1659.729   1913.340
2006-06-09T01:43:19.576   -596.320   -630.048   1792.030   1990.962      5.303    110.272    131.994    172.077   -601.623   -740.320   1660.035   1914.613
2006-06-09T01:43:19.584   -598.096   -632.382   1799.755   1999.186      5.377    110.342    133.722    173.453   -603.473   -742.724   1666.033   1921.324
2006-06-09T01:43:19.591   -594.080   -632.223   1797.005   1995.461      5.886    110.205    133.242    173.012   -599.966   -742.428   1663.763   1918.142
2006-06-09T01:43:19.599   -592.848   -630.373   1791.215   1989.294      5.819    110.111    132.057    172.039   -598.667   -740.485   1659.158   1912.989
2006-06-09T01:43:19.607   -597.024   -631.382   1795.739   1994.934      5.540    110.144    132.810    172.629   -602.564   -741.526   1662.929   1917.884
2006-06-09T01:43:19.615   -597.168   -632.231   1798.793   1997.994      5.682    110.356    133.386    173.213   -602.850   -742.587   1665.406   1920.532
2006-06-09T01:43:19.623   -592.944   -631.046   1794.461   1992.459      6.137    110.309    132.650    172.632   -599.081   -741.356   1661.812   1915.757
2006-06-09T01:43:19.631   -593.920   -631.086   1793.345   1991.757      6.004    110.146    132.617    172.498   -599.924   -741.231   1660.727   1915.032
2006-06-09T01:43:19.638   -597.168   -631.799   1797.402   1996.606      5.827    110.391    133.178    173.080   -602.995   -742.190   1664.224   1919.399
2006-06-09T01:43:19.646   -595.888   -630.557   1796.602   1995.110      5.653    110.757    133.227    173.345   -601.541   -741.314   1663.375   1917.867
2006-06-09T01:43:19.654   -593.024   -631.543   1794.572   1992.740      5.953    110.027    133.049    172.753   -598.977   -741.570   1661.523   1915.556
2006-06-09T01:43:19.662   -595.040   -632.214   1795.985   1994.825      6.138    110.069    133.393    173.051   -601.178   -742.284   1662.592   1917.449
2006-06-09T01:43:19.670   -597.040   -630.790   1796.958   1995.848      5.629    110.734    133.211    173.317   -602.669   -741.524   1663.746   1918.624
2006-06-09T01:43:19.677   -594.768   -630.148   1795.528   1993.679      5.615    110.534    133.235    173.207   -600.383   -740.682   1662.293   1916.321
2006-06-09T01:43:19.685   -593.856   -632.845   1796.378   1995.027      5.928    109.700    133.864    173.173   -599.784   -742.545   1662.514   1917.046
2006-06-09T01:43:19.693   -596.320   -632.384   1796.869   1996.057      5.825    110.031    133.521    173.115   -602.145   -742.415   1663.348   1918.459
2006-06-09T01:43:19.701   -595.552   -629.658   1795.292   1993.546      5.664    110.589    132.843    172.943   -601.216   -740.247   1662.450   1916.550
