UTC,bt,bx_gse,by_gse,bz_gse,bx_gsm,by_gsm,bz_gsm,fgm_fgs_quality
2023-01-16T00:08:34.000,6.277844,-2.2555296,3.5845416,4.634109,-2.2555296,1.7586105,5.5884876,0
2023-01-16T00:08:38.000,6.446805,-2.1034935,3.821869,4.74657,-2.1034935,1.9423994,5.776131,0
2023-01-16T00:08:43.000,7.7920756,-2.5153925,4.583772,5.7773933,-2.5153925,2.300433,7.0069437,0
2023-01-16T00:08:47.000,5.75965,-1.9815365,3.2384934,4.3311944,-1.9815365,1.5390191,5.1844487,0
2023-01-16T00:08:51.000,7.02881,-2.3540604,4.164823,5.1494484,-2.3540604,2.1249166,6.2727427,0
2023-01-16T00:08:56.000,5.951492,-1.9118093,3.4825878,4.4313455,-1.9118093,1.7334898,5.3628583,0
2023-01-16T00:09:00.000,6.8023973,-2.1845136,4.078143,4.986908,-2.1845136,2.1000094,6.0901933,0
2023-01-16T00:09:04.000,6.9605927,-2.3080702,4.307625,4.9565134,-2.3080702,2.3259044,6.141077,0
2023-01-16T00:09:08.000,6.60838,-2.0429676,3.9545505,4.8845162,-2.0429676,2.019646,5.9513016,0
2023-01-16T00:09:13.000,6.6893883,-2.1896486,4.059451,4.845019,-2.1896486,2.1318083,5.950524,0
2023-01-16T00:09:17.000,6.590646,-2.1313748,4.1289344,4.6739445,-2.1313748,2.2562778,5.814041,0
2023-01-16T00:09:21.000,6.921349,-2.0800128,4.430958,4.8933864,-2.0800128,2.4637723,6.1244135,0
2023-01-16T00:09:26.000,6.7322636,-2.2211645,4.223848,4.748569,-2.2211645,2.3196495,5.9168425,0
2023-01-16T00:09:30.000,7.468529,-2.3479266,4.759407,5.254923,-2.3479266,2.6469803,6.5772085,0
2023-01-16T00:09:34.000,7.4110284,-2.2770038,4.890983,5.081031,-2.2770038,2.8306813,6.4595537,0
2023-01-16T00:09:39.000,7.2673817,-2.1925159,5.0161614,4.7797313,-2.1925159,3.0524645,6.220143,0
2023-01-16T00:09:43.000,7.3993983,-2.211556,4.851165,5.1309175,-2.211556,2.7762256,6.4925103,0
2023-01-16T00:09:47.000,6.111239,-1.9911306,3.9887087,4.1800528,-1.9911306,2.2961068,5.301936,0
2023-01-16T00:09:51.000,6.061626,-1.9937124,3.9550173,4.138388,-1.9937124,2.27898,5.2511587,0
2023-01-16T00:09:56.000,5.573437,-2.1611621,3.5125852,3.7489095,-2.1611621,1.9986815,4.732636,0
2023-01-16T00:10:00.000,5.9865284,-2.08501,4.0411825,3.8935971,-2.08501,2.4446445,5.0512342,0
