UTC,bt,bx_gse,by_gse,bz_gse,bx_gsm,by_gsm,bz_gsm
2023-07-07T00:06:13.000,8.863684,-0.3924244,6.636743,-5.862127,-0.3924244,6.9418254,-5.4974494
2023-07-07T00:06:17.000,8.985181,-0.39207742,6.6986713,-5.9755793,-0.39207742,7.0096455,-5.6075506
2023-07-07T00:06:21.000,9.15358,-0.5738312,6.846889,-6.048045,-0.5738312,7.161427,-5.6720996
2023-07-07T00:06:26.000,8.900498,-0.6387621,6.6104393,-5.9256177,-0.6387621,6.918642,-5.562665
2023-07-07T00:06:30.000,8.997468,-0.56534284,7.2463236,-5.3033576,-0.56534284,7.520153,-4.9073544
2023-07-07T00:06:34.000,9.015395,-0.75476205,7.1470976,-5.443039,-0.75476205,7.4284573,-5.0522976
2023-07-07T00:06:39.000,9.032438,0.35833332,6.742066,-6.000091,0.35833332,7.0537415,-5.6303883
2023-07-07T00:06:43.000,9.337399,-0.80983275,7.604892,-5.3569403,-0.80983275,7.8807874,-4.942103
2023-07-07T00:06:47.000,9.28286,-0.45378372,7.4846053,-5.4723167,-0.45378372,7.766751,-5.0639057
2023-07-07T00:06:51.000,9.066114,-0.76200914,7.452278,-5.1065965,-0.76200914,7.7148046,-4.700591
2023-07-07T00:06:56.000,9.314036,-0.14342874,7.952814,-4.845973,-0.14342874,8.200595,-4.4137244
2023-07-07T00:07:00.000,8.93762,-0.35708177,7.2495203,-5.2151704,-0.35708177,7.5179577,-4.8201537
2023-07-07T00:07:04.000,8.982707,-1.0145043,6.5429606,-6.0703773,-1.0145043,6.858015,-5.712044
2023-07-07T00:07:09.000,8.976098,-0.64104337,6.3573103,-6.3042846,-0.64104337,6.6850123,-5.9556694
2023-07-07T00:07:13.000,8.730348,-0.8656572,6.8323216,-5.3655367,-0.8656572,7.1090984,-4.9930267
2023-07-07T00:07:17.000,8.770779,0.62740743,7.392197,-4.678497,0.62740743,7.631403,-4.27722
2023-07-07T00:07:22.000,8.870997,0.09914268,7.3559427,-4.957306,0.09914268,7.609993,-4.5577164
2023-07-07T00:07:26.000,8.76906,-0.20871271,6.880106,-5.432954,-0.20871271,7.1601157,-5.058219
2023-07-07T00:07:30.000,8.781064,0.49179578,7.273264,-4.8953915,0.49179578,7.523951,-4.5005994
2023-07-07T00:07:34.000,8.824995,0.27080122,7.3900685,-4.8160253,0.27080122,7.6362696,-4.4152684
2023-07-07T00:07:39.000,8.953067,0.122989975,7.950444,-4.114938,0.122989975,8.158406,-3.6854687
2023-07-07T00:07:43.000,9.031975,-0.014718388,7.938684,-4.3073945,-0.014718388,8.156841,-3.8784401
2023-07-07T00:07:47.000,9.184344,-0.32699817,8.190681,-4.142222,-0.32699817,8.399609,-3.7002463
2023-07-07T00:07:52.000,8.80647,0.58809716,7.5758905,-4.451285,0.58809716,7.8020663,-4.0417595
2023-07-07T00:07:56.000,8.8891,0.33777604,7.7558866,-4.329922,0.33777604,7.9752703,-3.9111464
2023-07-07T00:08:00.000,8.944095,-0.045396037,7.5647297,-4.771753,-0.045396037,7.8078046,-4.362677
2023-07-07T00:08:04.000,9.135037,0.44129586,7.984615,-4.415892,0.44129586,8.208091,-3.985151
2023-07-07T00:08:09.000,8.711033,0.8696324,7.2335796,-4.7750554,0.8696324,7.4771247,-4.3838835
2023-07-07T00:08:13.000,8.874981,1.905832,7.395181,-4.521547,1.905832,7.6249437,-4.1222973
2023-07-07T00:08:17.000,8.612267,1.9939369,6.9595847,-4.6647115,1.9939369,7.197482,-4.2885427
2023-07-07T00:08:22.000,8.92914,2.4185822,7.076418,-4.8789654,2.4185822,7.3254385,-4.4964366
2023-07-07T00:08:26.000,8.678684,2.2364118,6.8090925,-4.8943114,2.2364118,7.0592155,-4.526092
2023-07-07T00:08:30.000,8.553061,1.6005865,6.7813344,-4.9604917,1.6005865,7.034916,-4.593793
2023-07-07T00:08:35.000,9.0992985,1.1138445,7.5983453,-4.8807507,1.1138445,7.846457,-4.4709826
2023-07-07T00:08:39.000,9.180718,0.7244416,7.8348675,-4.7302885,0.7244416,8.074582,-4.3083506
2023-07-07T00:08:43.000,8.870043,1.1316873,7.3327074,-4.8609004,1.1316873,7.579963,-4.465548
2023-07-07T00:08:47.000,8.9180155,0.89409816,7.3927083,-4.9070826,0.89409816,7.6422358,-4.508639
2023-07-07T00:08:52.000,8.973675,1.0079327,7.17833,-5.289848,1.0079327,7.448333,-4.902371
2023-07-07T00:08:56.000,8.754422,1.1053541,6.6987405,-5.5267515,1.1053541,6.981856,-5.1644735
2023-07-07T00:09:00.000,9.058146,-0.15766385,7.8184214,-4.5713716,-0.15766385,8.04932,-4.1513352
2023-07-07T00:09:05.000,8.731124,-0.40680858,7.253821,-4.842429,-0.40680858,7.499762,-4.452034
2023-07-07T00:09:09.000,8.928791,0.10626286,7.3653436,-5.0461597,0.10626286,7.62181,-4.649734
2023-07-07T00:09:13.000,8.72746,0.6282352,7.0858674,-5.056122,0.6282352,7.3431573,-4.6746044
2023-07-07T00:09:18.000,8.93684,-0.91527337,7.206418,-5.2054696,-0.91527337,7.4713335,-4.8175225
2023-07-07T00:09:22.000,8.883162,-0.760271,6.4403296,-6.070807,-0.760271,6.751912,-5.722257
2023-07-07T00:09:26.000,8.912629,-0.0004998575,6.5929837,-5.997293,-0.0004998575,6.900358,-5.6409235
2023-07-07T00:09:30.000,8.757732,0.027857058,6.6976247,-5.6425986,0.027857058,6.9860234,-5.2813406
2023-07-07T00:09:35.000,8.943756,-0.044044238,6.9063034,-5.682587,-0.044044238,7.1964154,-5.310409
