UTC,bt,bx_gse,by_gse,bz_gse,bx_gsm,by_gsm,bz_gsm
2023-07-05T00:09:50.000,3.1634016,1.2634875,-0.20111822,2.8931403,1.2634875,-0.3934191,2.8733137
2023-07-05T00:09:54.000,2.9378943,2.1292577,0.05655613,2.0234344,2.1292577,-0.07833418,2.0227087
2023-07-05T00:09:58.000,3.193595,2.5062768,-0.10417385,1.9765561,2.5062768,-0.23554501,1.9652339
2023-07-05T00:10:03.000,3.4122095,2.6380944,-0.10796141,2.1614754,2.6380944,-0.2515925,2.149496
2023-07-05T00:10:07.000,3.4392638,2.7432857,-0.2485438,2.0594044,2.7432857,-0.3850278,2.038302
2023-07-05T00:10:11.000,3.3166215,2.702065,-0.14759192,1.9175612,2.702065,-0.27482226,1.9034959
2023-07-05T00:10:15.000,3.3131173,2.7595987,0.040665004,1.8329501,2.7595987,-0.081316546,1.8315971
2023-07-05T00:10:20.000,3.466984,2.7890882,-0.23551503,2.045849,2.7890882,-0.37100154,2.0256662
2023-07-05T00:10:24.000,3.4202304,2.7037249,-0.3468555,2.0658026,2.7037249,-0.48338062,2.0381837
2023-07-05T00:10:28.000,3.3659773,2.7224774,-0.16642417,1.9723648,2.7224774,-0.29709822,1.9569498
2023-07-05T00:10:33.000,3.4899235,2.833906,-0.099629276,2.0343595,2.833906,-0.23452845,2.02325
2023-07-05T00:10:37.000,3.5825946,2.7236595,0.08269296,2.325903,2.7236595,-0.071925014,2.3262606
2023-07-05T00:10:41.000,3.5483615,2.7533,0.076906055,2.2370284,2.7533,-0.0717521,2.2371995
2023-07-05T00:10:45.000,3.8448288,3.010287,0.11168653,2.3892274,3.010287,-0.04710172,2.391373
2023-07-05T00:10:50.000,3.8228462,2.6192982,-0.37754846,2.7587836,2.6192982,-0.55972534,2.7276618
2023-07-05T00:10:54.000,3.825793,2.559187,-0.60493475,2.7787244,2.559187,-0.7878773,2.7324905
2023-07-05T00:10:58.000,3.8849635,2.4078853,-0.327146,3.0311723,2.4078853,-0.52737963,3.0028157
2023-07-05T00:11:03.000,4.2160654,2.5694096,-0.37468916,3.3215885,2.5694096,-0.5940037,3.2894535
2023-07-05T00:11:07.000,4.295057,2.4968288,-0.47162756,3.462792,2.4968288,-0.700017,3.4239364
2023-07-05T00:11:11.000,4.5795484,2.6074686,-0.4102325,3.7423363,2.6074686,-0.65720123,3.706947
2023-07-05T00:11:16.000,4.3610907,2.4547617,-0.26251343,3.5950446,2.4547617,-0.49997735,3.5697737
2023-07-05T00:11:20.000,4.4877954,2.1769166,-0.6888492,3.8635254,2.1769166,-0.94307566,3.8094556
2023-07-05T00:11:24.000,4.384395,2.2916188,-0.8720459,3.6346855,2.2916188,-1.1106496,3.569014
2023-07-05T00:11:28.000,4.0425735,2.2165406,-0.65720785,3.3162367,2.2165406,-0.87514216,3.2654974
2023-07-05T00:11:33.000,4.138196,2.291789,-0.25724393,3.4360144,2.291789,-0.48390728,3.4114814
2023-07-05T00:11:37.000,4.0995564,2.2565758,-0.21439026,3.415884,2.2565758,-0.4397459,3.3942382
2023-07-05T00:11:41.000,4.1322837,2.1425023,-0.29861754,3.5208352,2.1425023,-0.53065497,3.4934022
2023-07-05T00:11:46.000,4.0148377,2.2474725,-0.28953028,3.3142061,2.2474725,-0.50786334,3.287836
2023-07-05T00:11:50.000,4.1391163,2.2982411,-0.17134522,3.4381695,2.2982411,-0.39805573,3.4193451
2023-07-05T00:11:54.000,4.421407,2.382051,-0.26916838,3.7151346,2.382051,-0.5138819,3.6892552
2023-07-05T00:11:59.000,4.4473486,2.522931,-0.254426,3.6536283,2.522931,-0.495035,3.6288667
2023-07-05T00:12:03.000,4.3013186,2.7464728,-0.26605582,3.2996125,2.7464728,-0.48320386,3.2748654
2023-07-05T00:12:07.000,4.3922763,2.7309275,-0.24771668,3.4311461,2.7309275,-0.47351325,3.4073324
2023-07-05T00:12:11.000,4.3723927,2.5737665,-0.33488902,3.5187209,2.5737665,-0.5661999,3.4889777
2023-07-05T00:12:16.000,4.3079214,2.4310083,-0.55974483,3.5121324,2.4310083,-0.7900598,3.4675918
2023-07-05T00:12:20.000,3.902891,2.028253,-0.5567418,3.2876718,2.028253,-0.77219814,3.243834
2023-07-05T00:12:24.000,3.6408951,1.6522151,-0.68172324,3.1719956,1.6522151,-0.8892195,3.1201913
2023-07-05T00:12:29.000,3.6399012,1.412363,-0.70714,3.2793388,1.412363,-0.9215858,3.2256458
2023-07-05T00:12:33.000,3.554058,1.1748322,-0.5553959,3.3079653,1.1748322,-0.7719883,3.2642205
2023-07-05T00:12:37.000,3.502378,0.9293787,-0.62675667,3.3181446,0.9293787,-0.843796,3.2696965
2023-07-05T00:12:42.000,3.3666239,0.62806135,-0.544411,3.2624092,0.62806135,-0.75789297,3.2195182
2023-07-05T00:12:46.000,3.1316667,0.504218,-0.6463397,3.0224736,0.504218,-0.8437512,2.973413
2023-07-05T00:12:50.000,3.088768,0.08632566,-0.7213528,3.0021136,0.08632566,-0.9172008,2.948182
2023-07-05T00:12:54.000,2.9821353,0.03192505,-0.6681239,2.9061522,0.03192505,-0.8577173,2.855947
2023-07-05T00:12:59.000,2.7020717,0.017831817,-0.78228724,2.5862908,0.017831817,-0.95055413,2.5292923
2023-07-05T00:13:03.000,2.706974,0.38399187,-1.1887522,2.4014843,0.38399187,-1.3439474,2.318203
2023-07-05T00:13:07.000,2.5549788,0.3666901,-1.4285222,2.0863316,0.3666901,-1.562454,1.9880123
2023-07-05T00:13:12.000,2.7334688,0.8056399,-1.524199,2.1212292,0.8056399,-1.6601739,2.0165865
2023-07-05T00:13:16.000,2.9181774,1.0395708,-1.5754069,2.2255661,1.0395708,-1.7180767,2.1173723
2023-07-05T00:13:20.000,2.9963284,1.4146363,-1.4704448,2.1942153,1.4146363,-1.6112392,2.0930119
