UTC,bt,bx_gse,by_gse,bz_gse,bx_gsm,by_gsm,bz_gsm,fgm_fgs_quality
2023-01-17T00:09:15.000,4.648358,-2.501921,-0.8695493,3.819883,-2.501921,-2.1590729,3.268949,0
2023-01-17T00:09:19.000,4.716146,-2.7312303,-0.6382268,3.791448,-2.7312303,-1.9325137,3.3238232,0
2023-01-17T00:09:23.000,4.6163416,-2.4527957,-0.5843119,3.8669088,-2.4527957,-1.9085829,3.4134605,0
2023-01-17T00:09:28.000,4.548171,-2.576702,-0.73380023,3.6753232,-2.576702,-1.9809916,3.1815302,0
2023-01-17T00:09:32.000,4.577889,-2.7172797,-0.39647168,3.662822,-2.7172797,-1.6608251,3.2886338,0
2023-01-17T00:09:36.000,4.634163,-2.7884047,-0.74137944,3.626378,-2.7884047,-1.9707713,3.133101,0
2023-01-17T00:09:40.000,4.505653,-2.6035023,-0.6291361,3.6231022,-2.6035023,-1.8645227,3.1695802,0
2023-01-17T00:09:45.000,4.5039763,-2.5710273,-0.66407895,3.6379411,-2.5710273,-1.9024113,3.1711898,0
2023-01-17T00:09:49.000,4.5188665,-2.9838555,-0.3294135,3.3776093,-2.9838555,-1.4974792,3.0453756,0
2023-01-17T00:09:53.000,4.5565133,-3.102321,-0.18845107,3.331952,-3.102321,-1.3494289,3.0522873,0
2023-01-17T00:09:58.000,4.6146016,-3.0786698,-0.15646331,3.4339273,-3.0786698,-1.3553499,3.159013,0
2023-01-17T00:10:02.000,4.525927,-3.1591346,-0.14191696,3.237861,-3.1591346,-1.2726728,2.9806352,0
2023-01-17T00:10:06.000,4.6003876,-3.40489,0.36112565,3.0724385,-3.40489,-0.74355835,3.0029004,0
2023-01-17T00:10:10.000,4.5493245,-3.5257187,0.28187782,2.8611546,-3.5257187,-0.74332213,2.7772524,0
2023-01-17T00:10:15.000,4.580556,-3.667144,0.36443496,2.7204287,-3.667144,-0.61647767,2.6746025,0
2023-01-17T00:10:19.000,4.612625,-3.5949037,0.4486114,2.8551223,-3.5949037,-0.5850644,2.8303137,0
2023-01-17T00:10:23.000,4.7068605,-3.7771268,0.323229,2.7898693,-3.7771268,-0.67941993,2.7251122,0
2023-01-17T00:10:28.000,4.558837,-3.842596,0.85122347,2.3006232,-3.842596,-0.012977421,2.4530144,0
2023-01-17T00:10:32.000,4.311057,-3.8800468,0.94616604,1.6233352,-3.8800468,0.31429416,1.8524756,0
2023-01-17T00:10:36.000,4.3506765,-4.014991,0.8617064,1.437253,-4.014991,0.30075073,1.6485698,0
2023-01-17T00:10:41.000,4.424896,-3.9266236,1.0445404,1.7522165,-3.9266236,0.3610658,2.0077248,0
2023-01-17T00:10:45.000,4.2262163,-3.7144554,0.8828919,1.8122435,-3.7144554,0.18865901,2.0070205,0
2023-01-17T00:10:49.000,4.2837424,-3.835877,0.9603613,1.6474837,-3.835877,0.31917846,1.8800585,0
2023-01-17T00:10:53.000,4.2228518,-3.7134154,0.9089624,1.7935472,-3.7134154,0.21969324,1.9986893,0
2023-01-17T00:10:58.000,4.2111497,-3.7676487,0.60075194,1.7826109,-3.7676487,-0.064932406,1.8799969,0
2023-01-17T00:11:02.000,4.3607864,-3.928906,0.48617557,1.8286037,-3.928906,-0.18833989,1.8827336,0
2023-01-17T00:11:06.000,4.243955,-3.7389832,0.41694495,1.9640049,-3.7389832,-0.30076075,1.9851199,0
2023-01-17T00:11:11.000,4.2259684,-3.588013,0.5668346,2.1595526,-3.588013,-0.2292313,2.2209053,0
2023-01-17T00:11:15.000,4.276141,-3.8511512,0.25604874,1.8407757,-3.8511512,-0.40796256,1.8131692,0
2023-01-17T00:11:19.000,4.1329536,-3.6370602,0.3203323,1.9366168,-3.6370602,-0.3814838,1.9255043,0
2023-01-17T00:11:24.000,4.252597,-3.8061976,0.33980498,1.8660035,-3.8061976,-0.3383891,1.8662608,0
2023-01-17T00:11:28.000,4.286806,-3.7445986,0.5837895,2.0034661,-3.7445986,-0.15833485,2.0807729,0
2023-01-17T00:11:32.000,4.240993,-3.4577818,-0.02885762,2.4553888,-3.4577818,-0.89077383,2.2882938,0
2023-01-17T00:11:36.000,4.3175163,-2.6004493,-0.1441157,3.4435213,-2.6004493,-1.3462294,3.172739,0
2023-01-17T00:11:41.000,4.182835,-1.9166114,-0.89608526,3.608288,-1.9166114,-2.1080585,3.0624824,0
2023-01-17T00:11:45.000,4.2889295,-2.266176,-0.4896895,3.6082633,-2.266176,-1.7275839,3.2054348,0
2023-01-17T00:11:49.000,4.2706237,-2.4684856,-0.44317773,3.4566453,-2.4684856,-1.6306729,3.0798872,0
2023-01-17T00:11:54.000,4.2548003,-2.1928709,-0.5429498,3.60553,-2.1928709,-1.7763953,3.1841886,0
2023-01-17T00:11:58.000,4.31872,-2.3329453,-0.46971548,3.6038969,-2.3329453,-1.7072239,3.2084408,0
2023-01-17T00:12:02.000,4.263252,-2.1075065,-0.6505517,3.6483579,-2.1075065,-1.8921016,3.1864843,0
