UTC,bt,bx_gse,by_gse,bz_gse,bx_gsm,by_gsm,bz_gsm,fgm_fgs_quality
2023-01-15T00:01:14.000,10.2663555,10.018871,-1.0809394,-1.962613,10.018871,-0.34659147,-2.2136292,0
2023-01-15T00:01:18.000,10.326359,10.023882,-1.2364458,-2.1509705,10.023882,-0.42854124,-2.4437318,0
2023-01-15T00:01:22.000,10.276123,10.003633,-0.7063071,-2.2421355,10.003633,0.100871325,-2.3485882,0
2023-01-15T00:01:27.000,10.195863,9.850911,-1.3986756,-2.226851,9.850911,-0.5552114,-2.5703886,0
2023-01-15T00:01:31.000,10.331147,10.040203,-1.0657537,-2.1888533,10.040203,-0.25524402,-2.4211068,0
2023-01-15T00:01:35.000,10.175292,9.763322,-1.2655203,-2.5714898,9.763322,-0.3125475,-2.848932,0
2023-01-15T00:01:39.000,10.333979,9.940022,-1.29595,-2.5114877,9.940022,-0.36164832,-2.8029032,0
2023-01-15T00:01:44.000,10.29477,9.834995,-1.1412567,-2.8200495,9.834995,-0.11102301,-3.0402007,0
2023-01-15T00:01:48.000,10.2113495,9.702849,-1.5956266,-2.7532444,9.702849,-0.5609677,-3.132362,0
2023-01-15T00:01:52.000,10.400928,9.717356,-2.0127387,-3.1146717,9.717356,-0.82984734,-3.614367,0
2023-01-15T00:01:57.000,10.427713,9.756486,-1.988509,-3.097421,9.756486,-0.8129926,-3.589878,0
2023-01-15T00:02:01.000,10.467061,9.703751,-2.2518804,-3.2133505,9.703751,-1.0210816,-3.7886646,0
2023-01-15T00:02:05.000,10.470391,9.814809,-2.0047855,-3.046218,9.814809,-0.8458327,-3.5472772,0
2023-01-15T00:02:10.000,10.266335,9.465454,-1.6591378,-3.612486,9.465454,-0.3278427,-3.9617307,0
2023-01-15T00:02:14.000,10.162635,9.472455,-2.088463,-3.0315099,9.472455,-0.9295883,-3.5619652,0
2023-01-15T00:02:18.000,10.271896,9.649523,-1.7161771,-3.0746214,9.649523,-0.5649514,-3.4755416,0
2023-01-15T00:02:22.000,10.395882,9.772256,-1.7310451,-3.0952964,9.772256,-0.57191706,-3.5000408,0
2023-01-15T00:02:27.000,10.423467,9.729909,-1.5933414,-3.382129,9.729909,-0.3447063,-3.7227283,0
2023-01-15T00:02:31.000,10.37773,9.623716,-1.5625037,-3.555272,9.623716,-0.25672424,-3.8749795,0
2023-01-15T00:02:35.000,10.338436,9.531136,-1.9927146,-3.4741616,9.531136,-0.6888554,-3.9454007,0
2023-01-15T00:02:40.000,10.635359,9.973258,0.0563765,-3.6934805,9.973258,1.3122014,-3.4529846,0
2023-01-15T00:02:44.000,10.595082,9.810111,0.40067807,-3.9820766,9.810111,1.7342257,-3.6069288,0
2023-01-15T00:02:48.000,10.438402,9.613943,1.0104394,-3.938444,9.613943,2.2925463,-3.358059,0
2023-01-15T00:02:53.000,10.48013,9.731122,0.22829033,-3.8841057,9.731122,1.5386864,-3.5736303,0
2023-01-15T00:02:57.000,10.637654,9.906821,0.30338868,-3.862969,9.906821,1.6020418,-3.5281773,0
2023-01-15T00:03:01.000,10.485055,9.758217,-0.8977945,-3.7292826,9.758217,0.42718846,-3.8119671,0
2023-01-15T00:03:05.000,10.416771,9.640636,-1.1625031,-3.7703867,9.640636,0.1923008,-3.9408436,0
2023-01-15T00:03:10.000,10.412772,9.675165,-0.9454713,-3.731363,9.675165,0.38298994,-3.830183,0
2023-01-15T00:03:14.000,10.400569,9.646811,-0.8847841,-3.785239,9.646811,0.45836318,-3.8601532,0
2023-01-15T00:03:18.000,10.303931,9.533791,-0.97687286,-3.784647,9.533791,0.37154406,-3.8909879,0
2023-01-15T00:03:23.000,10.334264,9.552665,-1.1040109,-3.7848053,9.552665,0.252028,-3.9344723,0
2023-01-15T00:03:27.000,10.354576,9.608196,-1.3305578,-3.6234524,9.608196,-0.015990853,-3.8599916,0
