seed,rmse_ica,rmse_mssa,rmse_ness,rmse_picog,rmse_sheinker,rmse_ream,rmse_ubss,rmse_waicup,rmse_b1,rmse_b2,rmse_b3,corr_ica,corr_mssa,corr_ness,corr_picog,corr_sheinker,corr_ream,corr_ubss,corr_waicup,corr_b1,corr_b2,corr_b3,snr_ica,snr_mssa,snr_ness,snr_picog,snr_sheinker,snr_ream,snr_ubss,snr_waicup,snr_b1,snr_b2,snr_b3
53,[30.19156861 50.86950296 13.84347428],[15.84751332  6.48573015 24.63575298],[ 23.8128677  254.61810403  34.92527718],[97.00372151 40.11532191 37.71549834],[24.76703334 30.63534616 19.40436174],[241.80921041  48.06779463  48.80453051],[18.06561968 12.42994529 14.28774434],[17.88376119 19.04411622  9.20179833],[100.16471132  48.06779463 167.06048036],[113.00334507  26.57090688  64.1726578 ],[25.42015316 28.00741168 34.02519679],[0.99265019 0.97468137 0.97244157],[0.99808731 0.99961213 0.93203189],[0.99510598 0.6718395  0.8446492 ],[0.92297815 0.98480837 0.83656212],[0.99471433 0.99077113 0.94348486],[0.10249465 0.97790606 0.55268278],[0.99753508 0.99871583 0.9736842 ],[0.99771322 0.99669655 0.98910272],[0.92533362 0.97790606 0.34171921],[0.89908064 0.99306101 0.62399223],[0.99554578 0.99275305 0.93580865],[18.04170742 12.92031562 12.46809462],[23.64019846 30.81028799  7.46167977],[20.10318699 -1.0683201   4.43019935],[ 7.90365305 14.98325987  3.76259957],[19.7619412  17.32500966  9.53500934],[-0.03003581 13.41238156  1.5237938 ],[22.50236371 25.16008116 12.19372318],[22.59024373 21.45424904 16.01554237],[ 7.6251261  13.41238156 -9.16447793],[ 6.57759498 18.56133795 -0.85400395],[19.53585771 18.104006    4.65698367]
54,[122.92330003  43.11653916  52.49266673],[120.95504363  43.00510886  52.46297408],[56.17835242 22.57305147 28.390186  ],[50.11482831 35.87240928 24.68109165],[232.21845999 169.35824324  37.27591775],[271.10082385 215.73912663  88.27665082],[24.88511982  9.40779334 85.53781476],[119.42639624  36.80375925  50.97149448],[45.81486084 18.19577572 23.27233722],[597.58987492 274.63823227 470.42243174],[ 8.15082043  2.2624991  12.82873279],[0.92182525 0.98572934 0.89358276],[0.9261321  0.98567503 0.89587437],[0.974582   0.9949882  0.88981197],[0.9791614  0.98950677 0.90648578],[0.74856841 0.80881959 0.83802628],[0.06491361 0.34984891 0.0382958 ],[0.99482956 0.99934041 0.53885241],[0.92938889 0.99059995 0.91412246],[0.98218192 0.99727486 0.91882832],[0.35606152 0.64981917 0.28937155],[0.99946239 0.99996315 0.97899873],[ 5.84673675 14.35658762  0.89102386],[ 5.98694132 14.37906447  0.89593845],[12.64804101 19.97766006  6.22963183],[13.64009603 15.95425458  7.44570929],[0.32148616 2.4733387  3.86442969],[-1.02319578  0.37088718 -3.62392037],[19.72062625 27.57971013 -3.35016644],[ 6.09741442 15.73162188  1.14644924],[14.41929354 21.850054    7.95619656],[ -7.88864364  -1.7257544  -18.15676387],[29.41539446 39.95769722 13.1293214 ]
55,[26.58847313 51.61221322 13.27937533],[ 7.57688489 33.00493766 14.10200855],[  4.52897405 139.25980873 110.25075005],[31.08337811 80.34898276 68.62016529],[169.92039414 437.54810458 156.74677818],[131.0561755  117.75248932  55.28841047],[ 2.77639646  6.89892774 11.18183881],[ 9.8705933  18.73677365  5.99291568],[ 5.02047535 25.7427885  43.3836002 ],[62.51377828 64.5962435  49.89500721],[33.13380658 15.33017555 56.16327283],[0.99419653 0.97452781 0.97479921],[0.99972083 0.98994381 0.97182355],[0.99982804 0.91444628 0.41641856],[0.9956695  0.96938298 0.62760664],[0.82177474 0.54040322 0.23103949],[0.83941138 0.85445151 0.32254388],[0.99994044 0.99974773 0.98977026],[0.99942708 0.99716788 0.99558824],[0.99981448 0.99677378 0.8623698 ],[0.96964229 0.97638261 0.81511185],[0.99066283 0.99769877 0.75310403],[19.14555301 12.79441584 12.82944367],[30.04960719 16.67788717 12.30737711],[34.51942432  4.17294961 -5.55463447],[17.78885674  8.94985784 -1.43603861],[ 3.03451084 -5.77105064 -8.61097587],[5.29027117 5.63006356 0.4403145 ],[38.76979133 30.27383357 14.32273204],[27.75255581 21.5955693  19.74023324],[33.62452419 18.83635373  2.5464848 ],[11.71990601 10.84532024  1.33185479],[17.23399432 23.33852294  0.30394843]
56,[60.51594757 54.30265848 31.91697297],[58.09698391 23.23734114 22.88138241],[245.00625473  48.0878024  342.42504723],[100.16728123 483.72169416 166.5152781 ],[109.5026963  148.62156061 110.91129858],[238.60406299 221.99451041  71.73287171],[29.31636065  9.81081788  5.49753043],[56.82467434 18.87242766 21.91379171],[124.37895797  71.31545011  62.89992427],[230.61490554  60.4950333  107.76043801],[3.97487633 1.33426211 5.25693921],[0.96872298 0.97125127 0.85617258],[0.97196484 0.99558143 0.9364344 ],[0.70509956 0.97904159 0.09684963],[0.94109613 0.41729455 0.34485551],[0.90999309 0.81533916 0.45864626],[0.14822508 0.18584233 0.35432188],[0.99258982 0.99957454 0.99580554],[0.9728105  0.99726955 0.93806203],[0.88940219 0.95187945 0.71205295],[0.71952265 0.97380848 0.47103048],[0.99988123 0.99998371 0.99696688],[12.00202421 12.35304367  5.21256267],[12.35634924 19.72573683  8.1033514 ],[ -0.14412246  13.40876689 -15.3983139 ],[ 7.62490325 -6.6424458  -9.13608516],[ 6.85092471  3.60782915 -5.60651922],[ 0.08586428  0.1226208  -1.82136776],[18.29721986 27.21536122 20.48964374],[12.54868186 21.53291011  8.478646  ],[ 5.74448269  9.98579295 -0.68000587],[ 0.38167349 11.4150711  -5.35619037],[35.65294855 44.54464247 20.87833748]
57,[39.42826876 51.40123559 24.30898714],[33.31599379 33.14176328 23.3087208 ],[30.26275644 26.99746223 30.9042614 ],[63.68346755 54.01113385 75.39650478],[18.50615029 21.82788342 76.21405627],[238.15805644 233.84215381  35.13787516],[32.07596723 37.32645463 63.58831145],[31.80300941 29.57508006 20.25962404],[18.77382781 23.7407583  60.66926583],[123.24398356 142.52131893  29.18726721],[ 39.35192717 207.81132491  72.82829361],[0.98846589 0.97441038 0.93194076],[0.9930904  0.9906813  0.93595264],[0.9949003  0.99550344 0.88552891],[0.97037913 0.97264353 0.51011142],[0.99832704 0.99786442 0.72297486],[0.20849802 0.01009678 0.85603835],[0.99413827 0.98797632 0.61556415],[0.99345147 0.99237384 0.95556822],[0.99855411 0.99701871 0.63405717],[0.91400144 0.8536381  0.89695953],[0.98700045 0.736167   0.62719151],[15.72326681 12.82999433  7.57765931],[17.18636552 16.64195328  7.94262779],[18.02125132 18.42300666  5.49262921],[11.55888692 12.39979961 -2.25402768],[22.29309927 20.26923299 -2.34770494],[ 0.10211542 -0.32899055  4.37748667],[17.51582575 15.60913067 -0.77454927],[17.59005662 17.63094692  9.16036895],[22.16836437 19.53957377 -0.3663782 ],[5.82410642 3.97186885 5.9891279 ],[15.74010086  0.69608128 -1.9530061 ]
58,[25.60182206 46.53239914 20.40927743],[16.90493879 19.46338773 15.53839245],[22.99338789 19.26030984 34.15492041],[ 92.44249758 183.6770977   85.76469731],[ 58.74985986 127.31886608  57.77511281],[211.31533924 220.90822615  68.26330038],[10.35898094 15.96322178 18.48440025],[ 6.68153128 20.93040485 16.65319898],[24.2781998  23.27792704 32.54334324],[106.57072731 120.33893575 118.93709322],[15.85798593 25.45099247 12.24659295],[0.99440267 0.97943824 0.9396944 ],[0.99757754 0.99697129 0.96700035],[0.99551054 0.9966285  0.8773883 ],[0.93347161 0.78960889 0.59424824],[0.97196936 0.87343308 0.75868376],[0.48281919 0.20190958 0.07525877],[0.99926682 0.99770152 0.95667943],[0.99964873 0.99645126 0.96097652],[0.99501741 0.9947438  0.87976887],[0.91749309 0.88821888 0.38764193],[0.99784588 0.9936794  0.98022646],[19.47400348 13.69435661  9.096444  ],[23.07914892 21.26509682 11.46487486],[20.40736166 21.35620011  4.62393103],[ 8.32198756  1.76836533 -3.3731746 ],[12.25928427  4.95161026  0.05818054],[ 1.1408005   0.16522773 -1.39074905],[27.33308029 22.98705455  9.95688931],[31.14190085 20.63391292 10.86304316],[19.93509135 19.71057945  5.04375325],[ 7.08666238  5.44134217 -6.21334982],[23.63446041 18.93537105 13.53269092]
59,[41.57535583 50.57380693 14.46968034],[19.5767159  25.73255818  9.31761448],[ 27.47846015  56.93113555 175.03575271],[120.19229994  72.73116148 119.07907633],[ 79.69546677 232.34125238  68.13081342],[237.92401532 222.6113396   57.15108149],[ 8.19802695 14.57908867  6.44381225],[18.95125081 23.91597374  4.8645227 ],[42.01399607 49.69668352 63.52123539],[ 84.9377053  100.93523807  45.22380634],[6.66425712 2.85126723 6.71043245],[0.98633407 0.97667948 0.97111493],[0.99820676 0.99559431 0.98882607],[0.99444433 0.9744539  0.37864935],[0.9186999  0.95384692 0.46082688],[0.96216487 0.70365706 0.64916019],[0.18565766 0.18161953 0.22269292],[0.99963735 0.99799027 0.99574846],[0.99816114 0.99646735 0.99819931],[0.98556094 0.97673582 0.72556314],[0.9573461  0.927993   0.79267027],[0.99974388 0.99992633 0.99509982],[15.26270147 12.97095258 12.08381785],[21.8046242  18.83980623 15.90690184],[18.85957314 11.94246857 -9.56953874],[ 6.04188806  9.81505504 -6.22371256],[ 9.6107486  -0.27306102 -1.3738749 ],[0.11065536 0.09851984 0.15250752],[29.36523414 23.77485795 19.11013902],[22.08666338 19.47570414 21.5521919 ],[15.17154116 13.12291735 -0.76538213],[9.0574105  6.96860927 2.18565433],[31.16438608 37.94870703 18.75798641]
60,[33.27177837 47.13469676 18.34988846],[30.23556949 13.78924268 17.06671072],[ 2.8796892  17.010459    6.72107989],[ 79.48205546 131.0848522   47.27919074],[31.1104267  59.30439073  5.33544647],[  2.10548856 219.21979922  64.47938569],[ 53.84302946 109.96912728   6.0703905 ],[22.87598996 17.68022944 14.90552422],[ 2.10548856 30.47811937 18.25134813],[29.22745655 37.78935806 26.30951476],[71.42643735 47.02489633 56.94534291],[0.99257259 0.97847559 0.964139  ],[0.99428354 0.99856988 0.97155081],[0.99993507 0.99721805 0.99337011],[0.94894112 0.91289987 0.80309866],[0.99194605 0.96577351 0.99584047],[0.99996981 0.23766336 0.0228305 ],[0.99056886 0.93327757 0.99663221],[0.99767544 0.99738658 0.98148653],[0.99996981 0.9916935  0.95097624],[0.9928773  0.98843804 0.92287856],[0.98463786 0.98550808 0.78864877],[17.19790068 13.58265115 10.02032801],[18.02905791 24.2586572  10.65000004],[38.45250862 22.43514485 18.74421544],[9.63403918 4.69841533 1.7995959 ],[17.78130162 11.58772853 20.74958125],[41.17236323  0.23186999 -0.89542124],[13.01683123  6.22404993 19.62866399],[20.45182303 22.09970757 11.8260515 ],[41.17236323 17.36970219 10.0670976 ],[18.3236005  15.50207521  6.89073982],[10.5622412  13.60290856  0.18383233]
61,[146.07490255 584.57672032  90.38112016],[144.15512211 584.72660777  89.24005518],[16.57172165 23.86133464 21.16197243],[ 42.47446    387.51728251  41.05328256],[220.37540511 279.58594598  98.01706168],[228.99499545 537.99391978  93.79157506],[145.62298676 428.06839747 152.66853265],[143.82788433 582.7503811   89.59410744],[11.17587861 15.70199501 27.34229814],[ 528.185187   2156.66237248  349.45261152],[12.15730035  2.73900071 26.34818255],[0.91819785 0.3319885  0.49258293],[0.92567981 0.35340056 0.54523334],[0.99862864 0.99517848 0.94272509],[0.98825769 0.54507578 0.84607189],[0.83363742 0.6675244  0.60875059],[0.63181318 0.04845088 0.56494628],[0.94410187 0.29487258 0.35942323],[0.92509261 0.35340724 0.53727124],[0.9994429  0.99797996 0.92014479],[0.60190278 0.08939523 0.07865985],[0.99878616 0.99997458 0.90944528],[ 4.34790887 -8.28736483 -3.82855781],[ 4.46281941 -8.28959163 -3.71820002],[23.25206837 19.49557087  8.7818737 ],[15.07686365 -4.71635602  3.02603882],[ 0.7761585  -1.88084124 -4.533037  ],[ 0.44290115 -7.56608185 -4.15028   ],[ 4.37482229 -5.58079784 -8.38199404],[ 4.48255913 -8.26018582 -3.75259236],[26.67378746 23.1303688   6.55629629],[ -6.81630337 -19.62617772 -15.57476922],[25.94267805 38.29762262  6.87798331]
62,[27.87228587 51.83718914 30.23352689],[18.86285689 43.02560544 26.36869424],[10.20953326 67.42933073 10.74479764],[101.77397908  63.85171129  24.71935586],[141.51497158 190.13074687 144.95951676],[238.32507075 221.8444013    7.33659735],[ 5.81761374 24.33610165 46.99190993],[13.95037931 28.7336654  26.20826142],[23.55841875  6.34409574  7.33659735],[88.73496208 97.9322208  85.87881352],[25.60093759 17.6678799  16.32019245],[0.9933357  0.97575959 0.9151145 ],[0.99696947 0.9840897  0.94535761],[0.9991108  0.95876615 0.98836256],[0.94259584 0.9637969  0.92156025],[0.85452753 0.74168599 0.2153899 ],[0.230885   0.18268499 0.9944432 ],[0.99974862 0.99694249 0.84804307],[0.99835623 0.99377552 0.94806394],[0.9953458  0.99963894 0.9944432 ],[0.94521817 0.91559445 0.49678859],[0.99491342 0.99821115 0.9623838 ],[18.73596922 12.75663662  5.68322033],[22.12727158 14.37492569  6.8712241 ],[27.4593032  10.47248852 14.66903177],[ 7.48668588 10.94601467  7.43225359],[ 4.6233732   1.46841842 -7.93193807],[ 0.09602636  0.12849604 17.98310289],[32.34452332 19.32444529  1.85253465],[24.74770065 17.8816449   6.92423234],[20.19649823 31.00207093 17.98310289],[ 8.67752561  7.23095344 -3.38472413],[19.47430355 22.10577673 11.03849107]
63,[34.28984554 47.16990164 20.97393872],[32.50393023 33.973312   20.87275685],[ 6.56762306  3.84468055 32.58329236],[120.52270435  14.72700608  38.5012731 ],[29.68089152 54.66871594 15.27444541],[199.15288382   3.65765798  46.82717745],[ 9.13952507  5.20247816 17.99525184],[24.77129162 17.05196298 17.15094661],[ 7.00814885  3.65765798 38.14820929],[93.51946171 10.79964436 48.58559447],[100.23237206  35.33383599  46.98519414],[0.99303472 0.97858203 0.95892887],[0.99400511 0.98933095 0.96193611],[0.99962946 0.9998558  0.8840719 ],[0.8934155  0.99819384 0.84883951],[0.99252328 0.97150708 0.97359633],[0.8441941  0.99986953 0.6682327 ],[0.99961224 0.99974402 0.99238132],[0.99794408 0.99759735 0.98400559],[0.99957879 0.99986953 0.84048925],[0.93183223 0.99885359 0.78346868],[0.94824876 0.99027879 0.87486494],[16.93611039 13.57616609  8.85939669],[17.40070343 16.42670775  8.90140031],[31.29125659 35.35226029  5.03309728],[ 6.01804361 23.68717618  3.58349478],[18.18988214 12.29468803 11.61368757],[ 1.65568898 35.78540364  1.88303696],[28.4209484  32.72526019 10.18983801],[19.76044793 22.41397788 10.60723468],[30.72735462 35.78540364  3.66351345],[ 8.221381   26.38127642  1.56284617],[ 7.61926081 16.08564972  1.85377607]
64,[47.10633507 45.92761432 13.94865222],[ 3.25702725 30.44885641  6.69113565],[57.71422743  6.87954478 19.91910724],[610.27150746  60.13960504  94.63698706],[17.95912799  5.91538469 63.88170171],[38.07087944 65.57064912 21.13047457],[ 2.76684298  2.66916713 23.44871733],[ 9.52635371 12.82328217  6.96825381],[38.07087944 14.41683162 21.13047457],[23.40415529 67.79889574 26.90373556],[ 4.79676065 16.02581469 12.17816934],[0.9807136  0.97983551 0.97143606],[0.99990879 0.9911126  0.99597711],[0.97169779 0.99954146 0.94356085],[0.35942    0.97117606 0.37317364],[0.99722953 0.99967241 0.51861137],[0.98756311 0.95673617 0.94066924],[0.99995128 0.9999441  0.9654899 ],[0.99926335 0.99873338 0.99362653],[0.98756311 0.99795798 0.94066924],[0.99557991 0.95877846 0.92023921],[0.99983508 0.99771827 0.98664353],[14.17783463 13.80798776 12.40235166],[37.38299312 17.37804578 18.7829999 ],[12.41376324 30.29827147  9.30759919],[-8.07104091 11.46625407 -4.22822152],[22.55371606 31.60980564 -0.81453295],[16.02756279 10.71527584  8.79481157],[38.79973072 38.52195014  7.89061476],[28.06088692 24.88948152 18.43051737],[16.02756279 23.87206898  8.79481157],[20.25356155 10.42501309  6.69674487],[34.02046    22.95306317 13.58135641]
65,[41.13427779 44.17549691 73.02875792],[41.62276449 11.78707022 73.0474439 ],[ 35.83840664 108.86193147 133.28508977],[232.88381773 190.23051038  81.41027901],[344.5105968  158.86989105 131.4713817 ],[241.79765736 218.72373841 106.3823058 ],[ 7.05771422  1.86560826 15.14413416],[33.99000456 14.78664719 71.35435562],[178.77047055  70.72456426 133.08028359],[ 87.68411282  96.71515318 140.67022159],[6.14007573 2.63923624 9.88065183],[0.99342116 0.98065236 0.54998344],[0.9930819  0.99867476 0.55318205],[0.99359399 0.92010353 0.04936777],[0.6988744  0.8065625  0.62621999],[0.90947727 0.86231654 0.13292586],[0.18370147 0.23984189 0.1279347 ],[0.99968983 0.99997304 0.98017855],[0.99824758 0.99798843 0.60910859],[0.96250076 0.95618417 0.13315917],[0.96191576 0.93341555 0.02701334],[0.99974791 0.99993411 0.98579317],[15.35534344 14.14583663 -1.9768817 ],[15.25280254 25.62134809 -1.97910389],[16.55244711  6.31194479 -7.20263479],[ 0.29663473  1.46386204 -2.92058828],[-3.10463073  3.02863355 -7.08362796],[-0.02962081  0.2515471  -5.2443914 ],[30.66613959 41.63305638 11.68810762],[17.01239651 23.65207129 -1.77541318],[ 2.59350531 10.05805989 -7.18927777],[ 8.78100273  7.33957502 -7.67104685],[31.87594642 38.61990018 15.39728466]
66,[29.57971274 47.42092107 13.88465091],[28.71661003 29.97183474  7.20074218],[265.38808637  78.75933651  29.70262856],[488.03231875 409.5915598  375.26247029],[ 31.59220318 151.34686035  24.78061781],[197.74027783 219.64546582  59.02550081],[ 5.90280567 57.94056234  1.92661036],[17.94049167 15.66122144  5.70557812],[29.39455761 79.86140238 31.6621099 ],[218.91159282 257.36211378 233.5659248 ],[0.40373896 4.78821885 5.02076134],[0.99367235 0.97848652 0.97137615],[0.9944387  0.99150951 0.99282511],[0.64644887 0.95745333 0.90791961],[0.41846481 0.49842672 0.10111382],[0.99482702 0.82974517 0.94429411],[0.67936959 0.22193264 0.20402161],[0.99986193 0.96761599 0.99962563],[0.99855837 0.99808348 0.99520332],[0.9963252  0.95600327 0.90633066],[0.72967821 0.67765321 0.24862979],[0.99999873 0.99977665 0.99765927],[18.21954193 13.5300658  12.44229728],[18.47675756 17.51519892 18.14545135],[-0.83820749  9.12342452  5.8370989 ],[ -6.12955069  -5.19755448 -16.19370608],[17.64782269  3.44999718  7.41075399],[ 1.71751817  0.21502065 -0.12779703],[32.21825126 11.78981138 29.59711878],[22.56273415 23.1529529  20.16700346],[18.2740824   9.00272686  5.28219955],[  0.83404575  -1.1614268  -12.07519308],[55.51740784 33.44598566 21.27760502]
67,[32.84486476 43.78215335 26.24561193],[26.89103847 10.19416275 24.1804393 ],[ 4.54810805 11.69240085 70.55445151],[ 49.68477956 200.53192284  38.92291662],[218.364389   150.78815879 101.02012911],[239.29804006 220.52615523  62.04980296],[18.03064343 11.82673399  9.04767553],[20.71692143 16.24983969 23.81761569],[16.50924971  4.21223742 33.65501004],[155.7884961  117.06451681  95.52261197],[7.42346972 8.28161573 3.98574328],[0.99224687 0.98182227 0.9313901 ],[0.99530584 0.99942906 0.95660971],[0.99986237 0.99865772 0.61589986],[0.9793012  0.7217685  0.82467113],[0.72669517 0.82014427 0.63580265],[0.15504915 0.2141087  0.21891292],[0.99751945 0.99954318 0.99164576],[0.99785145 0.99834359 0.95585558],[0.99807242 0.99986198 0.86249987],[0.8690026  0.88225262 0.65396182],[0.99959783 0.9993577  0.99823588],[17.31007141 14.22352315  6.91186252],[19.04726949 26.88243425  7.62371285],[34.4828055  25.69139159 -1.67749181],[13.71495363  1.00579514  3.48888907],[ 0.85578468  3.48212074 -4.7951618 ],[ 0.06063814  0.18026338 -0.56181155],[22.51919647 25.59216893 16.16225623],[21.31291659 22.83248388  7.75503092],[23.28487424 34.55920866  4.7520021 ],[ 3.78871327  5.68095996 -4.3091272 ],[30.22728215 28.687164   23.28281013]
68,[32.08787424 53.05058926 21.41712345],[30.90350996 38.91054422 21.15551316],[108.8806547   24.79216417 253.9398184 ],[213.66086647  80.38888871  78.01028942],[342.55908095  40.79642935 173.83158774],[237.00155327 220.73173959  73.38442255],[13.45197945 40.48357862 35.97667286],[21.86430698 20.59256834 20.31043658],[80.14060559 66.94866161 97.8236805 ],[114.06746079  65.45706795 119.90423574],[19.41852621 36.34202702 25.19740585],[0.9933149  0.97429345 0.93340119],[0.99402449 0.98655423 0.9347942 ],[0.9714811  0.99688941 0.25905752],[0.93251009 0.97741105 0.62818785],[0.84555607 0.99389646 0.3685378 ],[0.18280672 0.2185817  0.1660507 ],[0.99855484 0.99541168 0.8468528 ],[0.99842297 0.99770801 0.94151614],[0.97447721 0.96543362 0.58309056],[0.96913424 0.98646201 0.48894877],[0.9967551  0.98723196 0.91863985],[17.51260204 12.55566126  8.67777378],[17.8392648 15.2481194  8.7845253],[  6.9004065   19.16317672 -12.80161951],[ 1.04492127  8.945545   -2.5500412 ],[-3.05528872 14.83702242 -9.50957735],[ 0.14439713  0.17216978 -2.01908104],[25.06369707 14.90388758  4.17257664],[20.84470664 20.77525518  9.13861141],[ 9.56236857 10.53462751 -4.51588339],[ 6.49618549 10.73033454 -6.28369392],[21.87509566 15.84128256  7.26587996]
69,[37.26137405 94.31386534 59.96026354],[38.18186851 94.56895538 59.92078752],[3154.79330033  228.07579864  111.08080877],[300.8715613  168.32830404 122.22045106],[258.30873136 350.99025711 119.53046801],[238.71844054 241.33631403 106.26301607],[ 95.91342535 294.22308965 136.27062885],[34.44250528 85.6058266  58.91804286],[ 91.47695941 258.05734348 117.02282609],[181.78938814 275.61942564 189.11875728],[38.54566422 16.85190296 34.82472014],[0.98853322 0.93477819 0.59425765],[0.9879301  0.93423639 0.59430768],[0.07276959 0.72915798 0.30314875],[0.66034561 0.79606991 0.29853946],[0.70977225 0.50488761 0.35283831],[0.15996918 0.07494329 0.01965826],[0.95519276 0.59860034 0.27357136],[0.99047163 0.95125308 0.63088573],[0.96307427 0.67154177 0.35745628],[0.81651385 0.65170531 0.11821731],[0.98742359 0.99721849 0.85480295],[16.21424365  7.55795462 -0.26427407],[16.00227742  7.53449366 -0.25855367],[-22.33999723  -0.11211859  -5.61978408],[-1.92820182  2.52632254 -6.44988106],[-0.60336076 -3.85643573 -6.25657581],[ 0.0817016  -0.60298801 -5.23464618],[ 8.00183295 -2.32406953 -7.39504862],[16.8975263   8.399399   -0.11196965],[ 8.41318656 -1.18485894 -6.07241506],[  2.44805041  -1.75673097 -10.24169552],[15.91991029 22.51648651  4.45524388]
70,[13.60589458 44.34493344 21.46290222],[12.51430303  6.49292095 15.94665495],[381.28984777   9.87318845  23.76716116],[213.11889011 488.25095328 304.98781131],[58.08618912 10.25132517 19.95873482],[115.07635648  21.65249217  60.64711744],[9.11727934 7.6705618  5.84322897],[10.65280075 22.8108894  16.8958281 ],[ 6.42680408 58.77140009 50.16813615],[ 58.9912381   85.06392647 143.42327869],[ 5.429669    4.1713917  11.37606866],[0.9986927  0.98057493 0.93207734],[0.99871193 0.99958478 0.96525265],[0.54855396 0.99904573 0.92811291],[0.7500353  0.34516329 0.1744964 ],[0.97282099 0.99896798 0.94985864],[0.87886995 0.99588738 0.10179115],[0.9992965  0.99963276 0.99568502],[0.99909457 0.99525893 0.95956385],[0.99964548 0.9674934  0.75649364],[0.97200613 0.93609997 0.35485025],[0.99975276 0.99987898 0.98359377],[24.96487894 14.11258535  8.65922764],[25.69128763 30.80066319 11.23960464],[-3.98568387 27.16031697  7.77345037],[  1.06698206  -6.7233965  -14.39265308],[12.35796328 26.83386531  9.29033642],[ 6.41969891 20.3393077  -0.36320669],[28.44211575 29.35292203 19.9599385 ],[27.09014489 19.88662112 10.73740694],[31.47951976 11.66614476  1.28443726],[12.22367075  8.45455699 -7.83939634],[32.94395387 34.64384604 14.17315249]
71,[27.83330917 21.31892254 15.74148873],[ 9.66942473 11.88527932  7.71290336],[4.89614539 2.9152994  3.86370636],[124.95330985  25.80044267  51.0386918 ],[ 75.71284512 177.67356999  81.82694118],[6.41420577 2.41217617 3.07004297],[5.60012824 4.27459927 6.70512443],[11.45612966 12.43146152  8.67437275],[6.41420577 2.41217617 3.07004297],[ 7.9073868  37.62667286 27.96920197],[52.06587432  6.05913501 41.07380045],[0.99397333 0.99621532 0.96689507],[0.99959496 0.99923307 0.99263088],[0.99985123 0.99993067 0.99844922],[0.89207414 0.9938039  0.68097794],[0.95781149 0.90696673 0.77606443],[0.99982226 0.99994877 0.9986201 ],[0.99982394 0.99983557 0.9941328 ],[0.999413   0.99928265 0.99068551],[0.99982226 0.99994877 0.9986201 ],[0.99955512 0.9899082  0.90124295],[0.97745734 0.99964476 0.82994267],[18.7481241  20.47416047 11.35208053],[27.93140823 25.54927765 17.54863879],[33.84233486 37.75580224 23.55291434],[ 5.70446568 18.81692235  1.1350059 ],[10.05602965  2.05700893 -2.96492975],[31.4965632  39.40128504 25.55010752],[32.67546153 34.43155735 18.76485975],[26.45866256 25.1590217  16.52823498],[31.4965632  39.40128504 25.55010752],[29.6787613  15.53954915  6.35939508],[13.30835766 31.40125291  3.02169881]
72,[13.32617299 15.94746486 40.78636541],[11.94572463  6.29371678 38.5583893 ],[24.91271307 10.44195597 37.63562886],[369.10835882 430.40201811  90.43103031],[186.35914047  12.66212733  97.24831453],[238.36039586  87.46042471  65.60081392],[14.03430833  5.40406075 32.45700051],[11.56204518 10.49077863 39.08178968],[23.79420273  8.65140738 12.04915807],[ 76.17062336 255.63429398 143.28982759],[30.12212452  6.33313995 32.15629127],[0.99891055 0.99757844 0.81109239],[0.99920385 0.9996258  0.84315889],[0.99597167 0.99900049 0.8762978 ],[0.58353861 0.4685544  0.50651284],[0.77038021 0.9984911  0.36559571],[0.18526601 0.922782   0.10767574],[0.99850329 0.99975951 0.8937863 ],[0.99915774 0.99900776 0.83774144],[0.99515598 0.99934138 0.97994076],[0.9626907  0.66196464 0.17456009],[0.9922887  0.99967973 0.86794302],[25.14531204 22.99563242  3.08269647],[26.09517099 31.07132159  3.57061891],[19.71100045 26.67382834  3.78101304],[-3.70365663 -5.62802048 -3.83335299],[ 2.232407   24.99933197 -4.46464508],[ 0.09473901  8.21323386 -1.04518797],[24.6956007  32.39506105  5.06682894],[26.37872773 26.63331104  3.45350772],[20.10999782 28.30773024 13.67386255],[10.00367078 -1.1029168  -7.83131062],[18.06170898 31.0170838   5.14767751]
73,[27.91390111 45.53422685 20.31584536],[19.8885691  16.31524399 18.63099017],[55.80633522  4.48820603 40.12305133],[45.72506471 76.61224953 85.40998713],[59.46182738 91.5558028  25.26026887],[237.61370231 220.23147735  50.46457639],[5.3396977  2.23738684 2.66216428],[15.10685781 16.012511   14.8819339 ],[ 95.58852891 101.5641424   82.43549373],[40.1314874  13.50394641 37.9843454 ],[1.96806881 2.41790732 2.05526696],[0.99376314 0.97956702 0.94605509],[0.99708876 0.99746707 0.95524968],[0.97352015 0.99989871 0.81627206],[0.98445706 0.9439585  0.55427578],[0.96995127 0.91969678 0.92308976],[0.17669921 0.21366892 0.53207504],[0.99976692 0.9999731  0.99896664],[0.99837411 0.99815498 0.97405021],[0.93659736 0.90249892 0.56618198],[0.98643164 0.99854067 0.83198601],[0.99997346 0.99994296 0.99940862],[18.72301026 13.88270616  9.13629862],[21.6673502  22.79759404  9.88827785],[12.7057509  34.0080098   3.22511752],[14.4363344   9.36350121 -3.33717654],[12.15465594  7.815748    7.24423721],[0.12199135 0.19187766 1.23326394],[33.08908755 40.05464391 26.78829953],[24.05593814 22.96027668 11.83980916],[ 8.03130541  6.91465739 -3.02928828],[15.56971584 24.44025138  3.70090366],[41.75861538 39.3806725  29.03563176]
