seed,rmse_ica,rmse_mssa,rmse_ness,rmse_picog,rmse_sheinker,rmse_ream,rmse_ubss,rmse_waicup,rmse_b1,rmse_b2,rmse_b3,corr_ica,corr_mssa,corr_ness,corr_picog,corr_sheinker,corr_ream,corr_ubss,corr_waicup,corr_b1,corr_b2,corr_b3,snr_ica,snr_mssa,snr_ness,snr_picog,snr_sheinker,snr_ream,snr_ubss,snr_waicup,snr_b1,snr_b2,snr_b3
43,[27.60814249 51.61890259 12.80768825],[16.71245753 33.19891418  8.15969773],[ 2.3585323  11.8046657   4.40622622],[104.99639791  74.25473693  63.36334456],[141.70183995  19.62040894   4.70886306],[3.44146013 4.65241843 4.65888264],[ 3.23064671 11.45967388  3.72635625],[12.53834146 19.68002893  5.10673205],[ 3.44146013  6.7349328  20.35045674],[19.35982357 28.65290413 15.16694719],[47.81590881 57.9794813  41.76280504],[0.99381406 0.97452432 0.97594208],[0.99802538 0.99040064 0.99033107],[0.99995561 0.99863265 0.997984  ],[0.91736947 0.94840161 0.68244732],[0.87842223 0.99622069 0.99757927],[0.99990087 0.99978833 0.99772699],[0.99992056 0.99910158 0.99881203],[0.99908515 0.99735425 0.99658059],[0.99990087 0.99955387 0.94483356],[0.9969796  0.99202496 0.96792651],[0.98781302 0.98395545 0.8224982 ],[18.81867722 12.79329015 13.14358163],[23.17861464 16.62698791 17.05951516],[40.18658441 25.60839165 22.41166078],[ 7.21593297  9.63498222 -0.74376527],[ 4.61191118 21.1953044  21.83467537],[36.90456612 33.69589014 21.92736117],[37.4536316  25.86602033 23.86730914],[25.67461911 21.16895085 21.13013516],[36.90456612 30.48280016  9.12151337],[21.90139307 17.90609257 11.6750331 ],[14.04797268 11.78397899  2.87720337]
44,[25.3821058  50.57902013  4.74328308],[4.62030236 6.86015796 5.32901005],[ 5.08372952  5.52356014 19.9000016 ],[49.81919083 63.38425199 55.84167567],[ 80.20598966 178.78949521  27.79070651],[4.77278421 3.00614887 4.30557333],[3.01049216 6.70673409 3.13653294],[ 5.27101023 11.6049146   5.13962937],[4.77278421 3.00614887 4.30557333],[26.12555462 19.90575578 32.67062973],[27.60289829 18.89622462 27.1289071 ],[0.99447176 0.97460939 0.9973331 ],[0.99983675 0.99967732 0.99603077],[0.9997777  0.99983816 0.94475935],[0.99364821 0.96326858 0.8270732 ],[0.94475152 0.61424487 0.9045234 ],[0.99980401 0.99992087 0.99729022],[0.99992835 0.99975304 0.99863956],[0.99977258 0.99871117 0.9965627 ],[0.99980401 0.99992087 0.99729022],[0.99457172 0.99819533 0.87521337],[0.99347315 0.99659853 0.90067011],[19.54886797 12.97005727 21.7714157 ],[34.34601302 30.32278319 20.7600658 ],[33.51577225 32.20508377  9.31593436],[13.69148758 11.00983811  0.35382775],[9.55528493 2.00262554 6.41500483],[34.06398499 37.48925582 22.61237678],[38.06667095 30.51924375 25.36399954],[33.20154378 25.75662652 21.07436055],[34.06398499 37.48925582 22.61237678],[19.29811059 21.06989207  5.00984647],[18.82032727 21.52196464  6.62435062]
45,[46.31648211 86.10042905 13.34238146],[43.77776896 11.58078284  9.26013059],[10.85668937 24.92480372 30.99493793],[76.11421879 53.57197039 81.86431646],[ 35.46747018 216.39243527  15.89832769],[236.47235904  22.88086549  39.00273727],[71.18817559  3.35098059  2.75363535],[38.75504212 15.06669467  4.88337961],[ 75.67361662  22.55032104 185.87028102],[94.45941569 51.57872396 30.21107923],[120.96337336   3.10776281  31.04232196],[0.98906258 0.92416232 0.97507118],[0.99064334 0.9992722  0.98944388],[0.9990278  0.99393391 0.87615889],[0.95442424 0.97213829 0.555527  ],[0.98933644 0.54277296 0.97772186],[0.19528527 0.99483582 0.77300587],[0.98458594 0.99990696 0.99894253],[0.99468694 0.99885962 0.9975404 ],[0.95307269 0.99498716 0.28918154],[0.93619155 0.97517163 0.88216123],[0.93468352 0.99992593 0.9703888 ],[14.32470965  8.34935919 12.78832953],[14.81434847 25.77470714 15.96065436],[26.92547273 19.11683056  5.46718117],[10.01010509 12.4707131  -2.96889621],[16.64281673  0.34462401 11.2659677 ],[ 0.16381329 19.86001654  3.47109483],[10.59126371 36.54602726 26.49486803],[15.87285671 23.48910576 21.51858687],[ 10.06053116  19.98641092 -10.09120253],[ 8.13451588 12.80005363  5.68967179],[ 5.98634318 37.20050819  5.45391261]
46,[25.85526546 47.56515398 13.4782599 ],[ 5.48799233 15.66068701  4.44889285],[ 0.63867222  1.70570549 10.283204  ],[82.57123256 96.7899072  61.64986241],[18.6078944   8.16453873 47.86356724],[0.60817309 3.0106436  2.34013148],[1.22879399 1.95533317 1.50869042],[ 7.15454873 18.596446    4.65042529],[0.60817309 3.0106436  2.34013148],[10.31186309 12.19720889  9.10602142],[105.94405426 124.07224036 135.42558845],[0.99434179 0.97826094 0.97606324],[0.99979533 0.99809482 0.99745222],[0.99999659 0.9999735  0.98506135],[0.94140359 0.91196124 0.74328477],[0.99715826 0.9993511  0.7567541 ],[0.99999695 0.99991364 0.99923863],[0.99998862 0.99996565 0.9996811 ],[0.99964456 0.99728319 0.9978061 ],[0.99999695 0.99991364 0.99923863],[0.99909449 0.99854486 0.98828495],[0.91677801 0.87975903 0.38830679],[19.38844095 13.50368736 12.70032006],[32.85115105 23.1532493  22.32795767],[51.53386045 42.41138454 15.05042755],[ 9.30284562  7.33286403 -0.50564565],[22.24547632 28.81083243  1.69289532],[51.958877   37.47627858 27.9081914 ],[45.84983937 41.22505014 31.72099392],[30.54777605 21.66086643 21.94314316],[51.958877   37.47627858 27.9081914 ],[27.37267821 25.32425627 16.10642324],[ 7.1378892   5.17597301 -7.34101804]
47,[31.85129611 53.8789972  55.02693385],[20.91618659 43.07476512 55.03135591],[20.67481419 93.71703058 43.40409266],[ 94.07332943 238.63859031 124.31827976],[209.95660426 272.37405686  78.08591908],[238.89673198 101.34207993  71.02533222],[181.91882827  75.69594029   3.65930586],[14.80064333 35.12947801 54.22566282],[43.83068524 11.40602499 62.53434273],[123.21678612 117.38205479 219.55432807],[2.60865633 4.00684892 4.997938  ],[0.99194939 0.97382947 0.92420429],[0.99691899 0.98409611 0.92317864],[0.9966365  0.93996444 0.80659259],[0.93032836 0.70549225 0.75318611],[0.7666404  0.61761144 0.86345273],[0.15095742 0.9002913  0.17505423],[0.66378412 0.95891544 0.99830119],[0.99879635 0.9903393  0.92463419],[0.98595826 0.99883561 0.54888951],[0.89858624 0.89317397 0.76309363],[0.99994915 0.9998439  0.99781706],[17.57687878 12.42107542  0.4814903 ],[21.22977082 14.36500714  0.48079232],[21.33058867  7.61309511  2.54238295],[ 8.17009068 -0.505348   -6.59770325],[ 1.19683017 -1.65384929 -2.55845794],[ 0.0752168   6.93366923 -1.73526889],[ 2.44186797  9.46801374 24.02502236],[24.23380911 16.13603157  0.6088992 ],[14.80385576 25.90677912 -0.6293752 ],[  5.82602343   5.65743135 -11.53784347],[39.31108361 34.99340615 21.31717931]
48,[19.25022267 50.43578083 13.60103831],[28.97524761 16.69705144 16.97982889],[63.61930486 10.05627786 18.52271836],[39.86481108 65.5194063  63.58023992],[132.85128971  51.67634925  27.37375331],[238.23291238  25.48459612  66.68422445],[ 39.14611354 106.25736621 178.69267288],[19.32002819 15.46363374 14.51330712],[ 83.20846325  25.48459612 101.62088591],[36.55064126 12.01296548 19.35680992],[14.46432862 27.72028441 26.2374837 ],[0.99871197 0.97581827 0.97842289],[0.9941349  0.99824057 0.96296841],[0.97062775 0.99903834 0.95880099],[0.99154999 0.95709419 0.77336378],[0.87156189 0.97443136 0.90084369],[0.23448062 0.99405487 0.10228734],[0.98794743 0.96465467 0.13901792],[0.9984359  0.99855038 0.97485251],[0.96047774 0.99405487 0.598175  ],[0.99191244 0.99876857 0.94947389],[0.9984558  0.99403563 0.92272333],[21.95070582 12.99469052 12.62155531],[18.39887785 22.5966698  10.6943304 ],[11.56764258 27.00072021  9.93890212],[15.62762677 10.72206643 -0.77344666],[ 5.17210547 12.78362901  6.5463096 ],[ 0.09938577 18.9239104  -1.18746551],[15.78564794  6.52228456 -9.74913832],[21.91926586 23.2632344  12.05766887],[ 9.23607095 18.9239104  -4.84666295],[16.38152096 25.45646092  9.55632088],[24.43345537 18.19351187  6.91455295]
49,[27.89081754 45.12487512 19.9585183 ],[16.60872401 13.67276015 16.72266482],[47.39545619 37.62487803 50.39678442],[ 219.34768963 1461.87700372 1870.36449761],[197.59479869  39.79917626  19.83726538],[ 29.97580672 145.73682916  68.32280545],[18.05532463  9.45915863  6.27186439],[14.77570973 12.87350518 15.24423421],[29.97580672 30.41806421 24.69839303],[ 39.57517716 272.48002546 415.26612049],[ 6.65275723  9.79832691 18.58582785],[0.99345614 0.98012889 0.95234843],[0.99768045 0.99833886 0.97770801],[0.98271382 0.98618266 0.76452322],[0.74100235 0.14753274 0.01510234],[0.77973114 0.98482482 0.9448437 ],[0.99224211 0.82523743 0.08165682],[0.99720339 0.9992431  0.99431268],[0.99825001 0.99876896 0.98077971],[0.99224211 0.99102629 0.92167874],[0.98678448 0.6240684  0.1757387 ],[0.99962161 0.99925692 0.95179769],[18.73019608 13.96114524  9.29043066],[23.23269561 24.33234159 10.82688688],[14.12468682 15.53996349  1.24494004],[  0.81675968 -16.24875119 -30.14552842],[ 1.7239108  15.05198383  9.34336052],[18.10400338  3.77807918 -1.39831723],[22.50731494 27.53241533 19.3450634 ],[24.24845395 24.85552926 11.63088433],[18.10400338 17.38683406  7.43962264],[ 15.69096362  -1.65722792 -17.07353343],[31.17938745 27.226427    9.90935838]
50,[ 41.40681301  59.28468482 206.16131758],[ 34.01957692  54.974277   205.61446094],[ 9.72976641 25.54100442 42.91047239],[119.35833352  76.32029564 141.60963121],[ 88.53576815 291.68545783  94.49146633],[239.60669774 222.41609201 164.63536232],[228.25538652  59.85980817 134.80045917],[ 32.77916042  55.39351917 205.82252551],[23.6900537  20.01147918 39.49519492],[161.82175535 176.40465916 698.84827788],[9.55886846 8.649091   4.82780634],[0.99009604 0.97918389 0.06095148],[0.99433263 0.98372562 0.09446982],[0.99924529 0.99516568 0.81883552],[0.93945733 0.96431972 0.29619386],[0.9555537  0.08411494 0.69514429],[0.16130097 0.18343741 0.01766006],[0.89381062 0.97752572 0.40489706],[0.99500067 0.98578907 0.09092567],[0.9955431  0.99625801 0.87382874],[ 0.79005069  0.64710862 -0.12374017],[0.99922044 0.99936688 0.99766019],[ 15.29798487  11.59061519 -10.99114704],[ 17.00484281  12.24627497 -10.96807652],[27.87737269 18.90470606  2.64173067],[ 6.10236604  9.39666462 -7.72885925],[ 8.69704578 -2.24883005 -4.21485518],[ 0.0494419   0.10614139 -9.03746589],[ 0.47100027 11.50675909 -7.30083085],[ 17.32746446  12.18028636 -10.97686147],[20.14810007 21.02388167  3.36211135],[  3.45868281   2.11926447 -21.5946614 ],[28.03129127 28.31005618 21.61799977]
51,[93.64540252 54.34059801 84.05023364],[94.8970564  31.40575154 85.43144638],[116.5790007   35.02137932  89.16753899],[106.36921902  30.8918273  148.53665091],[223.90447811 384.99043392 141.7931285 ],[255.6831282  200.64327308 102.13429757],[ 9.21427868 31.6981718  10.05958524],[90.51950933 22.08961042 82.59135521],[239.33254931  56.94854963 264.71988399],[115.0632994   72.84749468  68.46713311],[20.62551581 24.8899862  10.82459415],[0.95922068 0.97221051 0.56216924],[0.95741989 0.9912498  0.56009952],[0.87694232 0.9936098  0.53883888],[0.92748954 0.99697087 0.35250462],[0.82421686 0.45865842 0.35558197],[0.1264938  0.45396875 0.07559402],[0.99936666 0.99656793 0.98698524],[0.96478596 0.99715679 0.62392007],[0.81205577 0.98048033 0.15802858],[0.90915837 0.97675546 0.63338894],[0.99666176 0.99433213 0.98324486],[ 8.20969176 12.34697723 -3.19778192],[ 8.09436615 17.10928169 -3.3393586 ],[ 6.30701441 16.16280057 -3.71113902],[ 7.10310156 17.25259353 -8.14367597],[ 0.63816538 -4.65953327 -7.74010711],[-0.51462045  1.00097342 -4.89043554],[28.35019411 17.0287812  15.24139508],[ 8.50457715 20.16570437 -3.04569526],[  0.05938564  11.93981214 -13.16273469],[ 6.42068451  9.80117309 -1.41664628],[21.3513246  19.12897238 14.60476414]
52,[32.51087757 44.11045012 14.33419999],[30.62051834 11.71019795 10.69477916],[22.63789916 18.42983816 24.43649679],[102.21981391  78.973277    62.08958406],[152.408766   120.14464512  30.2285687 ],[ 68.62330572 219.38169855  53.60927799],[35.68083243  5.59667036 21.08503587],[21.43322007 10.55600586  7.13756416],[19.75351657 63.67379063 71.20834749],[48.4139372  25.33152123 29.15965363],[40.97129583  6.94869429 24.30743778],[0.99320103 0.9807362  0.97430586],[0.99421745 0.99865139 0.98543633],[0.99684499 0.99690745 0.92349728],[0.9317087  0.95262494 0.65040634],[0.87504931 0.85004668 0.89539497],[0.95970671 0.23326939 0.38972487],[0.99658994 0.99985285 0.96308055],[0.99864254 0.99899932 0.99572448],[0.99746632 0.96826348 0.60809537],[0.9848031  0.99495972 0.90133092],[0.9930555  0.99972446 0.95125769],[17.39884712 14.15863571 12.1655274 ],[17.91917021 25.67818077 14.70956016],[20.54269855 21.73903507  7.53221767],[ 7.44871925  9.09986231 -0.56737843],[3.97922204 5.45537712 5.6846449 ],[10.90998827  0.22545761  0.70819742],[16.59072142 32.09087094  8.8135097 ],[21.01767251 26.57947305 18.22199608],[21.72653255 10.9702514  -1.75762156],[13.94001292 18.97624008  5.99734937],[15.38982697 30.2114014   7.57821293]
