seed,rmse_ica,rmse_mssa,rmse_ness,rmse_picog,rmse_sheinker,rmse_ream,rmse_ubss,rmse_waicup,rmse_b1,rmse_b2,corr_ica,corr_mssa,corr_ness,corr_picog,corr_sheinker,corr_ream,corr_ubss,corr_waicup,corr_b1,corr_b2,snr_ica,snr_mssa,snr_ness,snr_picog,snr_sheinker,snr_ream,snr_ubss,snr_waicup,snr_b1,snr_b2
20,[48.49685468 43.50439865 25.67599835],[23.21301313 45.19470931 12.92581683],[ 1.34465808  4.29615017 16.74223016],[ 10.68393747  93.13518519 172.25202073],[3.37403146 8.15946084 5.21816996],[20.50733258 40.65730019 44.43987212],[11.18930324 18.02921958  3.88252081],[7.64749984 8.92644874 3.41301424],[ 20.78391142  66.82800786 101.33150531],[ 3.95947555 10.96339368 20.82565889],[0.97954648 0.9815117  0.89728944],[0.99536243 0.97997835 0.97499709],[0.99998445 0.999818   0.96124665],[0.99901711 0.92321774 0.30544313],[0.99990209 0.99934731 0.99600559],[0.99638936 0.98363204 0.78978422],[0.99892532 0.99679247 0.99778498],[0.99952568 0.99922214 0.99849586],[0.9962896  0.95847147 0.4928748 ],[0.99986502 0.99881574 0.94129015],[13.92514952 14.2788021   7.1024498 ],[20.32479063 13.94771355 13.06383664],[45.06718366 34.38787642 10.81673043],[27.06479422  7.66718985 -9.43028992],[37.07643842 28.81623625 20.94263218],[21.40123748 14.86669477  2.33754057],[26.6633601  21.92992694 23.51072073],[29.96903144 28.03589119 24.63023458],[21.28487532 10.5502952  -4.8218933 ],[35.68666767 26.25056531  8.92102157]
21,[ 7.79910893 10.52969181  7.78156649],[ 9.78965206 26.96707974 65.86488667],[39.406634    3.44124659 38.07274863],[  4.77677761  18.1430667  980.6813919 ],[3.58289036 3.3597042  7.97022435],[29.88665799 16.73984452 65.30457679],[ 8.90025073 17.07762994 31.79055076],[7.73157473 9.72093452 7.68961598],[ 40.50421224  16.3026455  500.46846031],[ 4.09326636  3.835123   58.1727639 ],[0.99947614 0.99890869 0.99137012],[0.99917593 0.9928303  0.65445571],[0.9868806  0.99988321 0.83880911],[0.99980364 0.99677085 0.06206381],[0.99988952 0.99988884 0.99187927],[0.99240492 0.99724938 0.67725811],[0.99931873 0.99712477 0.877508  ],[0.99949644 0.99908488 0.99159334],[0.9861771  0.99739236 0.12261846],[0.99985577 0.99985499 0.71086865],[29.79852125 26.6011523  17.47165593],[27.82407584 18.43278711 -1.08008239],[15.72803417 36.31514963  3.68071195],[ 34.05672051  21.87525156 -24.53756211],[36.55475061 36.52344465 17.26358565],[18.1298739 22.5744371 -1.0058758],[28.65137614 22.40091353  5.24703555],[29.87406181 27.29530515 17.57490355],[ 15.48941717  22.8043038  -18.69453768],[ 3.53980208e+01  3.53738796e+01 -1.39738400e-03]
22,[25.82137599 52.11326326 13.02260911],[22.83104944 32.42744789 15.60026723],[1.31294336 2.05643716 2.83565288],[31.21976164 66.29785664 38.16321099],[3.40511878 3.32152704 4.08140044],[17.99310189 44.80995027 38.93366059],[24.47993283  2.01642382 10.75879424],[6.67581021 9.1964338  4.55910035],[18.26246525 54.43850973 48.22797127],[ 3.68161766 12.35097625 10.7723496 ],[0.99431438 0.97329584 0.97616446],[0.9955092  0.98963987 0.96425575],[0.99998516 0.9999583  0.99881512],[0.99168865 0.95906274 0.83857776],[0.99990018 0.99989184 0.99753734],[0.99721888 0.98026147 0.82566279],[0.99484751 0.99995991 0.982914  ],[0.99962194 0.99918378 0.99695993],[0.99713441 0.97189443 0.76886755],[0.99988329 0.99849774 0.98326598],[19.39983334 12.71050012 12.99903649],[20.46890348 16.8312101  11.43035583],[45.27450117 40.78715665 26.23993524],[17.75082931 10.61947574  3.66009842],[36.99677565 36.62270966 23.07681245],[22.53730018 14.02197626  3.48649181],[19.86321654 40.9578291  14.65772455],[31.14934134 27.77707652 22.11541356],[22.40823292 12.33134095  1.62701672],[36.31864729 25.21543977 14.6467878 ]
23,[50.26380542 45.54930931 15.46585893],[26.16950739 41.52152967 19.71680126],[ 4.13962906  5.17941613 19.38868315],[ 41.03892008  84.85541892 209.91860082],[ 6.15680535  5.67269309 11.8115659 ],[33.27894516 47.54146977 39.54004818],[ 3.68916256  5.06015517 11.85439131],[6.58366255 8.42897674 9.09218357],[ 67.30014914  83.63869285 121.52869627],[ 9.71867074 11.70732621 19.18042992],[0.97800421 0.97970009 0.96469945],[0.99414193 0.98296326 0.94083292],[0.99985246 0.99973552 0.94856422],[0.98579627 0.93574621 0.25770101],[0.99967406 0.99968256 0.98007461],[0.99053068 0.97780351 0.8207602 ],[0.99988282 0.99974755 0.97982471],[0.99963452 0.99931621 0.98783385],[0.96310904 0.93730671 0.42959639],[0.9991875  0.99865062 0.94958249],[13.61431366 13.87982958 11.5055157 ],[19.28351002 14.68399861  9.39626741],[35.30019243 32.76384941  9.54203031],[ 15.37550249   8.47587386 -11.14802187],[31.85231251 31.97367975 13.84684704],[17.19602993 13.50801342  3.3522527 ],[36.30086513 32.9661888  13.81541141],[31.27006972 28.5339684  16.11963268],[11.07910044  8.60132076 -6.40058019],[27.88728359 25.68031111  9.63582984]
24,[28.96679154 49.96258372  4.36201378],[ 8.24967049 31.80200168 14.68220692],[ 2.08381532 13.98937356  5.40538011],[ 55.19662424  54.55679254 105.49953372],[2.41371933 5.00374564 3.93283594],[17.57323506 56.92730207 23.23578462],[ 3.27803821 23.69543844  3.7930595 ],[ 6.53542463 11.18288906  3.96939134],[31.92796765 92.02331627 96.18714011],[ 4.97676697 15.88971865 15.8830073 ],[0.99279816 0.97534518 0.99747454],[0.999414   0.98997797 0.96827965],[0.99996261 0.99807508 0.99570888],[0.97473582 0.97188754 0.48678323],[0.99994988 0.99975302 0.99771929],[0.99735029 0.96948575 0.92813213],[0.99990749 0.99448256 0.99787972],[0.99966107 0.9988134  0.9977395 ],[0.9913361  0.92571201 0.51824876],[0.99978681 0.99751872 0.96469282],[18.40141309 13.07656772 22.49925591],[29.31068892 17.00037638 11.95716978],[41.26223645 24.13350015 20.6364718 ],[12.80117062 12.31248891 -5.17201422],[39.98568559 33.063561   23.39887999],[22.74238661 11.94305346  7.96984974],[37.32714075 19.55617052 23.71320347],[31.33394476 26.07838517 23.31851824],[17.55599548  7.7715079  -4.36934366],[33.70047485 23.02714135 11.27434188]
25,[24.23824434 52.01611796 14.48010106],[18.7854838  12.03885228 19.55591048],[ 1.98309129 13.24710539  2.65002858],[ 71.49674923 139.39075727  78.06777723],[4.65827719 1.9158105  6.43637522],[39.21897526 67.32557996 22.78170747],[20.30365052  2.56522284  6.05560144],[ 7.59132692 10.17061081  6.55700916],[78.39932262 67.3015654  68.32491204],[13.57596501 12.29916249 10.70660594],[0.99498292 0.97333377 0.96906721],[0.99695882 0.9985724  0.94179372],[0.99996614 0.99827357 0.99896264],[0.95867066 0.84994345 0.59214114],[0.99981338 0.99996387 0.99391215],[0.98693722 0.95804643 0.92816723],[0.99647653 0.99993512 0.99462882],[0.99951776 0.99899639 0.99364521],[0.95092809 0.95808956 0.64199791],[0.9984167  0.99851129 0.98338828],[19.94939779 12.72670676 12.07756473],[22.16297328 25.43776379  9.46743577],[41.69256681 24.60704567 26.82798544],[10.55369505  4.16478595 -2.5564397 ],[34.27491442 41.4024145  19.12016951],[15.76949613 10.48586344  8.14127117],[21.48793838 38.86696355 19.64985091],[30.03306708 26.90252478 18.95888078],[ 9.75317476 10.48896218 -1.39858504],[24.98400677 25.25195472 14.69996021]
26,[25.57188481 10.98012449 14.01056766],[10.69516053 16.84776524 39.04374407],[ 4.56956293  2.13206563 29.47634626],[196.42258374  27.12365289  61.89855596],[2.14312719 1.97775577 4.3848117 ],[55.52970442 23.3673319  53.842781  ],[ 6.40327089 15.80230309 74.79706711],[7.88635874 6.157008   5.07851495],[ 99.23487544 144.1794802  395.30855717],[13.04072863 18.02987797 39.21438587],[0.99442767 0.99881319 0.97257422],[0.9990167  0.99720616 0.82914007],[0.99982024 0.99995518 0.89160815],[0.775355   0.99282223 0.68787338],[0.99996057 0.99996143 0.99715442],[0.97436021 0.9946334  0.73072011],[0.99964782 0.99753558 0.61405821],[0.99948334 0.99966906 0.99644673],[0.92462556 0.84227777 0.14389652],[0.99853864 0.99680985 0.82853741],[19.48416618 26.23732022 12.36388195],[27.05567482 22.51861945  3.46196744],[34.44192772 40.47345413  5.90352359],[ 1.77559258 18.38250194 -0.54061376],[41.01846204 41.12601228 22.45397763],[12.74891374 19.67728296  0.67044692],[31.51138347 23.07505775 -2.18469479],[29.7018904  31.26207114 21.17826188],[  7.70613439   3.87139639 -16.64572773],[25.33338382 21.92960975  3.42408823]
27,[25.5065984  86.90112563  6.74553829],[25.82430405 21.58303894 26.38036417],[3.30162567 3.32951083 2.22203931],[127.17141696  99.95267599  57.58622806],[5.61156336 3.27221591 5.21622297],[51.08722996 31.85918791 34.52547695],[3.93554066 9.44045865 3.80187531],[11.42664774  8.56462962  7.07877584],[ 69.73299015 116.70311716 171.1651797 ],[11.87253715 15.93560564 24.36538473],[0.9944562  0.92301137 0.99338268],[0.99428685 0.99541159 0.89946461],[0.99990616 0.99989068 0.99927033],[0.88561477 0.91446761 0.70903002],[0.99972883 0.99989441 0.99599396],[0.97803108 0.99012951 0.85844994],[0.99986663 0.99912083 0.99787197],[0.99891082 0.99934156 0.99261555],[0.96080804 0.88780412 0.33213627],[0.99878964 0.99750469 0.9229857 ],[19.50637008  8.26895746 18.71266435],[19.39884844 20.36721361  6.86738086],[37.26486432 36.60185686 28.35796183],[5.55163077 7.05357698 0.08662393],[32.65774356 36.75262645 20.94587364],[13.47317387 16.98477147  4.53020285],[35.7393329  27.54960361 23.6930392 ],[26.48104419 28.39529377 18.29383339],[10.77065521  5.70781637 -9.37531182],[26.14855022 23.00209403  7.55753112]
28,[ 9.45714217 46.58971998 16.16397253],[26.83380958 31.45745974 55.77139269],[ 5.7933724   6.52130815 13.10553949],[587.94166044  52.32085825 324.00134969],[3.3271116  4.0786351  9.57861653],[38.74975363 30.84851769 91.00926729],[ 16.6427286   23.59048495 121.71207467],[ 8.49151176 13.41331541 11.93727332],[342.70935548 116.42933785 755.38577932],[32.52276906  5.32189642 48.41599184],[0.99923235 0.97875407 0.9606679 ],[0.99381214 0.9902327  0.70857461],[0.99971108 0.9995807  0.97568248],[0.37900951 0.97409838 0.17785139],[0.99990475 0.9998365  0.98695194],[0.98728834 0.99058023 0.53611926],[0.99761896 0.99453355 0.43230236],[0.99939681 0.99829544 0.97930147],[0.57479094 0.88827737 0.07746952],[0.99101162 0.9997207  0.76963354],[28.12422262 13.6836635  11.12203451],[19.0657743  17.09499251  0.36476679],[32.38079206 30.76277105 12.94389852],[ -7.74726372  12.67596831 -14.9179398 ],[37.19807359 34.83916845 15.66694084],[15.87404206 17.26477949 -3.88871577],[23.21493035 19.59472812 -6.41367672],[29.05972067 24.49874276 13.75489383],[ -3.05909823   5.72821695 -22.27037951],[17.39567067 32.52813715  1.59321992]
29,[10.10378402 43.35965738 13.95550374],[25.93317646 11.27045107 25.63589268],[ 6.51282065 11.39377838  6.03828627],[ 90.82858133  18.03575191 183.44853581],[8.01303438 3.43439521 3.84347767],[50.65898403 32.81446114 41.32517968],[ 4.09090161 10.56144341 23.75177207],[7.49804477 9.49806766 5.09118986],[ 52.2880109   32.71719572 317.59292799],[10.2526262   2.9169773  42.79993151],[0.99912259 0.9814578  0.97243582],[0.99422526 0.99875098 0.91226138],[0.99963534 0.99872349 0.9946528 ],[0.93638625 0.99679167 0.27842374],[0.99945159 0.9998837  0.99781752],[0.97877816 0.98950734 0.81263501],[0.99985591 0.99890509 0.9257067 ],[0.99951751 0.99912155 0.99618069],[0.97751078 0.98956423 0.18115398],[0.99909797 0.99991608 0.80564543],[27.54973989 14.30774866 12.39808624],[19.36230667 26.01063954  7.11602769],[31.36403859 25.91611015 19.67472261],[ 8.47497035 21.92678045 -9.97728841],[29.56348085 36.33246011 23.59850935],[13.54629146 16.72815996  2.96870158],[35.40304028 26.57499997  7.77907625],[30.14046039 27.49676032 21.15661073],[ 13.27137855  16.75394406 -14.74441988],[27.4227185 37.7508045  2.6641351]
30,[28.00941727 51.54975619 13.73461661],[20.21950657 46.17356671 13.99370411],[8.32505851 3.158294   7.14513726],[115.51052851 101.74686859 194.83647609],[6.2735226  7.02530384 8.46839705],[34.09217302 32.65362548 44.61327718],[6.02848528 3.21737211 7.47335882],[ 5.02338913 10.57148357  5.47761098],[121.53810054  63.22915354 114.82300292],[14.20705423  7.87506668 20.38554706],[0.99326559 0.97386911 0.97319189],[0.99650105 0.97908253 0.97194235],[0.99940406 0.99990161 0.99255469],[0.90200249 0.91010292 0.28132837],[0.9996627  0.99951308 0.98966838],[0.99016737 0.98943557 0.78717328],[0.99968729 0.99989789 0.99177834],[0.99979233 0.998923   0.99556041],[0.89328637 0.96221978 0.44569048],[0.99826784 0.99938814 0.94357045],[18.6933395  12.80493319 12.53666577],[21.52400991 13.76159703 12.37434285],[29.23167508 37.0604144  18.21278506],[  6.38698955   6.89904446 -10.50040874],[31.68919164 30.11616327 16.73697234],[16.98632729 16.77083735  2.30371405],[32.03525688 36.89943963 17.82267989],[33.61948454 26.56674672 20.52117288],[ 5.94517208 11.03111814 -5.90758143],[24.58934021 29.1243807   9.10654917]
31,[26.23931034  7.89123227 26.3735942 ],[28.4867833  11.43474223 61.56108416],[ 3.57210513  1.57984752 13.60982413],[105.3695275   53.08420935 104.27583197],[ 9.66422295  2.15110536 26.55821262],[24.48612511 52.93177874 50.232057  ],[19.08810293 24.98453773 38.28538112],[10.47027441  8.20733597 23.12811105],[ 57.60239233  52.85558957 267.86065673],[ 9.16457114 11.5307409  23.0652274 ],[0.99409279 0.99939066 0.89727856],[0.99301163 0.99871073 0.64577975],[0.99989015 0.99997539 0.97372874],[0.91598147 0.97327772 0.48221746],[0.99920072 0.99995439 0.91023034],[0.99483513 0.97342269 0.75291459],[0.99689149 0.99388394 0.83320766],[0.99905792 0.99934212 0.92816158],[0.97266149 0.97350583 0.22231083],[0.99927782 0.99869063 0.9299255 ],[19.26037265 29.10656897  6.86961019],[18.54655274 25.88493792 -0.49312861],[36.58093632 43.07716203 12.61594632],[ 7.18512032 12.55015844 -5.07067669],[27.93608216 40.39623187  6.80901972],[19.86101969 12.57513573  1.27337733],[22.02416561 19.09603913  3.63233709],[27.24025969 28.76542127  8.01019331],[ 12.43061056  12.58764707 -13.265182  ],[28.39717804 25.81232123  8.03384177]
32,[27.98495983 84.12667487 13.84994436],[32.1364433  16.63490045 14.3461874 ],[ 6.30603353 14.71115207 13.15824333],[ 99.02176477  76.82144565 178.28607371],[11.73305142  3.74286704  9.56757715],[26.3750861  56.7028961  53.19851077],[21.2721304  10.68900653 10.03292734],[12.16701135 10.24120348  7.56738885],[ 83.79885221  69.70787587 135.13663379],[ 8.1408065  13.07356803 18.46311748],[0.9932738  0.92784927 0.97253998],[0.99107665 0.99726961 0.96920567],[0.99965784 0.99787322 0.97540906],[0.92495905 0.94592975 0.33116459],[0.99881742 0.99986241 0.9868405 ],[0.99401217 0.96978587 0.73329759],[0.99619592 0.99887431 0.98544775],[0.99872875 0.99902248 0.99162266],[0.94454383 0.95547127 0.40549219],[0.99942997 0.99831899 0.95336718],[18.70092722  8.55079103 12.46403601],[17.49946478 22.62906138 12.15826659],[31.64429546 23.6965318  12.90903832],[ 7.72480773  9.33981599 -9.72935183],[26.25120149 35.58537751 15.67695712],[19.21554325 11.97736068  0.77500709],[21.08320124 26.47071866 15.26444324],[25.93574271 26.8424456  17.71407557],[ 9.17465957 10.18382852 -7.32246535],[29.42607233 24.72158288  9.96689592]
33,[31.72843754 47.34715404 18.87551378],[34.11996924 47.99607204 19.01507658],[ 5.48990114 14.40131591  1.68778194],[ 63.38666111 171.69266157 605.87883959],[14.6655457  12.09046274 14.19081668],[ 39.16643796  47.92280409 170.35548531],[13.08256143 27.46879362  1.64526813],[14.54250911  5.9596123  13.93146182],[105.75318494 129.67847643 360.69206237],[13.21126689 17.01465647 29.10141357],[0.99132342 0.97794358 0.9459085 ],[0.98993098 0.97723842 0.94509869],[0.99974058 0.99796083 0.99957902],[0.96705318 0.7951738  0.0979433 ],[0.99815034 0.99856836 0.97204823],[0.98690879 0.97731095 0.32331616],[0.99852993 0.99261903 0.99959999],[0.99818389 0.99964967 0.97199197],[0.91548999 0.86662492 0.1670168 ],[0.99850009 0.99715709 0.89496642],[17.61044725 13.54358791  9.77502095],[16.97924835 13.42535157  9.71103501],[32.84813049 23.88142196 30.74666989],[ 11.59946345   2.35443084 -20.35471911],[24.31345642 25.40060704 12.25284879],[15.78113945 13.43862106 -9.33412586],[25.30556532 18.27267377 30.9682629 ],[24.38663408 31.54510535 12.41306281],[  7.15355186   4.79210751 -15.84973512],[25.22053165 22.4330018   6.01471489]
34,[53.93276363 14.10423234 15.96052159],[30.60124198 47.40867964 21.78464799],[1.86615829 4.66206088 9.53931467],[ 27.57514192 142.17457903 221.42033542],[11.84610134 10.99685563 14.5249147 ],[47.7456247  38.5618154  34.49402604],[ 2.15751957 19.59679818  8.94769461],[17.30176927 11.71948405  9.3971177 ],[ 52.13165531  79.72048462 122.0596493 ],[ 6.28294033 12.62518815 17.58159897],[0.97463325 0.99803606 0.96233784],[0.99198489 0.97782036 0.92772838],[0.9999701  0.99978567 0.98687028],[0.9934477  0.84198534 0.24504159],[0.99879934 0.99881264 0.97017605],[0.980657   0.98526298 0.85538829],[0.99996007 0.99620528 0.98838943],[0.99746292 0.99870863 0.98698802],[0.97688308 0.94320055 0.42108574],[0.99966044 0.99843396 0.95704824],[13.00236747 24.06247643 11.23205498],[17.92463991 13.5323083   8.52998565],[42.2204514  33.67790669 15.70265308],[ 18.82906585   3.99302648 -11.6113535 ],[26.1679121  26.22409503 12.05072477],[14.06074937 15.32631607  4.53811885],[40.96032611 21.2057631  16.25877353],[22.87761065 25.67129566 15.83310326],[13.29739067  9.0180669  -6.43844577],[31.67616227 25.02470832 10.39182919]
35,[49.18500696 44.10435773 25.60774446],[13.57285022 37.64057807 10.02616664],[4.82312376 5.49800592 7.58239019],[92.97448632 44.81073887 60.26600528],[4.89491078 4.8000608  1.81942639],[37.05381321 40.2334921  76.51537385],[15.29337104  2.63768256  2.02260324],[7.98602776 7.98575514 2.11205064],[59.99446301 56.89200456 76.49722171],[11.06070567 10.3177775  14.41675836],[0.97895337 0.98093275 0.89786436],[0.99841316 0.98598353 0.98542866],[0.99979973 0.99970207 0.99161139],[0.93266979 0.98084027 0.69523058],[0.99979369 0.99977729 0.99951087],[0.9883341  0.98394379 0.60466851],[0.99805151 0.99993141 0.99939592],[0.99946255 0.99937125 0.99938216],[0.97025524 0.96981753 0.60469464],[0.99894757 0.99895305 0.97061147],[13.80276623 14.15983546  7.12557004],[24.98599984 15.53633981 15.27029822],[33.97285286 32.24536144 17.696874  ],[ 8.27214522 14.0218234  -0.30845152],[33.84452537 33.42453072 30.09430679],[16.26276282 14.95771092 -2.38197751],[23.94935647 38.62501493 29.1747826 ],[29.59280467 29.00314571 28.79891006],[12.07719756 11.94844078 -2.37991666],[26.76376426 26.77774233 12.1156442 ]
36,[27.39834216 87.6199856  13.05445153],[16.75370779 39.02473521  8.95035237],[5.61697392 2.06074482 2.51431169],[255.75149128  44.13691205  71.77466031],[5.05484595 3.6557242  2.3550136 ],[36.5031856  41.86563392 38.75889042],[15.1591195   2.47888062  2.06530138],[ 6.71396536 12.47493269  3.32805576],[132.0007419   41.4659682   38.68399905],[14.64934756  9.3117119   8.14798611],[0.99356975 0.92171443 0.97633703],[0.99759324 0.98493651 0.98809217],[0.99972848 0.99995812 0.99906675],[0.68571982 0.98125028 0.62956787],[0.99978015 0.99986818 0.99918747],[0.98872099 0.98308127 0.83236442],[0.99804267 0.99993941 0.99937006],[0.99961904 0.99848891 0.9985055 ],[0.87705623 0.98339226 0.83324172],[0.99815749 0.99914515 0.99033855],[18.88493527  8.19740195 12.97782398],[23.15720225 15.2226662  16.25619391],[32.64937282 40.76898116 27.2846143 ],[-0.51694252 14.15342659 -1.82642633],[33.56526248 35.78999702 27.8531282 ],[16.39280564 14.61231207  3.52556987],[24.02594144 39.16435325 28.99332787],[31.09983905 25.12870128 24.84918471],[ 5.22789353 14.6956293   3.54236931],[24.32305531 27.66887489 17.07199099]
37,[24.94882589  8.95727152 13.50154764],[ 21.52549152  29.19646942 132.9569818 ],[  6.75985416   6.4812281  171.91641096],[326.79702517  22.74377774 183.45537028],[2.55644366 4.8077743  9.90022858],[17.94752585 28.3412464  95.47167235],[ 8.79070553 18.55988147 44.16225382],[ 6.23006087 10.40850578  5.86437304],[170.04667945  65.55948527 701.63781044],[24.17111364  4.94836084 54.80712022],[0.99468864 0.99920836 0.97481343],[0.99602531 0.99155899 0.4031794 ],[0.99960717 0.99958604 0.31965785],[0.59293972 0.99495735 0.30324073],[0.99994373 0.99977211 0.98570773],[0.99723308 0.99205231 0.51983132],[0.99934043 0.99662087 0.79646465],[0.99967431 0.99893326 0.99503359],[0.81678439 0.9602104  0.08176202],[0.99500864 0.99975868 0.7273876 ],[19.69841873 28.00595072 12.68532552],[20.98035943 17.74285875 -7.18122637],[31.04067444 30.81631937 -9.41335013],[-2.64614092 19.91221345 -9.977612  ],[39.48669646 33.41058406 15.38009215],[22.55932922 18.00108658 -4.30449402],[28.75894632 21.67796154  2.391972  ],[31.74957518 26.70169775 19.92856482],[  3.02805786  10.7167548  -21.62926311],[19.97348777 33.16023828  0.51625692]
38,[25.46840322 90.42727937  7.44150428],[23.94143532 35.24534028 15.21958272],[ 4.0220605   6.72525969 32.89015935],[ 79.34638807  53.99034783 272.14908723],[ 2.64677348  3.01723153 13.6122237 ],[40.95962998 47.11419279 80.28549696],[ 7.44284886  3.59843588 16.57615485],[ 6.4940853  11.43560069 11.03152202],[ 80.06083337  47.04216726 191.74164024],[ 9.69188014  8.65768294 28.0307805 ],[0.99447537 0.91630519 0.99178304],[0.99506282 0.98771466 0.96638232],[0.99986071 0.99955422 0.87137195],[0.94963316 0.97244084 0.20884094],[0.9999399  0.99991022 0.97341017],[0.9857537  0.97880188 0.58659933],[0.99952298 0.9998723  0.9618558 ],[0.99966351 0.99874296 0.98186394],[0.94873576 0.97885483 0.29620468],[0.99919166 0.99926147 0.90147111],[19.51938663  7.92347621 17.85978186],[20.0564173  16.10743134 11.64494167],[35.550449   30.49528433  4.95167703],[  9.64887773  12.40314299 -13.40314106],[39.18508549 37.45729275 12.61441504],[15.39230048 13.58643041 -2.79974541],[30.20463697 35.92719012 10.90332068],[31.38906119 25.88428586 14.44028786],[  9.57101884  13.59971907 -10.36133218],[27.91126028 28.30143196  6.34029277]
39,[23.93505236 47.9821771  13.12328076],[24.91486107 26.66950061 26.1917731 ],[2.56260133 1.90990626 2.3546854 ],[ 23.60612175  29.58387135 620.85762562],[6.165822   2.50455042 1.78625381],[26.32693301 31.12847725 66.2482178 ],[15.52138391  1.89032449  7.1709406 ],[ 7.98220998 12.23152834  3.35389001],[ 26.88525038  31.0675205  415.0592467 ],[ 5.54212618  5.77484121 51.41955685],[0.99510716 0.97733709 0.9760974 ],[0.9946942  0.99298504 0.90916136],[0.99994346 0.99996402 0.99918614],[0.99527061 0.99146832 0.06386056],[0.99967375 0.99993813 0.99953213],[0.99412992 0.99059661 0.6592012 ],[0.99792988 0.99996477 0.99245551],[0.99945921 0.9985626  0.99841014],[0.99389347 0.99063293 0.13914432],[0.99973638 0.99967138 0.74983776],[20.05873334 13.42786651 12.93214818],[19.71025157 18.52916783  6.92969859],[39.46580003 41.42922445 27.85433878],[ 20.17892812  17.6283654  -20.56684381],[31.83960132 39.07486991 30.2541332 ],[19.2314156  17.18630797 -1.1304874 ],[23.82081215 41.51873827 18.18147409],[29.59695801 25.29985098 24.78202026],[ 19.04913926  17.20333363 -17.06920529],[32.76589279 31.81866456  1.07043   ]
40,[29.24659471 44.79527319 17.65388919],[44.16432659 42.11546225 47.12830665],[21.32813662  9.93497788 65.48689339],[410.62256736 164.8942036  165.88919309],[5.85267991 2.29770268 7.04884422],[31.49429757 39.73519452 37.79543109],[ 21.51524775   7.77090026 114.15799653],[6.18036925 8.14171688 9.60965484],[224.63566175 465.11528196 350.56602987],[16.91511262 33.18384289 37.74249636],[0.99265427 0.98037215 0.9537969 ],[0.98348564 0.98282607 0.77050322],[0.99610561 0.9990279  0.66527897],[0.50595087 0.80714625 0.33505423],[0.99970508 0.99994793 0.99275795],[0.99154256 0.98480507 0.83681619],[0.99603808 0.99940427 0.45276293],[0.99968248 0.9993797  0.98648111],[0.73127485 0.43559262 0.16591252],[0.99754521 0.98931251 0.83941724],[18.31791484 14.02482171 10.35618866],[14.73798872 14.56063406  1.82735987],[21.06036269 27.10612741 -1.03009119],[-4.62943531  2.70535771 -9.10336531],[32.29232551 39.82358887 18.33063833],[17.67478244 15.06595863  3.74421052],[20.98449394 29.24003881 -5.85713018],[31.81913251 28.83514558 15.63884081],[  0.60984691  -6.30174668 -15.60240002],[23.0739231  16.63093193  3.75638415]
41,[26.76909662 49.13755336  7.24397673],[27.1936396  37.03574556 33.71258293],[  4.08835524   3.26699516 225.33252741],[105.97207523  53.95285297 168.12941362],[ 9.96555844  4.0257469  10.61918715],[29.89646362 50.4625311  31.70128389],[ 2.44584326 22.05705362  4.91186893],[10.30413475 11.17823506  6.53727658],[ 64.35083198  50.15386002 194.38793715],[ 9.91678008  8.67634923 31.80758927],[0.99386051 0.97617809 0.99247849],[0.99366104 0.98645187 0.84205447],[0.99985608 0.99989477 0.25238233],[0.91530966 0.97251983 0.33012201],[0.99914616 0.99984016 0.98383907],[0.99231788 0.97581233 0.87572494],[0.99994849 0.99521848 0.99645465],[0.99909907 0.99879187 0.99368322],[0.96613712 0.97607693 0.28903615],[0.99915408 0.99925845 0.87769701],[19.08674667 13.22119493 18.09345566],[18.95007422 15.67704367  4.73715603],[ 35.40844847  36.76649567 -11.76348117],[ 7.13559219 12.40917721 -9.21987738],[27.66938816 34.95253616 14.77117109],[18.12702458 12.9900849   5.27145956],[39.87084853 20.17851552 21.46806119],[27.37919038 26.08200074 18.98505939],[ 11.46833765  13.04337823 -10.48038964],[27.71200733 28.28272501  5.24238149]
42,[27.78860671 53.02474313 12.97032518],[ 4.70532956 12.36931836 18.63630016],[1.87079118 2.34931824 2.72625606],[  1.76831033 196.07601076 362.2794906 ],[2.6275347  2.54973388 4.13143743],[13.83303999 51.37189621 32.51701401],[12.74368514 17.16432375  7.77423613],[ 6.94603945 10.68031222  5.21238492],[ 13.87369397  99.98844789 185.31942246],[ 1.76338263 14.60246468 31.57247278],[0.99338424 0.97227008 0.97594836],[0.99980939 0.99849607 0.94763318],[0.99996987 0.99994558 0.99890139],[0.99997311 0.75538894 0.14666495],[0.99994059 0.99993588 0.99747726],[0.99835419 0.97447264 0.86788066],[0.99860247 0.99709615 0.99109333],[0.99959351 0.99888304 0.99612102],[0.99834387 0.91403875 0.29327499],[0.99997323 0.99790408 0.877857  ],[18.76208553 12.55989403 13.0339793 ],[34.18762004 25.20255015  9.88580265],[42.19891468 39.63062849 26.58166371],[ 42.6882513    1.20097625 -15.88787838],[39.24845175 38.91956841 22.97097298],[24.82106833 12.83495357  5.05078342],[25.53352032 22.35693155 17.47984204],[30.80467606 26.47778653 20.952267  ],[ 24.79557876   7.05046896 -10.06542218],[42.7124898  23.76094221  5.30682463]
