seed,rmse_ica,rmse_mssa,rmse_ness,rmse_picog,rmse_sheinker,rmse_ream,rmse_ubss,rmse_waicup,rmse_b1,rmse_b2,corr_ica,corr_mssa,corr_ness,corr_picog,corr_sheinker,corr_ream,corr_ubss,corr_waicup,corr_b1,corr_b2,snr_ica,snr_mssa,snr_ness,snr_picog,snr_sheinker,snr_ream,snr_ubss,snr_waicup,snr_b1,snr_b2
10,[25.51214523 10.80599391 25.23128099],[30.5092423  18.07232093 50.07834841],[ 5.23570347  9.46578834 11.4234249 ],[218.03787018 241.97578257 363.57434579],[ 7.62824816  3.69426138 22.95741142],[27.87694173 23.39269261 43.80027718],[26.98975477 19.61702176 42.96338559],[ 8.55357123  6.81166533 22.05077632],[240.73863967 138.15991257 225.88684852],[26.29614541 14.59401963 22.35308012],[0.99442465 0.99884865 0.90451533],[0.99196906 0.99678867 0.7201621 ],[0.99976409 0.99911804 0.98140626],[0.74288065 0.6816077  0.17622774],[0.99950009 0.99986555 0.93000509],[0.99335331 0.99458804 0.79269336],[0.99395817 0.99620019 0.79908956],[0.99938314 0.99955462 0.93360914],[0.70921143 0.85205848 0.2724845 ],[0.99410449 0.99790626 0.93456951],[19.5044814  26.37617113  7.25421058],[17.95079253 21.90918689  1.29999664],[33.25992013 27.52632972 14.13706997],[  0.86878235  -0.62597256 -15.91886804],[29.99092471 35.69891312  8.07453824],[18.73451843 19.66786122  2.46345941],[19.0154422  21.19680402  2.63102664],[28.99647144 30.38439946  8.42451891],[ 8.50492868e-03  4.24182451e+00 -1.17848223e+01],[19.24157912 23.76596698  8.30624909]
11,[24.80397036 44.07456776 28.24049537],[22.82216421 69.42648641 32.82586839],[55.17934733  4.58520563 34.38728239],[ 10.74052378 666.34380276 268.33145141],[3.56892026 7.57990085 8.47010437],[25.95628247 51.99903185 34.67683064],[ 4.45608658 35.16245859 12.81541196],[5.82635406 8.93576118 6.23387448],[ 26.18550295 362.11990626 178.24812088],[ 3.97773684 33.05672591 23.58901798],[0.99475016 0.98104343 0.87454751],[0.9955175  0.95190912 0.85041154],[0.97472975 0.99979268 0.86011128],[0.99900793 0.31696784 0.21341075],[0.99989033 0.99943654 0.98957502],[0.99424664 0.97373158 0.85581247],[0.99982915 0.98775882 0.97650998],[0.9997265  0.99926364 0.99424916],[0.99414374 0.52731919 0.3132746 ],[0.99986381 0.98938777 0.92677369],[19.7489969  14.16570426  6.27555038],[20.47228446 10.21896177  4.96867211],[12.80388979 33.82228917  4.56503948],[ 27.01891175  -9.42450176 -13.28043501],[36.58868407 29.456195   16.73522135],[19.35457114 12.72956035  4.49220864],[34.66034857 16.12788083 13.13834515],[32.33148353 28.02683444 19.39783551],[19.27820258 -4.12758249 -9.72750262],[35.64670003 16.66426876  7.83879936]
12,[31.55114119 45.49538827 36.02672689],[ 83.42308089  45.91285645 126.430497  ],[ 6.48038351 62.29671703 63.0810358 ],[ 303.91421322  279.22327402 1121.82669063],[19.02393352  5.23905532 19.41170592],[ 67.93505563  40.33207188 119.43062391],[49.94640899 20.42673251 31.7339312 ],[16.51400833 11.02354133 22.08711173],[437.80122339 158.13458988 635.77060223],[30.96434964 14.12505288 54.63607078],[0.9913933  0.97972457 0.80256672],[0.94323765 0.97901596 0.37968666],[0.99963853 0.96369909 0.6773508 ],[0.62424736 0.62769084 0.05124206],[0.99694041 0.99972938 0.94790621],[0.9629284  0.98393473 0.43002405],[0.98104583 0.99587958 0.87765502],[0.99765744 0.99888589 0.93335657],[0.48707161 0.81741483 0.0918407 ],[0.99186185 0.99803689 0.7289243 ],[17.65911953 13.89011798  4.16050044],[ 9.21369648 13.81077924 -6.74404032],[31.40740681 11.16016229 -0.70497973],[ -2.01559925  -1.8695668  -25.70551879],[22.05341458 32.66440581  9.53172252],[10.99754226 14.93645485 -6.24931744],[13.66933559 20.84548746  5.26251907],[23.28237099 26.20304281  8.41021802],[ -5.18611844   3.06892797 -20.77301226],[17.82218172 24.04966385  0.54340741]
13,[49.27950421 44.60912835 12.79860799],[15.23179071 12.64404736 19.45134019],[ 1.8250258  16.05384886 35.38444427],[102.78043316  35.63955494  70.47333112],[3.11879826 2.06610248 1.34352534],[48.20761161 46.52483928 15.22243155],[2.77384471 8.80693064 2.06726753],[7.14781669 5.18198205 2.0453376 ],[ 60.08802671  46.44358213 121.32987424],[10.66441082  8.40697486 22.42432477],[0.97887165 0.98052943 0.97638425],[0.99800088 0.9984278  0.9482409 ],[0.99997133 0.99746639 0.85448145],[0.91958455 0.987691   0.63715496],[0.99991662 0.99995791 0.99973337],[0.98051063 0.97928106 0.96730331],[0.99993376 0.99923575 0.99936959],[0.9995787  0.99975654 0.99945254],[0.97017111 0.97935553 0.43139727],[0.99902145 0.99930342 0.93299651],[13.78609437 14.06099075 13.14974184],[23.9844017  25.01174322  9.514006  ],[42.41404078 22.9378821   4.316749  ],[ 7.4012121  16.01082006 -1.66749942],[37.75967529 40.74642832 32.72807937],[13.97710866 13.69576787 11.64331599],[38.77777809 28.15297398 28.98506293],[30.55595285 32.75954741 29.07769656],[12.06366213 13.71095132 -6.38635836],[27.08068364 28.55667053  8.27860909]
14,[25.12601102 44.69808799 28.26893791],[28.38937986 16.71185202 71.01921892],[11.06853974 41.00859466 10.96868281],[  76.47483716  321.00194083 1586.54428028],[ 5.82019481  4.00959919 11.45507328],[ 41.22844066  27.46114395 137.45289348],[17.08057173 86.04951086  6.13957523],[ 6.23729805  7.39154211 12.19300111],[237.37093626 171.6403746  835.26214069],[15.12290264  6.33596519 74.94284088],[0.99458647 0.98045127 0.87604964],[0.99314438 0.997254   0.62895423],[0.99894795 0.98381398 0.9827143 ],[0.95345858 0.57421852 0.03639412],[0.99971497 0.99984152 0.98164832],[0.98573728 0.99263403 0.38605975],[0.99749497 0.93379728 0.99448295],[0.99967638 0.99952636 0.97877821],[0.71463193 0.79530102 0.06743706],[0.99804138 0.99960424 0.61234222],[19.63695005 14.04368658  6.26680675],[18.57630285 22.58897387 -1.73452125],[26.7576144  14.79196777 14.48990703],[  9.96904975  -3.08068766 -28.71604737],[32.34067054 34.98744627 14.11303915],[15.33548279 18.27509301 -7.47008114],[22.9893729   8.35449738 19.53023008],[31.73949102 29.67476439 13.57078432],[  0.13087012   2.35707643 -23.14345935],[24.04671785 31.01320985 -2.20160646]
15,[24.42261844 49.36977023  5.70329987],[30.85784452 52.00119631 18.53887595],[ 2.11566846 10.14545478  9.28318188],[368.11430245 255.01738822  81.66955886],[2.98385139 4.04774105 2.40146376],[21.01082554 38.97850498 11.37381194],[26.93730293 21.89765102  8.88346227],[ 9.82549759 12.65485094  2.32912847],[242.52944634 413.09165659 140.68473971],[19.59477488 33.92138305  3.00455617],[0.99491365 0.97611869 0.99540748],[0.99190648 0.97397946 0.95025232],[0.99996147 0.99898499 0.9874769 ],[0.54821081 0.65934861 0.57930504],[0.99992349 0.9998387  0.99914765],[0.99620721 0.98506598 0.9810635 ],[0.99379101 0.99526637 0.9882713 ],[0.99917758 0.99843201 0.99928009],[0.70482371 0.47644392 0.38084358],[0.99671066 0.98881651 0.99866602],[19.88357648 13.18024338 20.17047246],[17.85210924 12.7291988   9.93132862],[41.13046874 26.92403511 15.93905939],[-3.68023286 -1.08193037 -2.94820761],[38.14387718 34.90521107 27.68347583],[21.19055864 15.23296195 14.17487573],[19.03233877 20.2415149  16.32135134],[27.7923299  25.00432482 27.94912769],[-0.05586854 -5.27146297 -7.67194324],[21.7966154  16.43999448 25.73739004]
16,[30.87372172 44.49612402 14.97051001],[36.13795542 37.11759303 65.85554386],[3.53530872 3.69898689 3.63692849],[174.55523816 153.42106356 469.74893278],[15.69873309  4.50382365  2.53854121],[30.29243561 37.06704638 82.39038044],[ 2.68716507  2.47881908 42.85477508],[18.06106777 17.01714739  3.38394359],[103.91823426 160.14380991 604.72687921],[10.64389747 20.08710534 53.05561447],[0.9918052  0.98044128 0.96871533],[0.98869694 0.98632395 0.65880474],[0.99989241 0.99986504 0.99804952],[0.81069298 0.82952911 0.13639247],[0.997876  0.9998005 0.9990502],[0.99207927 0.98643494 0.57361316],[0.99993783 0.99993939 0.80505155],[0.99719608 0.99715508 0.99837885],[0.91790895 0.81551791 0.09546622],[0.99902548 0.99604533 0.73861776],[17.84764127 14.08302186 11.78826466],[16.48014941 15.65786939 -1.07885023],[36.67087408 35.68780967 24.07830135],[  2.80076325   3.33176572 -18.14431946],[23.72212886 33.97783796 27.20131223],[18.0127371  15.66970587 -3.02453358],[39.05353406 39.16456891  2.65301218],[22.50455253 22.43173029 24.70453428],[  7.3055858    2.95926237 -20.33818887],[27.09740732 20.99111836  0.79836961]
17,[45.81104907 41.67217424 16.3959133 ],[16.48157519 12.87207016 15.3515085 ],[1.53143476 1.69699686 5.82075779],[172.79535143  66.00155464  75.18126736],[2.13523252 1.40628598 3.86943169],[18.41783475 88.84077252 27.7606011 ],[10.03755707 15.3052557   1.93779214],[10.33939053  7.13821883  5.02408077],[120.58482157  88.82586338  88.27084167],[17.10230387 12.80430475 16.64534978],[0.98177755 0.98301051 0.96177751],[0.99766263 0.99837044 0.96567138],[0.99997982 0.9999716  0.99502675],[0.8123411  0.95962346 0.61063931],[0.99996091 0.99998052 0.99778542],[0.9970851  0.93020524 0.89703449],[0.99915216 0.99769359 0.99944561],[0.99910919 0.99950384 0.99636549],[0.89401482 0.93024618 0.54756919],[0.99748993 0.99838682 0.96131946],[14.42001623 14.6525423  10.99828432],[23.29944665 24.85649753 11.56997544],[43.93745097 42.45584471 19.99340603],[ 2.88877988 10.65838219 -2.22919627],[41.05051746 44.08799257 23.5400529 ],[22.33464953  8.07721897  6.42441927],[27.60686042 23.35265371 29.54685277],[27.34952218 29.97766835 21.27186433],[ 6.01356807  8.07867675 -3.62334877],[22.9783286  24.90234546 10.86713807]
18,[26.3024678  11.94835519 15.87065981],[31.41122385 39.70329016 40.5502259 ],[ 4.12188911 11.86968104 95.84223509],[  34.24519177  105.46638555 1079.21850521],[12.04910401  4.07032091 12.05969095],[33.25882791 40.23215527 82.55978878],[ 7.14907758 10.93201533  9.34282728],[10.87680347 11.27234806  9.85395784],[116.41223489  55.98350343 571.27140683],[11.2604608   4.20979822 61.01355533],[0.9940549  0.99859101 0.96288567],[0.99147708 0.98441338 0.79879524],[0.9998537  0.99861294 0.51527085],[0.99010421 0.9061593  0.06311867],[0.99875631 0.99983784 0.97897209],[0.99052987 0.98392956 0.57221569],[0.9995599  0.99882286 0.98729499],[0.99898474 0.99885494 0.9856636 ],[0.90156237 0.97060491 0.10577154],[0.99891126 0.99982551 0.69121852],[19.23949102 25.50330301 11.28109693],[17.69772382 15.07293555  3.13313103],[35.33749489 25.56068453 -4.33814208],[ 16.94742892   6.58718425 -25.36919109],[26.0203259  34.85689247 13.66627302],[17.20128217 14.95799953 -3.04237488],[30.55442077 26.27546086 15.88343018],[26.90939534 26.00917769 15.42078259],[  6.31944843  12.08826404 -19.84385316],[26.60829771 34.5642399  -0.41553007]
19,[25.72384895 89.14883778  5.698538  ],[27.21132626 36.10519712 12.89994539],[3.10653005 2.5916084  7.01830779],[ 46.42500666  90.88045993 193.36830406],[7.92596507 7.05011723 7.72663193],[28.13983368 43.88054589 55.86141324],[ 1.75690372 24.46221945  7.53223448],[ 7.91833468 16.30703345  6.66712129],[ 63.52883421  75.31314864 124.89607128],[ 9.51513307 14.22985528 17.73821319],[0.99434141 0.91863009 0.99527768],[0.99364188 0.98713336 0.97557527],[0.99991696 0.99993376 0.99279872],[0.98208343 0.92781297 0.31052499],[0.99946087 0.99951007 0.9913257 ],[0.99325083 0.98102293 0.71704322],[0.99997343 0.99411852 0.99172408],[0.99947276 0.99743295 0.99341915],[0.9673274  0.94832657 0.42520002],[0.99922283 0.99800855 0.95660833],[19.43270196  8.04715179 20.17772761],[18.94442678 15.89807109 13.08123915],[37.79390979 38.77807793 18.36834837],[ 14.30438148   7.88005518 -10.43470918],[29.65837789 30.08553873 17.5331921 ],[18.65299045 14.20402507  0.35075821],[42.74446172 19.27954834 17.75451996],[29.66674389 22.80196626 18.81422947],[11.58000326  9.51204941 -6.63797896],[28.07112365 23.98545583 10.31479918]
