seed,boom_length,rmse_ica,rmse_mssa,rmse_ness,rmse_picog,rmse_sheinker,rmse_ream,rmse_ubss,rmse_waicup,rmse_b1,rmse_b2,corr_ica,corr_mssa,corr_ness,corr_picog,corr_sheinker,corr_ream,corr_ubss,corr_waicup,corr_b1,corr_b2,snr_ica,snr_mssa,snr_ness,snr_picog,snr_sheinker,snr_ream,snr_ubss,snr_waicup,snr_b1,snr_b2
6,450,[25.47268028 44.8058874  14.17756849],[1.79048793 4.34408633 1.0582698 ],[0.51455849 0.11976776 0.20482835],[27.72451879 53.51798146 58.03440211],[123.61171644 136.03367423   1.87584347],[0.2940159  0.11092218 0.23727765],[0.12231547 0.35536176 0.2101221 ],[3.72450725 8.84878375 2.47776144],[0.2940159  0.11092218 0.23727765],[1.24360058 0.60806258 1.14743973],[0.99445514 0.9803654  0.97300511],[0.99997279 0.99981401 0.99983511],[0.99999789 0.99999988 0.99999464],[0.99345066 0.97295141 0.71673813],[0.91009852 0.87616149 0.99948126],[0.9999993  0.9999999  0.99999247],[0.99999988 0.99999888 0.99999431],[0.99989315 0.99926195 0.99916926],[0.9999993  0.9999999  0.99999247],[0.99998783 0.99999667 0.99980615],[19.51792808 14.02276384 12.2609615 ],[42.57999302 34.29149655 34.80106851],[53.41072608 65.48266673 49.06519545],[18.78214063 12.47947101  0.01928629],[ 5.79822823  4.37653693 29.82906466],[58.27200452 66.14909781 47.78785987],[65.88979352 56.03605175 48.84356174],[36.21804448 28.11179386 27.41180678],[58.27200452 66.14909781 47.78785987],[45.74580264 51.37050001 34.09839894]
6,440,[25.47252795 44.80243519 14.17804303],[1.80901618 4.34477426 0.94148231],[0.54785618 0.12455292 0.21812133],[27.60387681 54.75215835 57.98530724],[123.80501265 133.24573822   2.81842664],[0.30897071 0.11740298 0.25049644],[0.11701297 0.37554261 0.22231819],[3.73366125 8.86009809 2.46520708],[0.30897071 0.11740298 0.25049644],[1.29348568 0.64267278 1.20559415],[0.99445505 0.98036865 0.97300203],[0.99997225 0.99981396 0.99986968],[0.99999761 0.99999987 0.99999392],[0.99350825 0.97168315 0.71768495],[0.90990852 0.87963611 0.99882987],[0.99999922 0.99999989 0.99999161],[0.99999989 0.99999874 0.99999363],[0.99989257 0.99926032 0.99918129],[0.99999922 0.99999989 0.99999161],[0.99998684 0.99999627 0.99978594],[19.51798002 14.0234331  12.26067078],[42.49057196 34.29012116 35.81675332],[52.86608971 65.14238747 48.51903401],[18.82001936 12.28144062  0.02663733],[ 5.78465639  4.55639895 26.29286189],[57.84107475 65.65588291 47.31696558],[66.27474113 55.55628112 48.35349655],[36.19672273 28.1006949  27.45592845],[57.84107475 65.65588291 47.31696558],[45.40418847 50.88966744 33.66897392]
6,430,[25.47245254 44.79537392 14.17867293],[1.80212115 4.34521173 0.93763815],[0.5832713  0.12973725 0.23250966],[27.47529312 56.1540836  57.94477686],[123.98915085 130.36454198   3.77310115],[0.32496237 0.12440689 0.26470856],[0.12537799 0.39736478 0.28571451],[3.74291859 8.87366599 2.45796881],[0.32496237 0.12440689 0.26470856],[1.34603362 0.68012005 1.26777381],[0.99445491 0.9803751  0.97299826],[0.99997251 0.99981394 0.99987081],[0.99999729 0.99999986 0.99999309],[0.99356995 0.97023389 0.71859124],[0.90972727 0.88324081 0.99790642],[0.99999914 0.99999987 0.99999063],[0.99999987 0.99999859 0.99998889],[0.999892  0.9992583 0.9991886],[0.99999914 0.99999987 0.99999063],[0.99998576 0.99999581 0.99976323],[19.51800574 14.02480218 12.26028489],[42.52374129 34.28924664 35.85229121],[52.32200875 64.78817145 47.96417641],[18.86057428 12.06183862  0.03271069],[ 5.77174726  4.74627584 23.75902763],[57.40275951 65.15257698 46.83763688],[65.67499495 55.06567816 46.17435058],[36.17521336 28.08740395 27.48146924],[57.40275951 65.15257698 46.83763688],[45.0583028  50.39775393 33.2321611 ]
6,420,[25.47250453 44.78219382 14.1795383 ],[1.79232897 4.34537623 0.93593174],[0.62093414 0.13535924 0.24810338],[27.33666813 57.72462192 57.91457979],[124.16255761 127.38902383   4.73880207],[0.34208326 0.13198829 0.28000765],[0.14666046 0.08638364 0.27559763],[3.75228707 8.88965034 2.44881385],[0.34208326 0.13198829 0.28000765],[1.40142149 0.72070921 1.33432562],[0.9944547  0.98038696 0.97299348],[0.99997285 0.99981394 0.9998713 ],[0.99999693 0.99999985 0.99999213],[0.99363661 0.96859523 0.71944302],[0.90955625 0.88697647 0.99670512],[0.99999905 0.99999986 0.99998951],[0.99999983 0.99999993 0.99998983],[0.99989141 0.99925586 0.99919522],[0.99999905 0.99999986 0.99998951],[0.99998457 0.99999528 0.99973765],[19.51798801 14.02735819 12.25975478],[42.57106648 34.2889178  35.8681131 ],[51.77851025 64.41970735 47.40034286],[18.90450936 11.82224356  0.03723839],[ 5.75960797  4.94682531 21.77962519],[56.9567845  64.63875772 46.34959879],[64.31316031 68.32083559 46.48748691],[36.15349985 28.07177192 27.51388111],[56.9567845  64.63875772 46.34959879],[44.70804553 49.89426411 32.78776006]
6,410,[25.47279895 44.75692778 14.18081953],[1.79940171 4.34522907 0.94026259],[0.66098414 0.14146228 0.26502558],[27.18566669 59.46344929 57.89669731],[124.32342265 124.3184631    5.71500321],[0.36043598 0.14020852 0.29649784],[0.1574264  0.08679281 0.30228887],[3.76177658 8.90822475 2.44119365],[0.36043598 0.14020852 0.29649784],[1.45984046 0.76478506 1.40563136],[0.99445437 0.9804095  0.97298702],[0.99997268 0.99981397 0.99987014],[0.99999652 0.99999983 0.99999102],[0.99370919 0.96675915 0.72022444],[0.90939717 0.89084301 0.99522123],[0.99999895 0.99999984 0.99998823],[0.99999979 0.99999993 0.99998765],[0.99989082 0.99925296 0.99919913],[0.99999895 0.99999984 0.99998823],[0.99998326 0.99999467 0.9997088 ],[19.51788761 14.03226014 12.25896998],[42.53685841 34.28921197 35.82801343],[51.23560021 64.03665216 46.82724062],[18.95262121 11.56446355  0.03992078],[ 5.74836182  5.15875285 20.15266701],[56.50285821 64.11397713 45.85256582],[63.69786943 68.27979098 45.68455345],[36.13156102 28.05364219 27.54095196],[56.50285821 64.11397713 45.85256582],[44.35331304 49.37867761 32.3355678 ]
6,400,[25.35864739 48.68977674 12.76005365],[1.80747103 4.34470339 0.94076326],[0.70357106 0.14809547 0.28341424],[27.01973341 61.36913142 57.89334307],[124.46965833 121.15252908   6.70132621],[0.38013472 0.14913696 0.31429519],[0.18526902 0.09301473 0.32930396],[3.77139959 8.92957354 2.43968399],[0.38013472 0.14913696 0.31429519],[1.52149719 0.81273854 1.48211141],[0.99451611 0.97663894 0.97643108],[0.99997248 0.99981403 0.99987005],[0.99999606 0.99999982 0.99998973],[0.99378866 0.96471824 0.72091763],[0.90925201 0.89483911 0.99345115],[0.99999883 0.99999982 0.99998677],[0.99999972 0.99999993 0.99998525],[0.99989023 0.99924958 0.99919773],[0.99999883 0.99999982 0.99998677],[0.99998182 0.99999396 0.99967619],[19.55689928 13.30070984 13.17594658],[42.49799408 34.29026284 35.82338959],[50.69326164 63.63862998 46.24456333],[19.00579978 11.29046597  0.04042401],[ 5.73815102  5.38281581 18.7697814 ],[56.04067025 63.57775963 45.34624194],[62.28336503 67.67843095 44.94105739],[36.10936998 28.03285114 27.54632507],[56.04067025 63.57775963 45.34624194],[43.9939979  48.8504484  31.87537957]
6,390,[25.47186773 44.78865    14.18121999],[1.83555047 4.20507821 1.01482391],[0.74885617 0.15531441 0.30342427],[26.83612025 63.43918682 57.90698365],[124.59885121 117.89133187   7.69744484],[0.40130685 0.15885222 0.33352916],[0.23751414 0.10035874 0.35215744],[3.78117175 8.95389142 2.44664631],[0.40130685 0.15885222 0.33352916],[1.58661523 0.86501386 1.56422903],[0.99445441 0.98038208 0.97298157],[0.99997166 0.99982583 0.99984866],[0.99999554 0.9999998  0.99998822],[0.99387609 0.96246584 0.7215025 ],[0.90912303 0.89896208 0.99139246],[0.99999869 0.99999979 0.9999851 ],[0.99999953 0.99999992 0.99998313],[0.99988962 0.99924568 0.99919   ],[0.99999869 0.99999979 0.9999851 ],[0.99998024 0.99999314 0.99963925],[19.51820516 14.02610605 12.2587247 ],[42.36409435 34.57398394 35.16518274],[50.15145273 63.2252307  45.65199032],[19.06502639 11.00231335  0.03837772],[ 5.72914021  5.61982802 17.56606488],[55.56988953 63.02959998 44.83032045],[60.12563154 67.01836138 44.35825918],[36.08689287 28.00922903 27.52157276],[55.56988953 63.02959998 44.83032045],[43.62998859 48.3090042  31.40698977]
6,380,[25.35773642 44.75771737 12.75930693],[1.82551594 4.12731032 1.0189335 ],[0.79701372 0.16318223 0.32522995],[26.63193199 65.67011271 57.94035835],[124.70820402 114.53547434   8.7030564 ],[0.42409479 0.16944362 0.35434444],[0.20290907 0.10871988 0.37558908],[3.79111259 8.98138277 2.46204957],[0.42409479 0.16944362 0.35434444],[1.65543674 0.92211689 1.65249506],[0.99451607 0.98040967 0.97643311],[0.99997205 0.99983225 0.99984748],[0.99999495 0.99999978 0.99998647],[0.99397251 0.95999633 0.72195655],[0.90901289 0.90320762 0.98904394],[0.99999854 0.99999976 0.99998318],[0.99999965 0.9999999  0.9999807 ],[0.99988901 0.99924121 0.99917639],[0.99999854 0.99999976 0.99998318],[0.99997849 0.99999218 0.99959735],[19.55721131 14.03210691 13.17645489],[42.41170839 34.73612304 35.13007976],[49.61010506 62.79600841 45.04918598],[19.13136751 10.70211027  0.03337305],[ 5.72152048  5.87066513 16.49956062],[55.09016225 62.46896116 44.30448406],[61.49339184 66.32328657 43.79873749],[36.06408733 27.98260139 27.46706073],[55.09016225 62.46896116 44.30448406],[43.2611692  47.75374596 30.93019318]
6,370,[25.35771948 44.80525524 12.75963194],[1.83604979 4.12804208 1.03350364],[0.84823258 0.17177078 0.34902768],[26.40419751 68.05735324 57.9964962 ],[124.79446605 111.08610441   9.71787426],[0.44865816 0.18101296 0.37690298],[0.24340836 0.1170289  0.40824329],[3.80124639 9.0122604  2.48443537],[0.44865816 0.18101296 0.37690298],[1.72822426 0.98462508 1.74747313],[0.9945158  0.98036807 0.9764324 ],[0.99997179 0.99983222 0.99984309],[0.99999429 0.99999976 0.99998441],[0.99407895 0.95730544 0.72225476],[0.90892468 0.90756962 0.98640562],[0.99999837 0.99999973 0.99998096],[0.99999952 0.99999989 0.99997701],[0.99988839 0.99923613 0.9991581 ],[0.99999837 0.99999973 0.99998096],[0.99997656 0.99999106 0.99954969],[19.55721711 14.02288639 13.17623364],[42.36173187 34.73458318 35.00675634],[49.06912198 62.35047974 44.43579906],[19.20596152 10.39196439  0.02496145],[ 5.71551443  6.13627076 15.54157107],[54.60110951 61.89527197 43.76840512],[59.9127113  65.68360273 43.0746154 ],[36.04090057 27.95279087 27.38844253],[54.60110951 61.89527197 43.76840512],[42.88741901 47.18404764 30.44478645]
6,360,[25.35751899 44.82345248 12.75961056],[1.84780958 4.10214498 0.93412055],[0.90271819 0.18116203 0.37503925],[26.14997928 70.59519094 58.0787268 ],[124.85384946 107.54496642  10.74162908],[0.47517634 0.19367655 0.40138629],[0.25258157 0.12481599 0.44268543],[3.81160334 9.04674359 2.51181579],[0.47517634 0.19367655 0.40138629],[1.80526286 1.05319908 1.84978535],[0.99451561 0.98035237 0.97643256],[0.99997149 0.99983435 0.999872  ],[0.99999354 0.99999973 0.99998199],[0.99419634 0.95439068 0.72236946],[0.908862   0.91203996 0.98347868],[0.99999817 0.99999969 0.9999784 ],[0.99999947 0.99999987 0.99997288],[0.99988776 0.99923039 0.99913654],[0.99999817 0.99999969 0.9999784 ],[0.99997444 0.99998974 0.9994954 ],[19.55728578 14.01935941 13.1762482 ],[42.3062767  34.78924539 35.88493805],[48.52837707 61.88812195 43.81146207],[1.92899940e+01 1.00739632e+01 1.26548408e-02],[ 5.71138223  6.41766373 14.67159356],[54.10232479 61.30792461 43.22174595],[59.59138763 65.12406082 42.37109205],[36.01726699 27.91961987 27.29324086],[54.10232479 61.30792461 43.22174595],[42.50861204 46.59925607 29.95056987]
