seed,boom_length,rmse_ica,rmse_mssa,rmse_ness,rmse_picog,rmse_sheinker,rmse_ream,rmse_ubss,rmse_waicup,rmse_b1,rmse_b2,corr_ica,corr_mssa,corr_ness,corr_picog,corr_sheinker,corr_ream,corr_ubss,corr_waicup,corr_b1,corr_b2,snr_ica,snr_mssa,snr_ness,snr_picog,snr_sheinker,snr_ream,snr_ubss,snr_waicup,snr_b1,snr_b2
0,600,[28.14722147 87.68293672 25.65722643],[1.85456871 3.09300714 1.03092039],[0.04670952 0.01517597 0.14942062],[ 47.20749009 231.23244037  68.94439054],[77.09062759  2.41730648 14.21671901],[0.0990533  0.07145596 0.12872902],[ 0.21887425  0.15880415 18.01052027],[ 6.4202297  10.85085733  3.65286852],[0.0990533  0.07145596 0.12872902],[0.34287477 0.25053561 1.1376587 ],[0.99320023 0.92168851 0.89744799],[0.99997043 0.99990564 0.99984653],[0.99999999 1.         0.99999688],[0.98069246 0.90861687 0.77499176],[0.94744726 0.99994236 0.96966764],[0.99999993 0.99999995 0.99999768],[0.99999964 0.99999975 0.96795114],[0.99965672 0.99892729 0.99819268],[0.99999993 0.99999995 0.99999768],[0.99999911 0.99999938 0.9998185 ],[18.65071037  8.19116376  7.10880245],[42.27456242 37.24184704 35.028494  ],[74.25131323 83.42633389 51.80478566],[14.15920276 -0.23150975 -1.47698215],[ 9.89938935 39.38283119 12.23700899],[67.72204238 69.96869575 53.09946722],[60.83552743 63.0322283  10.18247142],[31.48840964 26.34018443 24.04031577],[67.72204238 69.96869575 53.09946722],[56.93671037 59.07207615 34.17275671]
0,590,[28.13855598 87.68792059 25.65802267],[1.85199673 3.09301519 1.04046909],[0.04975963 0.01552968 0.15601712],[ 47.2545304  237.17347613  69.15854933],[76.84379281  2.40213309 14.21234968],[0.10373584 0.07406886 0.13441631],[ 0.22632305  0.16334023 13.4212822 ],[ 6.42684274 10.81293856  3.66173691],[0.10373584 0.07406886 0.13441631],[0.35319395 0.25703896 1.19140499],[0.99320438 0.92167963 0.89744151],[0.99997052 0.99990564 0.99984392],[0.99999998 1.         0.9999966 ],[0.98066294 0.90622377 0.77424285],[0.94779251 0.99994308 0.96968658],[0.99999992 0.99999995 0.99999747],[0.99999962 0.99999974 0.97466403],[0.99965593 0.99893523 0.99818519],[0.99999992 0.99999995 0.99999747],[0.99999905 0.99999935 0.99980086],[18.65338484  8.19067007  7.10853289],[42.28661665 37.24182445 34.94841294],[73.70187809 83.2262139  51.42955136],[14.15055194 -0.45185688 -1.50392091],[ 9.92724512 39.43752418 12.2396789 ],[67.32084469 69.6567521  52.72395706],[60.5448453  62.78760207 12.73711642],[31.47946751 26.3705908  24.01925383],[67.32084469 69.6567521  52.72395706],[56.67915581 58.84948632 33.77180827]
0,580,[28.13033776 87.69279714 25.65893822],[1.84849908 3.09302394 1.06232648],[0.05307256 0.01588751 0.1630199 ],[ 47.32101019 243.51196734  69.38598267],[76.56347285  2.38429527 14.20790103],[0.10872651 0.07681146 0.14044542],[0.23409218 0.16804118 0.06037085],[ 6.43395781 10.77124472  3.67113852],[0.10872651 0.07681146 0.14044542],[0.36385674 0.26374912 1.24854301],[0.99320831 0.92167093 0.89743405],[0.99997063 0.99990564 0.99983752],[0.99999998 1.         0.99999629],[0.98061777 0.90370635 0.77343563],[0.94818311 0.99994393 0.96970585],[0.99999991 0.99999994 0.99999724],[0.99999959 0.99999972 0.99999947],[0.99965509 0.99894392 0.99817723],[0.99999991 0.99999994 0.99999724],[0.999999   0.99999931 0.9997812 ],[18.65592204  8.19018704  7.10822296],[42.30303619 37.24179988 34.76783644],[73.14201997 83.02834691 51.04818423],[14.13834083 -0.68094069 -1.53243828],[ 9.95898848 39.50226475 12.24239812],[66.91271233 69.34094501 52.34284477],[60.25168284 62.54115114 59.67645064],[31.4698568  26.40414764 23.99698115],[66.91271233 69.34094501 52.34284477],[56.42081238 58.62564512 33.36492642]
0,570,[28.12244028 87.69761054 25.65997933],[1.84373733 3.09303343 1.06642634],[0.05667671 0.01625326 0.17046111],[ 47.40963873 250.29075288  69.62792456],[76.24550215  2.36346199 14.20338004],[0.11405143 0.07969197 0.14684242],[0.24219631 0.17291853 1.2219092 ],[ 6.44164123 10.72525679  3.68112899],[0.11405143 0.07969197 0.14684242],[0.37486849 0.27067302 1.30933986],[0.99321208 0.92166233 0.89742556],[0.99997079 0.99990563 0.99983663],[0.99999998 1.         0.99999594],[0.98055461 0.90105509 0.77256398],[0.94862424 0.9999449  0.96972542],[0.99999991 0.99999994 0.99999699],[0.99999956 0.99999971 0.99990759],[0.99965417 0.99895347 0.99816876],[0.99999991 0.99999994 0.99999699],[0.99999893 0.99999928 0.99975925],[18.65836091  8.18971029  7.10787054],[42.32543999 37.24177322 34.73437936],[72.57132846 82.83065591 50.66049047],[14.12208805 -0.91943059 -1.56267242],[ 9.99513639 39.57849305 12.24516243],[66.49740589 69.02117405 51.95596587],[59.95607053 62.29263486 33.55221786],[31.45949031 26.44131152 23.97337587],[66.49740589 69.02117405 51.95596587],[56.1618422  58.40056599 32.9519488 ]
0,560,[28.11469165 87.70244328 25.66114996],[1.83735264 3.09304371 1.15042765],[0.06060419 0.01663341 0.17837602],[ 47.52356896 257.55891884  69.88575861],[75.88503095  2.33925615 14.19879449],[0.11973947 0.08271924 0.15363578],[0.2506502  0.17797707 0.12348444],[ 6.44997158 10.67436095  3.6917713 ],[0.11973947 0.08271924 0.15363578],[0.3862331  0.27781789 1.3740878 ],[0.99321576 0.92165369 0.89741603],[0.999971   0.99990563 0.99980934],[0.99999998 1.         0.99999556],[0.98047065 0.89825963 0.77162092],[0.94912187 0.99994603 0.96974527],[0.9999999  0.99999993 0.9999967 ],[0.99999953 0.99999969 0.99999846],[0.99965318 0.99896398 0.99815972],[0.9999999  0.99999993 0.9999967 ],[0.99999887 0.99999924 0.9997347 ],[18.66075448  8.18923165  7.10747429],[42.3555706  37.24174436 34.07581035],[71.98936763 82.62983754 50.26626711],[14.10124001 -1.16806637 -1.59477709],[10.03629866 39.6679099  12.24796712],[66.07467421 68.69733466 51.56314909],[59.65805996 62.04218451 53.46075187],[31.44826496 26.48262781 23.94830081],[66.07467421 68.69733466 51.56314909],[55.90243118 58.17426138 32.5327069 ]
0,550,[27.90503569 87.83883114 25.64575259],[1.8291691  3.09305481 1.18337845],[0.06489143 0.0170385  0.18680339],[ 47.66648553 265.37293984  70.16103712],[75.47638138  2.31124732 14.19415303],[0.12582252 0.08590281 0.16085665],[0.25947204 0.18322383 0.12686598],[ 6.45904256 10.61782729  3.70313688],[0.12582252 0.08590281 0.16085665],[0.39795268 0.28519125 1.44310704],[0.99331841 0.9214087  0.89754752],[0.99997126 0.99990563 0.99979847],[0.99999997 1.         0.99999513],[0.9803626  0.8953086  0.77059846],[0.94968285 0.99994731 0.96976536],[0.99999989 0.99999993 0.99999638],[0.9999995  0.99999967 0.9999983 ],[0.9996521  0.99897559 0.99815002],[0.99999989 0.99999993 0.99999638],[0.9999988  0.9999992  0.99970722],[18.72576932  8.17573454  7.11268762],[42.39434385 37.24171318 33.83052344],[71.39567365 82.42084084 49.86530152],[14.07515832 -1.42766721 -1.62892342],[10.08319957 39.77253707 12.25080692],[65.64425359 68.36931788 51.16421598],[59.35760966 61.78982641 53.22609277],[31.43605805 26.52875236 23.92160128],[65.64425359 68.36931788 51.16421598],[55.64279236 57.94674167 32.10702569]
0,540,[27.887636   87.85013669 25.64610972],[1.88523224 3.09306677 1.16638708],[0.06957984 0.01748494 0.19578585],[ 47.8427131  273.79806635  70.45550137],[75.01286664  2.27894338 14.18946531],[0.13233591 0.08925299 0.16853915],[0.26867643 0.1886678  0.13271245],[ 6.46896686 10.55478292  3.7153069 ],[0.13233591 0.08925299 0.16853915],[0.4100271  0.29280103 1.5167488 ],[0.99332677 0.92138834 0.89754509],[0.99996947 0.99990563 0.99980504],[0.99999997 1.         0.99999465],[0.98022652 0.89218962 0.76948749],[0.95031508 0.99994877 0.96978564],[0.99999987 0.99999992 0.99999603],[0.99999946 0.99999965 0.99999815],[0.99965093 0.99898847 0.9981396 ],[0.99999987 0.99999992 0.99999603],[0.99999872 0.99999915 0.99967638],[18.73118695  8.17461667  7.11256667],[42.13212381 37.24167958 33.95614258],[70.78975217 82.19618414 49.45737071],[14.04310497 -1.69914203 -1.66530161],[10.13670572 39.89479478 12.25367597],[65.20586706 68.03701006 50.75898058],[59.05482946 61.53550992 52.83476321],[31.42272245 26.58047938 23.89310269],[65.20586706 68.03701006 50.75898058],[55.38316977 57.71801362 31.67472338]
0,530,[27.87055704 87.86122143 25.64667476],[1.87087286 3.09307964 1.16011716],[0.07471663 0.01799771 0.20537037],[ 48.05734987 282.91001712  70.7711023 ],[74.48656187  2.24178075 14.18474204],[0.13931885 0.09278091 0.17672068],[0.27828111 0.1943188  0.13604338],[ 6.47988108 10.48417845  3.72837379],[0.13931885 0.09278091 0.17672068],[0.42245349 0.30065564 1.59539884],[0.99333496 0.92136839 0.89754098],[0.99996994 0.99990563 0.9998078 ],[0.99999996 1.         0.99999411],[0.98005767 0.88888914 0.76827748],[0.95102772 0.99995043 0.96980606],[0.99999986 0.99999992 0.99999564],[0.99999942 0.99999963 0.99999794],[0.99964964 0.99900279 0.99812835],[0.99999986 0.99999992 0.99999564],[0.99999865 0.99999911 0.99964172],[18.73650799  8.17352077  7.1123753 ],[42.19853547 37.24164345 34.00295955],[70.17107525 81.94512194 49.04224076],[14.00422461 -1.983501   -1.70412262],[10.1978624  40.03760277 12.25656774],[64.75922353 67.70029264 50.34724906],[58.74974658 61.27916923 52.61944817],[31.40808026 26.63877741 23.86260766],[64.75922353 67.70029264 50.34724906],[55.12384291 57.48807844 31.23561112]
0,520,[27.85114325 87.87378658 25.6472049 ],[1.81869775 3.09309345 1.16951567],[0.08035579 0.01861382 0.21560882],[ 48.31643286 292.79704965  71.11001982],[73.88801169  2.1991132  14.17999513],[0.14681492 0.09649864 0.18544232],[0.28830264 0.20018578 0.148727  ],[ 6.49195237 10.40474644  3.74244293],[0.14681492 0.09649864 0.18544232],[0.43522562 0.30876412 1.67948139],[0.99334427 0.92134576 0.89753727],[0.9999716  0.99990563 0.99980529],[0.99999996 1.         0.99999351],[0.97985032 0.88539242 0.76695634],[0.95183145 0.9999523  0.96982658],[0.99999984 0.99999991 0.99999519],[0.99999938 0.9999996  0.9999974 ],[0.99964821 0.99901878 0.99811617],[0.99999984 0.99999991 0.99999519],[0.99999856 0.99999906 0.99960269],[18.74256043  8.17227868  7.11219576],[42.4442104  37.24160467 33.93287566],[69.53907793 81.65275606 48.61966606],[13.9575237  -2.28186842 -1.74561941],[10.26794137 40.20451381 12.25947495],[64.30401685 67.35904181 49.92881932],[58.44244871 61.02080091 51.8452003 ],[31.39191447 26.70483548 23.82989286],[64.30401685 67.35904181 49.92881932],[54.86513196 57.25692908 30.78949265]
0,510,[24.47436554 15.02200944  3.24958016],[1.82902148 3.09310824 1.20054792],[0.08655922 0.0193868  0.22655852],[ 48.62714265 303.56249841  71.47467763],[73.20585366  2.15019897 14.17523781],[0.15487268 0.10041923 0.19474925],[0.29875757 0.20627817 0.5643762 ],[ 6.50538738 10.3149512   3.75763476],[0.15487268 0.10041923 0.19474925],[0.44833315 0.31713628 1.76946359],[0.99489322 0.99783555 0.99870112],[0.99997129 0.99990563 0.99979517],[0.99999995 1.         0.99999284],[0.97959754 0.88168344 0.76551009],[0.95273873 0.9999544  0.96984714],[0.99999983 0.9999999  0.9999947 ],[0.99999933 0.99999958 0.99997142],[0.99964662 0.9990367  0.99810294],[0.99999983 0.9999999  0.9999947 ],[0.99999847 0.99999901 0.99955865],[19.86519213 23.51490489 25.05645149],[42.39504484 37.24156314 33.70540658],[68.8931543 81.2993414 48.1893886],[13.90184595 -2.59549687 -1.79004752],[10.34850479 40.39989249 12.26238952],[63.83992487 67.01312817 49.50348062],[58.13304273 60.7603999  40.2616228 ],[31.37395772 26.78012194 23.79470529],[63.83992487 67.01312817 49.50348062],[54.6074039  57.02454686 30.33616399]
0,500,[24.48380144 14.98940324  3.25757338],[1.83728164 3.09312405 1.21512274],[0.09339818 0.02039201 0.23828295],[ 48.99805746 315.32788848  71.86774795],[72.42632912  2.09418639 14.17048474],[0.16354627 0.10455684 0.2046912 ],[0.3096626  0.21260594 0.57873575],[ 6.52044444 10.2129311   3.77408714],[0.16354627 0.10455684 0.2046912 ],[0.46176081 0.32578301 1.86586052],[0.99488908 0.99784518 0.99869828],[0.99997104 0.99990563 0.99979082],[0.99999994 1.         0.99999208],[0.9792908  0.87774488 0.76392255],[0.95376417 0.99995674 0.96986767],[0.99999981 0.99999989 0.99999415],[0.99999928 0.99999955 0.9999696 ],[0.99964485 0.99905685 0.99808851],[0.99999981 0.99999989 0.99999415],[0.99999838 0.99999895 0.99950888],[19.86184399 23.53377864 25.03511243],[42.35590625 37.24151875 33.60059361],[68.23265301 80.86026342 47.75113712],[13.83584372 -2.92578215 -1.83768413],[10.4414915  40.62915886 12.26530245],[63.36660836 66.66241639 49.07101317],[57.8216458  60.49795764 40.0433904 ],[31.353877   26.86645746 23.75675811],[63.36660836 66.66241639 49.07101317],[54.35107961 56.79089687 29.87541307]
0,490,[28.02150978 87.76369456 25.67122636],[1.84344683 3.09314091 1.24548599],[0.10095491 0.02173229 0.25085255],[ 49.43946762 328.23674906  72.2921365 ],[71.5326421   2.03009769 14.16575223],[0.17289624 0.10892687 0.21532301],[0.32103445 0.21918022 0.58564594],[ 6.53745064 10.09644004  3.79195815],[0.17289624 0.10892687 0.21532301],[0.47548731 0.33471654 1.96924095],[0.99326048 0.92154372 0.89733538],[0.99997085 0.99990563 0.99978078],[0.99999993 1.         0.99999122],[0.97891962 0.87355815 0.76217501],[0.95492494 0.99995935 0.96988811],[0.99999979 0.99999988 0.99999352],[0.99999923 0.99999953 0.99996809],[0.99964285 0.9990796  0.99807271],[0.99999979 0.99999988 0.99999352],[0.99999828 0.9999989  0.9994525 ],[18.68959035  8.18316755  7.10406426],[42.32680865 37.24147139 33.38621969],[67.55687208 80.30735614 47.30462625],[13.75794526 -3.27427855 -1.88882461],[10.54933565 40.89912677 12.26820376],[62.88370988 66.30676483 48.63118769],[57.50838809 60.23343834 39.94029386],[31.33125251 26.96610009 23.71572588],[62.88370988 66.30676483 48.63118769],[54.09664229 56.55592211 29.40701943]
0,480,[24.49937966 14.93503228  3.27406301],[1.84794116 3.09315888 1.34633228],[0.10932473 0.02354331 0.26434558],[ 49.96376316 342.45926082  72.75093118],[70.50411094  1.9568118  14.16105832],[0.18299045 0.11354605 0.22670525],[0.33288902 0.22601301 0.51890082],[6.55682606 9.96280872 3.81142935],[0.18299045 0.11354605 0.22670525],[0.48948421 0.34395092 2.08023375],[0.99488216 0.99786119 0.99869349],[0.99997071 0.99990563 0.99974352],[0.99999992 0.99999999 0.99999025],[0.97847098 0.86910353 0.7602458 ],[0.95624131 0.99996223 0.96990837],[0.99999976 0.99999987 0.99999282],[0.99999917 0.9999995  0.99997475],[0.99964057 0.99910535 0.99805533],[0.99999976 0.99999987 0.99999282],[0.99999818 0.99999883 0.99938851],[19.85631921 23.56534219 24.99125591],[42.30565821 37.24142094 32.70995142],[66.86505291 79.61211389 46.84955553],[13.66631815 -3.6427128  -1.94377454],[10.67513216 41.21848432 12.27108236],[62.39085254 65.94602511 48.18376503],[57.19343162 59.96679691 40.99130943],[31.30554772 27.08182966 23.67123911],[62.39085254 65.94602511 48.18376503],[53.84464731 56.31953588 28.93075381]
0,470,[27.94314844 87.81514264 25.67196206],[1.85123926 3.09317801 1.31892069],[0.11861849 0.02599822 0.2788492 ],[ 50.58590663 358.19785848  73.24728587],[69.31503491  1.87304648 14.15642305],[0.19390505 0.11843258 0.23890489],[0.34524115 0.23311702 0.56472805],[6.57911885 9.8089791  3.83270963],[0.19390505 0.11843258 0.23890489],[0.50371438 0.35350266 2.19953532],[0.99329849 0.9214512  0.89733182],[0.99997062 0.99990563 0.99975541],[0.99999991 0.99999999 0.99998915],[0.97792863 0.86436038 0.75810993],[0.95773719 0.9999654  0.96992837],[0.99999973 0.99999986 0.99999203],[0.99999911 0.99999946 0.99997173],[0.99963796 0.99913452 0.99803616],[0.99999973 0.99999986 0.99999203],[0.99999807 0.99999877 0.99931573],[18.71391421  8.17807728  7.10381534],[42.29016995 37.24136723 32.88862294],[66.15637328 78.75059193 46.38560843],[13.55883021 -4.0329942  -2.00283415],[10.82287205 41.59849441 12.27392593],[61.88763869 65.58004164 47.72849571],[56.87696987 59.69798601 40.25620937],[31.27606634 27.21698931 23.62287823],[61.88763869 65.58004164 47.72849571],[53.59573392 56.08161184 28.4463778 ]
0,460,[27.88421569 87.85343502 25.67089885],[1.85371543 3.09319836 1.35578977],[0.12896566 0.02931227 0.29446065],[ 51.32399864 375.69384605  73.78419049],[67.93316544  1.77734138 14.15186863],[0.20572574 0.12360633 0.25199612],[0.35810425 0.24050638 0.56393051],[6.60505754 9.63171631 3.8560397 ],[0.20572574 0.12360633 0.25199612],[0.51813042 0.36339146 2.32791789],[0.99332709 0.92138231 0.89734263],[0.99997055 0.99990562 0.99974212],[0.99999989 0.99999999 0.9999879 ],[0.97727216 0.85930767 0.75573881],[0.9594408  0.99996884 0.96994802],[0.9999997  0.99999985 0.99999113],[0.99999904 0.99999943 0.99997091],[0.99963491 0.99916752 0.99801492],[0.9999997  0.99999985 0.99999113],[0.99999796 0.9999987  0.99923276],[18.7322523   8.17429056  7.10417508],[42.27855969 37.24131007 32.64914956],[65.42993925 77.70847752 45.91245117],[13.43301128 -4.44721613 -2.06626975],[10.99778394 42.05404846 12.27672082],[61.37364844 65.20865116 47.26511948],[56.55923146 59.42693361 40.26848469],[31.24188886 27.37539185 23.57016666],[61.37364844 65.20865116 47.26511948],[53.35063911 55.84197128 27.95364345]
0,450,[24.47752261 15.00527589  3.27677426],[1.8556292  3.09322004 1.36102608],[0.1405181  0.03375028 0.31128862],[ 52.19993039 395.23490408  74.36404316],[66.31762494  1.66804451 14.14741969],[0.21854916 0.12908898 0.26606122],[0.37149018 0.24819681 0.62990727],[6.63563101 9.42794864 3.8816973 ],[0.21854916 0.12908898 0.26606122],[0.53267258 0.37364136 2.46623913],[0.99489064 0.99784051 0.99871386],[0.9999705  0.99990562 0.99974162],[0.99999987 0.99999999 0.99998648],[0.97647578 0.85392485 0.75310005],[0.96138529 0.99997256 0.9699672 ],[0.99999966 0.99999984 0.99999011],[0.99999897 0.99999939 0.99996594],[0.99963132 0.99920462 0.99799127],[0.99999966 0.99999984 0.99999011],[0.99999784 0.99999862 0.99913796],[19.86407177 23.5245858  24.98406612],[42.269597   37.2412492  32.61566767],[64.68477559 76.48391869 45.42973158],[13.2860225  -4.88764032 -2.1342633 ],[11.20684169 42.60531281 12.27945184],[60.84843813 64.83168216 46.79336496],[56.24047411 59.15354165 39.30746419],[31.20177641 27.56112134 23.51256328],[60.84843813 64.83168216 46.79336496],[53.11021407 55.60036672 27.45229289]
0,440,[27.92792569 87.82621531 25.68621642],[1.85715035 3.09324318 1.44229818],[0.15345475 0.03964164 0.32945488],[ 53.2400838  417.16294869  74.98787912],[64.41604979  1.54330631 14.14310352],[0.23248456 0.13490423 0.28119162],[0.38540805 0.25620582 1.08890722],[6.67221468 9.19650435 3.91000339],[0.23248456 0.13490423 0.28119162],[0.54726649 0.38428217 2.61545307],[0.99330534 0.92143137 0.8972156 ],[0.99997046 0.99990562 0.99970949],[0.99999984 0.99999998 0.99998485],[0.97550688 0.84819325 0.75015788],[0.96360926 0.99997651 0.96998581],[0.99999962 0.99999982 0.99998896],[0.99999889 0.99999935 0.99989627],[0.99962702 0.99924564 0.99796486],[0.99999962 0.99999982 0.99998896],[0.99999772 0.99999854 0.9990294 ],[18.71864737  8.17698214  7.09899384],[42.26247967 37.24118421 32.11189549],[63.91981446 75.08643327 44.93707772],[13.11464636 -5.35664907 -2.20682483],[11.45953919 43.28042289 12.28210218],[60.31153862 64.44895432 46.31294915],[55.92100525 58.87768562 34.55317902],[31.15402075 27.77700989 23.44945391],[60.31153862 64.44895432 46.31294915],[52.87544387 55.35646081 26.94205794]
0,430,[27.95602125 87.80822807 25.69497722],[1.85838568 3.093268   1.50377185],[0.16798749 0.04740837 0.3490961 ],[ 54.47596681 441.88088438  75.65400513],[62.16064298  1.4010885  14.1389504 ],[0.24765573 0.14107803 0.29748904],[0.3998635  0.26455331 0.60980737],[6.71677746 8.94765499 3.94132931],[0.24765573 0.14107803 0.29748904],[0.56182039 0.39535142 2.77662252],[0.99329139 0.92146376 0.89714295],[0.99997044 0.99990562 0.99968502],[0.99999981 0.99999998 0.99998299],[0.97432424 0.84209847 0.7468744 ],[0.96615687 0.99998064 0.9700037 ],[0.99999956 0.9999998  0.99998764],[0.99999881 0.99999931 0.99996373],[0.99962176 0.99928833 0.99793521],[0.99999956 0.9999998  0.99998764],[0.99999759 0.99999846 0.99890478],[18.70991373  8.17876123  7.09603184],[42.25670394 37.24111452 31.74935758],[63.13388202 73.53236427 44.43409654],[12.91532204 -5.85663879 -2.28364191],[11.76911101 44.12015411 12.28465317],[59.76245342 64.06027788 45.82357713],[55.60118572 58.5992015  39.58914316],[31.09620178 28.0152809  23.38014213],[59.76245342 64.06027788 45.82357713],[52.64747098 55.10979951 26.42265976]
0,420,[27.9591823 44.9584519 25.7022508],[1.8593988  3.0575148  1.61143967],[0.18436859 0.05761307 0.37036609],[ 55.94451448 469.8548612   76.35560503],[59.46270331  1.23920009 14.13499386],[0.26420328 0.14763884 0.31506688],[0.41485735 0.27326186 0.66747134],[6.77223608 8.71618694 3.97610515],[0.26420328 0.14763884 0.31506688],[0.57622206 0.4068969  2.95093341],[0.99328963 0.98022551 0.89708337],[0.99997042 0.99990779 0.99963794],[0.99999977 0.99999997 0.99998086],[0.97287616 0.83563406 0.74321276],[0.96907682 0.99998485 0.97002075],[0.9999995  0.99999979 0.99998614],[0.99999872 0.99999926 0.99995052],[0.9996152  0.99932635 0.99790181],[0.9999995  0.99999979 0.99998614],[0.99999746 0.99999837 0.99876136],[18.70893166 13.99323853  7.09357344],[42.25197004 37.34209415 31.14871557],[62.32568233 71.83904475 43.92037226],[12.68427079 -6.38980899 -2.36382187],[12.15452799 45.1866368  12.2870841 ],[59.20065673 63.66545287 45.32494167],[55.28144518 58.31788498 38.80434408],[31.02477918 28.24293477 23.30383936],[59.20065673 63.66545287 45.32494167],[52.42762337 54.85977794 25.89380838]
0,410,[27.95761515 44.95928054 25.70992039],[1.86022291 3.05754048 1.67831433],[0.20290005 0.07103712 0.39343826],[ 57.68746731 501.60470155  77.07657386],[56.20506874  1.05538406 14.13127108],[0.2822874  0.15461793 0.3340517 ],[0.43038479 0.28235971 1.22704027],[6.84309407 8.60176212 4.01482957],[0.2822874  0.15461793 0.3340517 ],[0.59033514 0.41898011 3.13971123],[0.99329017 0.98022478 0.89702074],[0.99997041 0.99990779 0.99960805],[0.99999972 0.99999995 0.9999784 ],[0.97109908 0.82880749 0.73914393],[0.97241906 0.99998901 0.97003678],[0.99999944 0.99999976 0.99998442],[0.99999862 0.99999921 0.99986517],[0.99960676 0.99934314 0.99786401],[0.99999944 0.99999976 0.99998442],[0.99999733 0.99999827 0.99859588],[18.70941853 13.99307844  7.09098195],[42.2481212  37.34202118 30.79553055],[61.49377802 70.01975867 43.39546475],[12.41779153 -6.95776647 -2.44545145],[12.64391131 46.5812549  12.28937203],[58.62559119 63.26426842 44.81672297],[54.96228278 58.03341082 33.51582025],[30.93437077 28.35771694 23.21965431],[58.62559119 63.26426842 44.81672297],[52.2174482  54.60559735 25.35520245]
0,400,[27.95625786 44.96006337 25.71849613],[1.86086861 3.05756858 1.75967038],[0.22394569 0.08880938 0.41850866],[ 59.74860406 537.66734477  77.78434409],[52.23183784  0.8475129  14.12782328],[0.30209099 0.16204968 0.35458504],[0.44643328 0.29188134 0.66308352],[6.93666883 8.85702186 4.0580811 ],[0.30209099 0.16204968 0.35458504],[0.60399515 0.43168077 3.34443985],[0.9932906  0.9802241  0.89695073],[0.9999704  0.99990779 0.99956953],[0.99999966 0.99999992 0.99997556],[0.96891821 0.82164942 0.73466026],[0.97622662 0.99999292 0.97005163],[0.99999935 0.99999974 0.99998244],[0.99999851 0.99999916 0.99995308],[0.99959552 0.99929616 0.99782105],[0.99999935 0.99999974 0.99998244],[0.9999972  0.99999816 0.99840445],[18.70984022 13.99292721  7.08808519],[42.24510679 37.34194137 30.3843701 ],[60.63656676 68.08028908 42.85890766],[12.11286571 -7.56080771 -2.52484729],[13.28071483 48.48653912 12.29149151],[58.03666555 62.85650187 44.29858848],[54.64428974 57.745339   38.86163194],[30.81640175 28.10371117 23.12658214],[58.03666555 62.85650187 44.29858848],[52.01875197 54.34621144 24.8065288 ]
0,390,[27.95709302 44.95990505 25.72820887],[1.86132835 3.0576     1.82879785],[0.24794675 0.11262723 0.44579943],[ 62.16641584 578.50339454  78.41777183],[47.33493196  0.61410971 14.12469608],[0.32382356 0.169972   0.37682542],[0.46298279 0.30186498 2.96672474],[7.06563585 9.99311011 4.10653141],[0.32382356 0.169972   0.37682542],[0.61700493 0.44510274 3.56678327],[0.99328996 0.98022424 0.89687138],[0.99997041 0.99990778 0.99953602],[0.99999959 0.99999987 0.99997226],[0.96625368 0.81422794 0.72980144],[0.98051766 0.99999628 0.97006509],[0.99999926 0.99999972 0.99998017],[0.9999984  0.9999991  0.99946415],[0.99957982 0.99908235 0.99777202],[0.99999926 0.99999972 0.99998017],[0.99999708 0.99999805 0.99818239],[18.70958074 13.99295779  7.08480553],[42.24296112 37.3418521  30.04968252],[59.75225244 66.01659764 42.31020649],[11.76830439 -8.19665273 -2.59529338],[14.13578583 51.28454616 12.29341435],[57.43325205 62.44191782 43.77019281],[54.32812396 57.45321078 25.84745152],[30.65639595 27.05545205 23.0234936 ],[57.43325205 62.44191782 43.77019281],[51.83364827 54.08026012 24.24746216]
0,380,[27.9607573  44.95854387 25.73914056],[1.861579   3.05763616 1.95623867],[0.27544226 0.14516041 0.47556295],[ 64.9577809  624.29147279  78.86750134],[41.23813117  0.35671219 14.12194007],[0.34772577 0.17842673 0.40095067],[0.47999933 0.31235898 2.82883493],[ 7.25382911 12.62721106  4.16096051],[0.34772577 0.17842673 0.40095067],[0.62912996 0.45938182 3.80861071],[0.99328793 0.98022546 0.89678206],[0.99997042 0.99990778 0.99946888],[0.99999949 0.99999979 0.99996843],[0.96303977 0.80666988 0.7247021 ],[0.98524843 0.99999874 0.97007695],[0.99999915 0.99999969 0.99997755],[0.99999828 0.99999904 0.99947916],[0.99955645 0.99849155 0.99771581],[0.99999915 0.99999969 0.99997755],[0.99999695 0.99999792 0.99792407],[18.70844238 13.99322077  7.08111576],[42.24179155 37.3417494  29.46455981],[58.83880959 63.81250194 41.74883639],[11.38679737 -8.85828256 -2.64496505],[15.33344146 56.00310645 12.29510931],[56.81468353 62.02026717 43.2311778 ],[54.0146083  57.15638567 26.26084447],[30.42807457 25.02331671 22.90912471],[56.81468353 62.02026717 43.2311778 ],[51.66461367 53.80598937 23.67766491]
