seed,rmse_ica,rmse_mssa,rmse_ness,rmse_picog,rmse_sheinker,rmse_ream,rmse_ubss,rmse_waicup,rmse_b1,rmse_b2,corr_ica,corr_mssa,corr_ness,corr_picog,corr_sheinker,corr_ream,corr_ubss,corr_waicup,corr_b1,corr_b2,snr_ica,snr_mssa,snr_ness,snr_picog,snr_sheinker,snr_ream,snr_ubss,snr_waicup,snr_b1,snr_b2
65,[40.53015901 76.79291078 89.58583876],[37.35601465 75.54427769 89.50986502],[1.2854487  0.33379596 6.64928427],[ 57.61084791 146.28430297  75.72571044],[249.86728269 523.77679414 121.51913236],[239.4926337  228.82434204  93.28376363],[1.42586309 9.95445673 1.21890236],[33.07214964 61.48063236 89.09450735],[ 99.36269351 143.59687573 201.41498795],[1.3800009  0.42799061 1.29889059],[0.99357352 0.97270214 0.87438237],[0.99637745 0.97468039 0.87589777],[0.99999241 0.99999954 0.99763115],[0.97830722 0.93921847 0.54487965],[0.84497256 0.47561935 0.81137627],[0.17012667 0.17655498 0.05505808],[0.99998978 0.99902471 0.99991089],[0.99858142 0.99440789 0.90080495],[0.96013559 0.93837911 0.73784803],[0.99999129 0.99999901 0.99989025],[15.48385482  9.34304291 -3.7517907 ],[16.19221023  9.48543404 -3.74442146],[45.45832596 56.57984389 18.83749857],[12.42933563  3.74551097 -2.29187054],[-0.31476691 -7.33345956 -6.39989662],[ 0.05357777 -0.14057895 -4.10312461],[44.55786444 27.08911424 33.5736182 ],[17.25017248 11.27469898 -3.70402203],[  7.69495386   3.90656568 -10.78883911],[44.84183357 54.42078071 33.02154517]
66,[ 91.79079149 496.35889577 377.92886659],[ 93.17176292 500.26176532 380.97300488],[0.42327868 0.95185708 3.62937748],[142.68361489 471.60105827 118.56722936],[230.05246745 344.53008751 128.17610388],[245.79399861 404.76784282 264.31507317],[ 0.520683   96.30598391  2.97363708],[ 88.4909481  496.55550937 377.83908279],[ 218.2961746  1068.98104185  823.58078383],[0.56360285 0.98391323 2.78117745],[ 0.97811848  0.21617429 -0.13804933],[ 0.97660569  0.20592647 -0.12995918],[0.99999931 0.99999113 0.99874846],[0.95409017 0.28939866 0.3379089 ],[0.8875754  0.77713414 0.66452337],[0.17276878 0.07267681 0.01071253],[0.99999911 0.90452367 0.9993547 ],[ 0.98432064  0.23910801 -0.11266251],[ 0.89467908 -0.05975824 -0.19112316],[0.99999876 0.99999068 0.99924279],[  8.38343868  -6.86645069 -16.25520472],[  8.25373471  -6.93448073 -16.32488748],[55.106893   47.47803059 24.09635379],[ 4.5519389  -6.42202992 -6.18629685],[ 0.40288306 -3.69507759 -6.86314474],[ -0.17200452  -5.09465454 -13.14944202],[53.30795305  7.37640005 25.8272373 ],[  8.70144401  -6.8698906  -16.25314098],[  0.85849847 -13.52993456 -23.02112751],[52.61995743 47.19032947 26.4084226 ]
67,[25.58107762 50.52595995 13.2043715 ],[8.47261473 8.7558972  7.62583347],[0.53289509 0.38307203 1.20029638],[88.65531848 43.9471932  75.63148579],[85.40515307 23.74821507 18.75374863],[50.63137463 72.46380918 44.03563239],[ 0.51593613  0.49220771 13.7479879 ],[ 7.78847882 15.64188349  4.42451623],[50.63137463 72.46380918 44.03563239],[0.76619537 0.84851559 0.5604807 ],[0.99459778 0.97495311 0.97516802],[0.99949048 0.99926532 0.99209921],[0.99999803 0.99999856 0.99979482],[0.93970468 0.98160527 0.60805463],[0.9418475  0.99447215 0.95226939],[0.97863393 0.95242958 0.79950955],[0.99999834 0.99999762 0.98740883],[0.99969191 0.99763127 0.99805858],[0.97863393 0.95242958 0.79950955],[0.99999557 0.99999295 0.99995491],[19.48104426 12.97917403 12.8786419 ],[29.07907181 28.20345242 17.64725024],[53.10658658 55.38385672 33.70722664],[ 8.68532509 14.19084264 -2.28105606],[ 9.00973946 19.53684603  9.83123478],[13.5510266   9.84704231  2.41691183],[53.38750216 53.20649717 12.52821376],[29.81036811 23.16368457 22.37568074],[13.5510266   9.84704231  2.41691183],[49.95263047 48.47626894 40.32178335]
68,[ 66.2822614  126.15310502  67.42820172],[ 66.30267946 126.66133116  64.22671811],[0.32187086 0.69913253 0.57625078],[67.8686831  95.09888144 59.5356642 ],[214.14825575 339.02778669  37.67450675],[242.72896337 237.54649725 100.35585181],[0.48295855 3.42363912 0.51235099],[ 61.43666984 118.17574354  63.69957907],[154.66837674 262.76274672 225.72723647],[0.62391799 1.125446   0.85851165],[0.98730076 0.94698818 0.55328827],[0.98730197 0.94866059 0.60982817],[0.99999912 0.99999754 0.99996671],[0.97579878 0.93421621 0.76331944],[0.51437539 0.84245088 0.85163524],[0.05722579 0.23394965 0.15251482],[0.99999885 0.99996532 0.99996791],[0.98930158 0.97064201 0.64783645],[0.77042039 0.88036476 0.20288547],[0.99999779 0.99999415 0.99991778],[11.21147463  5.03150661 -1.28383496],[11.20879938  4.99658454 -0.86131803],[57.48578787 50.15827532 40.08076603],[11.00603252  7.48595733 -0.20254748],[ 1.02513014 -3.55524039  3.77204508],[-0.06301105 -0.46550712 -4.73785745],[53.96122371 36.3597059  41.10164491],[11.87086763  5.59889863 -0.78973466],[  3.85139042  -1.34181036 -11.77868271],[51.73687081 46.02297227 36.61807275]
69,[99.51598284 52.53212711 25.91035564],[99.85423907 50.13924751 25.73206233],[1.21093278 0.42117816 1.0521991 ],[ 82.49915921 170.89428951  68.40716218],[396.32105904 433.03103355 155.48740452],[173.45434612  54.47970352  49.16309336],[12.97057875 29.03625583 10.52243449],[96.70750426 30.01708432 22.49062081],[204.89407529  54.47970352  49.16309336],[1.14288538 0.46384925 1.15032081],[0.95708671 0.97567968 0.93902549],[0.95659817 0.97863892 0.94022029],[0.99999157 0.99999865 0.9999037 ],[0.96444244 0.89505992 0.65637645],[0.53775449 0.39541356 0.18486092],[0.74502367 0.98146145 0.88430245],[0.99944524 0.99716825 0.98450613],[0.96246584 0.9939903  0.9687297 ],[0.8598918  0.98146145 0.88430245],[0.9999924  0.99999841 0.99988632],[ 7.68156424 12.64096577  7.0235291 ],[ 7.65209084 13.04590927  7.08350469],[45.97702024 54.56014859 34.85103807],[ 9.31043052  2.39491448 -1.4090349 ],[-4.32152202 -5.68091493 -8.5409077 ],[ 2.85571725 12.32477079  1.46021256],[25.38023387 17.79065322 14.85067197],[ 7.93021746 17.5020954   8.25296772],[ 1.40883296 12.32477079  1.46021256],[46.47936743 53.72192842 34.07661709]
70,[25.6573951  49.74046174 13.52715399],[11.34300712  8.45488028 14.07569952],[0.4440501  0.49922193 1.5212998 ],[24.76911269 48.26718508 64.09997349],[ 1.64509796 11.01821565  0.98118166],[ 24.07829076 174.77992377  32.36381146],[0.2473636  0.21842038 2.5352401 ],[ 8.6588249  17.57386381  7.25332212],[233.03540975  85.79004707 308.67271423],[1.24838471 0.40829992 0.45644853],[0.99439766 0.97564843 0.97301527],[0.99889215 0.99930061 0.97273277],[0.99999831 0.9999976  0.9996594 ],[0.99478103 0.97789464 0.67127976],[0.99997671 0.99880313 0.99985842],[0.99503506 0.68269976 0.87571728],[0.99999949 0.99999963 0.99918673],[0.99937654 0.99708975 0.99220484],[0.71811387 0.93376651 0.18898683],[0.99998659 0.99999844 0.99996979],[19.45516973 13.11526925 12.66886791],[26.54485687 28.50731626 12.32359684],[54.69078152 53.08359248 31.64870041],[19.76121199 13.37642607 -0.84416041],[43.31558567 26.20724013 35.45800818],[20.00690788  2.19963459  5.09180334],[59.77270522 60.26360225 27.21261469],[28.89024182 22.15212037 18.08225729],[  0.29098263   8.38072738 -14.49696823],[45.71245215 54.82987954 42.10516037]
71,[25.88359095 50.34776838  5.45762739],[13.03673184  3.16524963  7.77312024],[0.07121122 0.1224475  0.23576395],[19.87168923 67.65673232 64.33821804],[149.54101812 245.74997445  73.5954299 ],[7.2736343  1.81484527 8.06058762],[0.19271059 0.15031185 0.26652575],[6.5408726  5.13448768 4.98849057],[7.2736343  1.81484527 8.06058762],[0.41068897 0.18169055 0.54784864],[0.99444355 0.97523671 0.99656968],[0.99861082 0.99990251 0.99212408],[0.99999997 0.99999989 0.99999226],[0.99738636 0.97118248 0.88615021],[0.94730431 0.74008191 0.77349536],[0.99975667 0.99997257 0.99208954],[0.99999973 0.99999985 0.9999916 ],[0.99975671 0.99975342 0.99731832],[0.99975667 0.99997257 0.99208954],[0.9999992  0.99999968 0.99996302],[19.37893041 13.00986099 20.55291895],[25.33604633 37.04130616 17.48108887],[70.58845269 65.2904673  47.84344871],[21.67472524 10.44324513 -0.87638398],[ 4.14421431 -0.76040413 -2.04402035],[30.40439174 41.87267343 17.16566252],[61.94130956 63.50960118 46.77821321],[31.32670717 32.83952317 21.33361347],[30.40439174 41.87267343 17.16566252],[55.3691602  61.8628188  40.51978481]
72,[28.32910373 44.46911981 13.07235439],[ 9.47866556 14.8032338   7.73779064],[0.22602023 0.41680417 0.67126283],[ 9.40158156 21.44231653 60.7755103 ],[ 20.92434867 248.49622653   2.70832458],[37.20137212 12.37194833 52.23702063],[0.26654807 0.25630758 3.7821359 ],[ 6.62742802 12.68913241  2.61320727],[37.20137212 12.37194833 52.23702063],[0.5367363  0.52065951 1.28379768],[0.99313477 0.98049878 0.9763971 ],[0.99922795 0.99792405 0.99131549],[0.99999957 0.99999849 0.99993385],[0.99947472 0.99546339 0.68017989],[0.99623845 0.71779839 0.99891884],[0.98820962 0.99873466 0.74564328],[0.99999942 0.99999946 0.99830297],[0.99965644 0.99851586 0.99922829],[0.98820962 0.99873466 0.74564328],[0.99999754 0.99999784 0.99975707],[18.59476428 14.08829483 12.96592033],[28.10447697 23.64233353 17.52065709],[60.55647487 54.65082445 38.75514458],[28.17540261 20.42403145 -0.3815757 ],[21.22638201 -0.85693046 26.63898237],[16.2282418  25.20070355  0.93342861],[59.12391011 58.87423651 23.73825398],[31.21252058 24.98082692 26.94951943],[16.2282418  25.20070355  0.93342861],[53.04420168 52.71838932 33.12306484]
73,[135.49316919 158.81415083 159.74417287],[143.00366227 162.26245648 208.44336215],[1.17730271 1.33019256 3.61052835],[ 25.38341739 106.30643585  71.88692494],[149.26113487 319.2519579   19.44880933],[255.86425842 240.71103724 273.86930184],[0.53761453 1.984351   1.16532935],[132.89944354 152.62015205 158.83496388],[ 562.6477185   444.61942428 1974.84425101],[0.96338953 1.49177745 1.16534986],[0.90664949 0.93539425 0.49647456],[0.89532965 0.93113733 0.39146468],[0.9999895  0.99998488 0.99808315],[0.9948453  0.91692845 0.61852924],[0.84636581 0.29429887 0.94796034],[0.05306971 0.09967595 0.01937003],[0.9999979  0.99996958 0.99983273],[0.91382995 0.95471374 0.51971016],[0.45678685 0.75868704 0.05482336],[0.99999308 0.99997821 0.99983273],[ 5.00107295  3.03168156 -8.77550391],[  4.53247778   2.84510457 -11.08676481],[46.22165807 44.57117524 24.14158139],[19.54841915  6.51827435 -1.84000154],[ 4.16048618 -3.03320589  9.51513621],[ -0.5207715   -0.58045459 -13.45787051],[53.03000105 41.09709562 33.9640229 ],[ 5.16895772  3.37722786 -8.72592559],[ -7.36531027  -5.91030314 -30.61766042],[47.96338249 43.57538474 33.96387001]
74,[28.00666542 88.05771455 12.98987291],[35.12039753 65.41888367  4.29305359],[0.73186352 0.37103361 0.72212867],[ 987.31168192 1227.43032874  289.13090783],[ 2.67696924  5.14662489 12.04037517],[ 61.16076436 117.20597964  22.13952897],[ 0.79804204 20.23152093  0.42305582],[ 5.40323614 12.31128215  3.00926994],[237.729108   465.53349415  22.13952897],[0.70140442 0.38775778 0.95427238],[0.99327065 0.92084323 0.97630029],[0.98953018 0.95903521 0.99746524],[0.99999545 0.99999881 0.99992343],[0.24004241 0.17368871 0.19434477],[0.9999384  0.99973898 0.97988874],[0.96941484 0.88558059 0.93195138],[0.99999457 0.99662602 0.99997429],[0.9997797  0.998731   0.99901217],[0.7129339  0.42994322 0.93195138],[0.99999582 0.99999869 0.99986962],[18.69419291  8.15411731 13.02089855],[16.72823251 10.73540292 22.6376704 ],[50.35081901 55.66120045 38.12070488],[-12.24966454 -14.7304715  -13.92889381],[39.08655334 32.81901518 13.6801962 ],[11.90996288  5.67047012  8.38962905],[49.59890558 20.92889485 42.76504318],[32.986342   25.24339981 25.72377364],[ 0.11777376 -6.30955316  8.38962905],[50.72005097 55.278255   35.69954953]
