seed,rmse_ica,rmse_mssa,rmse_ness,rmse_picog,rmse_sheinker,rmse_ream,rmse_ubss,rmse_waicup,rmse_b1,rmse_b2,corr_ica,corr_mssa,corr_ness,corr_picog,corr_sheinker,corr_ream,corr_ubss,corr_waicup,corr_b1,corr_b2,snr_ica,snr_mssa,snr_ness,snr_picog,snr_sheinker,snr_ream,snr_ubss,snr_waicup,snr_b1,snr_b2
75,[50.07943526 88.96176625 30.73904017],[29.42006815 52.23382045 22.55506112],[0.74024765 2.46364553 2.29612902],[ 77.23459959 139.55720858  76.85721867],[22.61419431 26.35281188 20.61682013],[237.5900589  225.38696955  70.4887759 ],[0.34074658 0.45580501 2.00506043],[ 6.81547149 21.63279885 17.81587628],[120.13746886 279.94908247 155.11121055],[0.38847873 1.07473723 2.00929811],[0.97829175 0.91904332 0.86175152],[0.99253997 0.97275707 0.93373702],[0.99999533 0.99994147 0.99924315],[0.95308019 0.84221208 0.59737822],[0.99559855 0.9931282  0.94297002],[0.16720064 0.25202432 0.09500622],[0.99999911 0.99999844 0.99942854],[0.99976092 0.99809183 0.96269095],[0.89094378 0.57898125 0.35337414],[0.9999988  0.99998924 0.99942182],[13.64623252  8.06539756  5.53919054],[18.26654748 12.69042966  8.22811642],[50.25188021 39.21790107 28.07307083],[ 9.88318298  4.15442002 -2.4206967 ],[20.55179858 18.63292626  9.00856295],[ 0.12285567 -0.00911058 -1.66940279],[56.99079084 53.87388365 29.25044725],[30.96950286 20.34721126 10.27685282],[ 6.04585142 -1.89211547 -8.51986716],[55.85207606 46.42341959 29.23210906]
76,[25.56430613 44.84051576 18.18189446],[13.5858146  37.22882401 43.00085934],[0.94425059 0.8034399  0.83430713],[ 84.93561095 312.61354624 100.07219214],[62.79476708  4.1684691  12.93894689],[45.49265324 72.00825546 72.89891484],[0.4069782  0.53286985 0.91307257],[ 6.8489669   5.86130639 13.11638863],[ 58.30366831 196.67668295 246.73100649],[0.58779352 0.83067837 1.02538391],[0.99451898 0.98036114 0.95961608],[0.9984962  0.98648162 0.78070402],[0.99999276 0.99999364 0.99992858],[0.94450395 0.58076737 0.51342478],[0.96798833 0.99982864 0.97594658],[0.98229659 0.95244163 0.6065766 ],[0.99999872 0.99999721 0.99991139],[0.99970305 0.99968303 0.98176686],[0.97226222 0.75216155 0.20324158],[0.99999732 0.9999932  0.99987901],[19.48674078 14.01605351 10.10021393],[24.9777073  15.63187914  2.62345389],[48.13767572 48.95039757 36.86647752],[ 9.05762467 -2.85069036 -4.71327168],[11.68095189 34.64993376 13.05501798],[14.48059564  9.90181971 -1.96142469],[55.44799803 52.5170426  36.08289061],[30.92691962 31.68957702 12.93671107],[ 12.32550337   1.174408   -12.55147802],[52.25492503 48.66080741 35.07526659]
77,[25.50512516 44.50814501 14.35275779],[2.14176573 5.85095265 4.82527642],[0.07646241 0.15702041 0.103179  ],[122.82313139 349.51746732  58.29818096],[ 56.74367539 252.28956225 114.77928833],[ 3.66993898 12.82333053  2.67308967],[0.13737965 0.21963629 0.22233983],[5.21801803 9.62515982 3.68729218],[ 3.66993898 12.82333053  2.67308967],[0.23682956 0.63537731 0.23489215],[0.99448584 0.98048128 0.97242054],[0.99996689 0.99973603 0.9976464 ],[0.99999996 0.99999976 0.99999843],[0.86662686 0.53883901 0.69842101],[0.98142535 0.71907526 0.42338154],[0.99990541 0.99864848 0.99919743],[0.99999988 0.99999963 0.99999523],[0.99979129 0.99920228 0.99836492],[0.99990541 0.99864848 0.99919743],[0.99999964 0.99999654 0.99999433],[19.50687179 14.08067561 12.15428947],[41.02398165 31.70493382 21.62255264],[69.97046168 63.13034331 55.02116997],[ 5.85381766 -3.81991219 -0.02010349],[12.56107172 -0.98852016 -5.90427397],[36.3462441  24.88944877 26.75272603],[64.88097291 60.21538357 48.35265134],[33.28930946 27.38130651 23.95884554],[36.3462441  24.88944877 26.75272603],[60.15070283 50.98883146 47.87562652]
78,[27.59465658 87.45820123 12.76123229],[2.50383237 5.40496113 3.31058091],[0.12086703 0.2308688  0.30329207],[ 58.45138348 155.86218873  38.35786812],[83.75055328 84.67423577  8.60608875],[ 9.72920574 22.10550537 22.44105159],[0.180638   0.38391648 0.23093525],[ 7.92809419 11.64818741  3.28867832],[ 9.72920574 22.10550537 22.44105159],[0.27788309 0.61515814 0.910247  ],[0.99347361 0.92211329 0.97624863],[0.99995044 0.99973953 0.99841276],[0.99999989 0.99999956 0.99998643],[0.97198992 0.82396095 0.82359824],[0.94451021 0.93779299 0.98917584],[0.99920327 0.99529706 0.93413916],[0.99999974 0.99999872 0.99999214],[0.99948687 0.9987239  0.99843084],[0.99920327 0.99529706 0.93413916],[0.99999938 0.99999662 0.99987788],[18.8229211   8.21345468 13.1751443 ],[39.66731598 32.39361399 24.89491247],[65.99326396 59.78216065 45.65577544],[12.30352507  3.19465009  3.61590735],[ 9.17966728  8.49443979 16.59688017],[27.87787322 20.15945654  8.2721325 ],[62.50323873 55.36473038 48.02319203],[29.65604495 25.72429851 24.95256868],[27.87787322 20.15945654  8.2721325 ],[58.76217851 51.26972997 36.10981149]
79,[48.52016801 50.50975562 12.91355339],[4.48847505 4.53853029 5.63348157],[0.15355446 0.44769193 0.35445231],[16.42327127 10.43607463 63.03003021],[12.81055646 18.08699312  2.15669844],[38.6849113  17.24132717 46.63589432],[0.21167764 0.34688613 0.26390617],[ 6.08612307 14.73556418  2.98903374],[38.6849113  17.24132717 46.63589432],[0.62481346 0.39086224 1.24770025],[0.97952958 0.97517975 0.97575504],[0.99982838 0.99980973 0.99535485],[0.99999984 0.99999819 0.99998196],[0.99769454 0.99893206 0.67917461],[0.99858994 0.99688426 0.99931322],[0.98734571 0.99708059 0.78089958],[0.99999968 0.99999892 0.99999014],[0.99969997 0.99807065 0.99880817],[0.98734571 0.99708059 0.78089958],[0.9999967  0.99999864 0.99977075],[13.92097505 12.98196015 13.07208134],[34.59744466 33.91116073 20.27745903],[63.91417236 54.02988026 44.30184036],[23.33022764 26.67872198 -0.69795372],[25.48806107 21.90213803 28.6172081 ],[15.88858886 22.31805164  1.9185904 ],[61.1259213  56.24572687 46.86400584],[31.95260637 23.68213013 25.78238025],[15.88858886 22.31805164  1.9185904 ],[51.72441346 55.20899108 33.37079136]
80,[28.17749837 55.72993913 20.11228029],[17.56564132 42.4142414  29.59698451],[1.28932853e-01 9.73337172e+02 2.63907976e+00],[40.69088812 71.98398513 50.93600149],[113.67099542 271.81284597  28.55158965],[237.9506171  221.53632642  65.84023787],[15.07105491 19.91095139  1.04653717],[15.28534139 29.52224414 15.82388173],[ 82.38391032 106.10885087 159.16275404],[0.62954746 1.08943357 1.36428526],[0.99376298 0.97287406 0.95553878],[0.99787785 0.98684227 0.90553344],[0.99999988 0.07952487 0.99898228],[0.98633061 0.95378166 0.76797923],[0.90604003 0.59051341 0.89823099],[0.17588752 0.20975291 0.0821428 ],[0.99896566 0.99614503 0.99988305],[0.99860789 0.99570581 0.97812555],[0.94742523 0.92798397 0.34919731],[0.99999682 0.99999049 0.99979648],[18.6413723  12.12769413  9.22377033],[22.74614076 14.49923142  5.86804728],[ 65.4321491  -12.71580069  26.86394627],[15.44947759  9.90474778  1.15249959],[ 6.52642771 -1.63593406  6.18039072],[ 0.10968426  0.1405665  -1.07683124],[24.07654793 21.06762526 34.89790344],[23.95391811 17.64647815 11.30673602],[ 9.32257294  6.53443328 -8.74383232],[51.65885144 46.30545044 32.59489282]
81,[87.25586362 82.06192301 40.62229484],[87.542722   68.89879609 39.133454  ],[0.55397767 1.17641805 0.1729788 ],[ 90.52062271 105.99196669  48.37901775],[ 95.34652734 157.29982843  12.79946411],[238.4593263  221.14079392  73.55402553],[ 0.52899251 29.08998947  0.61714304],[83.82369926 68.48733803 36.92498983],[206.57953459 137.51402562  95.63615282],[0.59037743 0.63107204 1.15229641],[0.95893699 0.96372167 0.83629149],[0.95869826 0.98129325 0.86560578],[0.99999768 0.99998997 0.99999579],[0.94233942 0.95740987 0.81625022],[0.91845889 0.71577521 0.97550246],[ 0.15501118  0.20832833 -0.19618316],[0.9999978  0.9969073  0.99996009],[0.96504564 0.98256068 0.88727641],[0.85639719 0.95886963 0.66010686],[0.99999755 0.99999613 0.99981709],[8.82352854 8.7666317  3.11770751],[ 8.79502005 10.28523283  3.44203296],[52.7695758  45.63823188 50.533139  ],[8.50447031 6.54400649 1.59985565],[ 8.05332337  3.11490052 13.14916085],[ 0.09113472  0.15608821 -2.03913234],[53.17043047 17.77459422 39.48527992],[ 9.17208451 10.33725977  3.9465889 ],[ 1.33767508  4.28252558 -4.31944536],[52.21682598 51.0478867  34.06171239]
82,[47.75628578 45.9519094  25.74404609],[25.61775089 13.24190675 48.54855473],[0.19234124 0.609555   0.93603925],[ 4.9780249  46.55442617 56.19872838],[0.43634258 5.74573341 0.31490179],[ 53.64532356  18.74246065 114.21376903],[0.26899624 0.56216181 0.30938695],[ 4.30697597 15.33716632  2.98101201],[466.90976309 163.88151358 994.19536817],[0.28959723 1.56839538 0.2714265 ],[0.98017583 0.97940531 0.89716071],[0.99438066 0.99827394 0.74108411],[0.99999969 0.99999655 0.99987419],[0.99978674 0.97926816 0.72045843],[0.99999837 0.99967458 0.99998866],[0.97610556 0.99654338 0.4658677 ],[0.99999939 0.99999712 0.99998914],[0.99987055 0.99788671 0.99874228],[0.45864178 0.8072733  0.06124681],[0.99999929 0.99997591 0.99999243],[14.05881012 13.80339426  7.0794605 ],[19.46860101 24.61045499  1.56947047],[61.95797291 51.3492075  35.86711539],[33.69827968 13.69024594  0.29846681],[54.84286915 31.86255607 45.32949409],[13.04878359 21.59293335 -5.86137268],[59.04449669 52.05223875 45.48295682],[34.95597201 23.33456296 25.80572207],[ -5.74523813   2.75886617 -24.65643812],[58.40353297 43.14035442 46.61995175]
83,[28.96103598 86.84655845 13.32281899],[18.27596768  3.64907168  8.58504388],[3.70096694 0.16268802 0.05655038],[54.4548015  70.97470932 63.41709087],[319.93091704 247.73020158 113.25828142],[4.15611954 5.47560347 6.79036232],[0.87214947 0.2118321  0.46472435],[7.08348648 7.07146845 4.67831354],[4.15611954 5.47560347 6.79036232],[0.21808823 0.41558836 0.46428771],[0.99280795 0.923249   0.97424239],[0.99713641 0.99988258 0.98953018],[0.99991745 0.99999976 0.99999961],[0.98052216 0.96730078 0.81985014],[0.67162619 0.73170868 0.6836192 ],[0.99989593 0.99975493 0.99591377],[0.99999586 0.99999973 0.99997946],[0.9995979  0.99953662 0.99759747],[0.99989593 0.99975493 0.99591377],[0.9999997  0.99999849 0.99997975],[18.40313911  8.27441324 12.80107404],[22.40181334 35.80581761 16.6181462 ],[36.27311685 62.82235429 60.24428598],[12.91869739 10.02739305 -0.75112973],[-2.46170325 -0.83011362 -5.78840276],[35.26566035 32.2808257  18.65513762],[48.82760258 60.52962989 41.94908801],[30.63447958 30.05927334 21.89121009],[35.26566035 32.2808257  18.65513762],[60.86677647 54.67619804 41.95725282]
84,[455.75447933 117.30972134  85.98599938],[458.77221618 137.13790355  86.7185806 ],[0.64556266 0.42622638 2.95888148],[249.60632809 423.53666268  66.89179154],[456.70478091 203.96799273 170.21333958],[455.80246291 246.31756423  92.80878036],[  1.68049369   1.37002087 189.3527225 ],[454.43052852 108.94767751  85.54440627],[1021.75598167  632.30859207  190.85403304],[1.79506788 0.95176583 2.21332843],[0.75300692 0.95728112 0.77854022],[0.74523385 0.91875693 0.77585514],[0.99999781 0.99999825 0.99921172],[0.69543007 0.75682067 0.7595966 ],[0.57026988 0.73563722 0.54974188],[0.06491505 0.12328576 0.17582003],[0.99999137 0.99998937 0.46034632],[0.76111122 0.97775969 0.81756793],[0.42577586 0.40687384 0.51445609],[0.99998685 0.99999159 0.99929076],[-5.53519794  5.66278544 -3.39555828],[-5.5925212   4.30631538 -3.46924663],[51.44065295 54.45665906 25.87044521],[-0.30569086 -5.4883547  -1.21445997],[-5.55329019  0.85822506 -9.32687527],[-5.53611238 -0.78044213 -4.05878472],[ 43.13068324  44.31492187 -10.25243449],[-5.50992902  6.30510597 -3.35083574],[-12.54752281  -8.96911616 -10.32103025],[42.55780346 47.4788633  28.39207934]
85,[56.40866351 60.08631229 82.28174626],[41.5454872  59.63900206 82.98240664],[0.43221104 0.559686   0.75689163],[49.3467998  92.28788175 66.49482808],[133.16514384  95.92872175  55.32418474],[103.24980873 222.56742596  61.9504812 ],[11.46307331  0.68029062  0.6966457 ],[34.42996914 39.44394429 81.34340534],[ 88.57926784 115.32586391 189.84502791],[0.68767715 0.76567216 0.71509767],[ 0.97912511  0.96459789 -0.11206438],[ 0.99145765  0.96514917 -0.1465536 ],[0.99999841 0.99999716 0.99992726],[0.98448363 0.92965292 0.88609343],[0.8362227  0.92273077 0.46132315],[0.91787848 0.16753782 0.0238446 ],[0.99942411 0.99999671 0.99993921],[ 0.99661048  0.98547499 -0.06305958],[ 0.97503335  0.89387857 -0.4355224 ],[0.99999679 0.99999487 0.99993295],[12.61250477 11.47395449 -3.01307342],[15.26894385 11.53885814 -3.08672393],[54.92550384 52.09057667 37.71232253],[13.7742411   7.74657194 -1.16276076],[5.15160972 7.41049235 0.43469613],[ 7.36163586  0.10023344 -0.5478971 ],[26.45339958 50.3955758  38.43275742],[16.9006883  15.12985877 -2.91345041],[  8.69277925   5.81093117 -10.27498796],[50.89172906 49.36860832 38.20568927]
86,[ 80.22709545  51.31029684 549.72086603],[ 80.55845824  19.55331881 551.25740401],[0.32868499 1.50369707 0.64286461],[ 10.69853094 303.21513002  45.52319354],[214.24798391 179.26623702 130.19334234],[187.78016822 171.33828336 695.90423045],[222.1292367    1.62896024 100.60616545],[ 76.18246304  16.28838854 549.34589883],[ 171.54778296   48.10021343 1175.56555237],[0.96425455 1.15545813 0.62504204],[ 0.98458777  0.97491865 -0.22586349],[ 0.98369975  0.9975856  -0.22724562],[0.99999939 0.99999253 0.99996857],[0.99951075 0.27838435 0.88733193],[0.94153981 0.8971761  0.68133347],[ 0.69769329  0.65314409 -0.15177162],[0.89939815 0.99997881 0.79057001],[ 0.98771963  0.99908253 -0.21487154],[ 0.82193647  0.98757127 -0.24953908],[0.99999647 0.9999961  0.99997021],[  9.55299959  12.84537496 -19.50984786],[  9.51719805  21.22505587 -19.53409213],[57.30382358 43.50625844 39.13060623],[27.05293803 -2.58555186  2.12834216],[ 1.02108609  1.97949545 -6.99877894],[  2.1664265    2.37237727 -21.55799295],[ 0.70730649 42.81125579 -4.75949534],[ 10.00232078  22.81190309 -19.50392115],[  2.95171878  13.40652543 -26.11194044],[47.95558699 45.79438124 39.37481207]
87,[25.6186432  50.17697608 28.01123603],[14.74024683 39.46518611 15.04594417],[0.15390258 0.29683461 0.27670018],[ 41.53008129 152.82966792  45.73088232],[ 32.98801582 103.88148311   1.73699208],[ 6.24483218 11.69767447 23.14172445],[0.4203159  0.31710318 5.27668588],[ 5.05935513 22.18461239 11.21367679],[ 6.24483218 11.69767447 23.14172445],[0.22237454 0.36607814 0.67847362],[0.994393   0.97515493 0.8780732 ],[0.99813168 0.98470264 0.96609916],[0.9999998  0.99999918 0.99998897],[0.98801082 0.91893566 0.79842816],[0.99063819 0.89023348 0.99955707],[0.99966727 0.99882555 0.93140714],[0.99999861 0.99999923 0.99658689],[0.99978866 0.995202   0.98170067],[0.99966727 0.99882555 0.93140714],[0.99999958 0.99999875 0.99993257],[19.46829847 13.0393758   6.34635112],[24.26932586 15.1251824  11.74460766],[63.89450315 57.59917471 46.45280774],[15.27216535  3.36531211  2.08880497],[17.27229709  6.71870267 30.49703981],[31.72900554 25.68747487  8.00508222],[55.16790461 57.02545361 20.84577176],[33.55751768 20.1284286  14.2980359 ],[31.72900554 25.68747487  8.00508222],[60.69771965 55.77798963 38.66233723]
88,[ 60.99287994 255.71833331 151.93657651],[ 66.62912266 255.80604974 152.04655019],[0.0607848  1.17230613 1.14298756],[ 62.70495    118.23439505  58.89034029],[113.90150162  54.46873138  14.64855027],[262.36453898 267.91976798 130.10250808],[0.08179823 1.25299    1.13065967],[ 62.17273581 249.63166212 151.33498567],[239.82713034 608.87874424 387.20991038],[0.09397976 1.4688236  1.25935654],[0.98688153 0.17656775 0.01739266],[0.98439405 0.17926584 0.01934236],[0.99999998 0.99998879 0.99980979],[0.98048991 0.96338703 0.61676542],[0.88150262 0.97580181 0.96777   ],[ 0.00975359  0.03533928 -0.04991321],[0.99999996 0.99998668 0.99983321],[0.98684455 0.24749453 0.05835409],[ 0.53521971 -0.27423909 -0.1037065 ],[0.99999995 0.99998386 0.99978044],[11.93383817 -1.1057718  -8.34025014],[11.16613908 -1.10875072 -8.34653483],[71.96352126 45.66864481 34.13216653],[11.69338445  5.59458883 -0.10788469],[ 6.50883198 12.32652029 11.97710367],[-0.73868174 -1.51062967 -6.99271679],[69.38454302 45.09051338 34.22635852],[11.76742141 -0.89652787 -8.30579021],[  0.04145475  -8.64115076 -16.4659327 ],[68.17873457 43.71007265 33.29002257]
89,[25.44615054 50.62556386 12.87761488],[20.18556983 11.5036297   1.99635247],[0.93341373 0.25987774 0.53792205],[45.00844797 53.43597802 67.1792393 ],[406.33103482 476.26180396  54.2614475 ],[10.20997106  5.62166485  8.94968664],[0.11972157 0.28875099 0.19450577],[ 6.18205421 13.14953745  3.19800437],[10.20997106  5.62166485  8.94968664],[0.53543259 0.31492968 0.70727892],[0.99461823 0.97498881 0.97627616],[0.99668279 0.99888994 0.9995931 ],[0.99999613 0.99999971 0.99995947],[0.99244667 0.98623375 0.70949273],[0.66164478 0.50841044 0.7275388 ],[0.99955036 0.99985038 0.98884308],[0.9999999  0.99999964 0.99999857],[0.99980998 0.99851234 0.99897111],[0.99955036 0.99985038 0.98884308],[0.99999869 0.99999949 0.99992992],[19.52697913 12.96206803 13.09628793],[21.53860069 25.83276763 29.28825216],[48.23793725 58.75408374 40.67860961],[14.57354022 12.49279025 -1.25170505],[-4.53817891 -6.50744955  0.60316909],[27.45893075 32.05216649 16.25683999],[66.07597282 57.83899599 49.51434682],[31.81676479 24.67125598 25.19541552],[27.45893075 32.05216649 16.25683999],[53.065325   57.08519367 38.30118227]
90,[591.53497194  56.72034625 255.52121365],[594.71184811  94.52129083 272.85186424],[1.86395881 0.18150337 6.34405193],[51.25999981 68.88099502 70.53326043],[384.20869323  32.68910872  98.65535922],[523.32247738 197.88792628 203.64958732],[9.85144832 0.31406175 0.94519996],[590.72664197  27.26617336 255.49971609],[1299.54178784  672.69183912  810.49839754],[1.63177178 0.40485899 2.56587969],[0.38405322 0.97274446 0.47097462],[0.37531609 0.92203628 0.41749751],[0.99998191 0.99999975 0.99510577],[0.97959953 0.97544319 0.74434661],[0.73926474 0.98969356 0.60652016],[0.04465918 0.48466241 0.0277545 ],[0.9997696  0.99999908 0.99994252],[0.38829035 0.99665232 0.48398743],[0.07931477 0.30536679 0.17802868],[0.99998543 0.99999848 0.99911055],[ -7.80018754  11.97468803 -12.85554265],[ -7.84671084   7.53887262 -13.42554192],[42.23069477 61.8717717  19.24566201],[13.44384897 10.28747726 -1.67488261],[-4.05192277 16.76140391 -4.58941706],[ -6.7359668    1.12107955 -10.8846741 ],[27.7694193  57.10916447 35.78252269],[ -7.78831019  18.33698167 -12.85481185],[-14.63638401  -9.50685768 -22.88204663],[43.38623263 54.90338974 27.10827081]
91,[25.45411254 48.69443322 35.14556078],[ 2.61083758  4.26199583 35.98562193],[0.4613014  0.33945964 0.82492044],[  67.13600323 1051.56489238  135.66767762],[12.81746947 47.16307658 16.42393147],[ 7.34314078  5.37333566 73.85297528],[0.29649731 0.32660001 0.747525  ],[ 4.67720103  9.59527774 33.66056932],[  7.34314078   5.37333566 124.22096806],[0.45593891 0.40826181 1.11405743],[0.99448059 0.97663154 0.81747658],[0.99994228 0.99982113 0.81534875],[0.9999983  0.99999902 0.99992002],[ 0.97023403 -0.24257063  0.34438398],[0.99859805 0.97915157 0.96351261],[0.99953705 0.99971695 0.063983  ],[0.99999934 0.99999909 0.99993705],[0.9998341  0.99914931 0.848946  ],[0.99953705 0.99971695 0.38220276],[0.99999834 0.99999847 0.99984816],[19.52426177 13.2998792   4.37558704],[39.30382386 34.4572051   4.17041633],[54.35972557 56.43370258 36.96475528],[ 11.10031131 -13.38725607  -7.35653123],[25.48337514 13.57742295 10.9834541 ],[30.32178388 32.44458609 -2.07436334],[58.19900592 56.76914164 37.82048213],[34.23970024 27.4083145   4.75056744],[30.32178388 32.44458609 -6.5909016 ],[54.46128775 54.83069042 34.354845  ]
92,[25.77785049 62.540649    6.98189782],[17.01467728 59.23311761  8.70837177],[0.18712615 0.41409558 1.54951275],[ 73.59695285 196.94352454  64.83585481],[ 68.92492745 123.71695833  34.70810225],[ 74.24117939 222.91092682  33.82590456],[34.94608576  0.37512995  1.30544258],[ 9.9912881  39.12840722  6.7340808 ],[ 40.04875003 109.09833486  33.82590456],[0.21870039 0.50667928 1.41517889],[0.99448512 0.97006203 0.99361291],[0.99791633 0.97475121 0.9903991 ],[0.99999972 0.99999881 0.99964718],[0.95224308 0.545737   0.67466503],[0.95870611 0.83806988 0.84682828],[0.95334425 0.15511346 0.87800958],[0.99534244 0.99999911 0.99975147],[0.99947877 0.99697055 0.99404333],[0.98970859 0.96184475 0.87800958],[0.99999963 0.99999836 0.99970666],[19.41448696 11.12621783 18.41352681],[23.02294665 11.59817367 16.49425736],[62.19673147 54.70745355 31.4890935 ],[10.3022243   1.16263138 -0.94330824],[10.87189462  5.20088082  4.48437922],[10.22652372  0.08683835  4.7080082 ],[16.7714502  55.56583074 32.97784108],[27.64699133 15.19962211 18.72743012],[15.58764166  6.29310306  4.7080082 ],[60.84242971 52.95480263 32.27676977]
93,[ 7.08889794 45.76747057 13.01268988],[1.58796525 3.74541187 0.87182988],[0.41071958 0.03331985 0.31959877],[131.31036964 128.74367298  44.34250443],[ 39.17299248 151.27007887  23.26577317],[4.31834351 3.75254556 1.61983081],[0.17956209 0.16601438 0.04423296],[ 5.13243264 11.37040376  4.31457032],[4.31834351 3.75254556 1.61983081],[0.36054736 0.2864555  0.05361347],[0.99956962 0.97934414 0.9763298 ],[0.9999795  0.99987924 0.99990554],[0.99999858 0.99999999 0.99998784],[0.88970567 0.95204076 0.86046497],[0.98669854 0.74068732 0.91651282],[0.9998446  0.99992578 0.99968345],[0.99999973 0.99999984 0.99999978],[0.99978002 0.99872541 0.99787767],[0.9998446  0.99992578 0.99968345],[0.99999891 0.99999952 0.99999971],[30.6278465  13.83832728 13.00565499],[43.62260106 35.57947385 36.4843616 ],[55.36851276 76.59540555 45.20089462],[5.27344049 4.8549476  2.35659222],[15.77968599  3.45440483  7.95864679],[34.93307724 35.56294603 31.10360347],[62.55512804 62.64655145 62.37807557],[33.4329558  25.93394777 22.59424556],[34.93307724 35.56294603 31.10360347],[56.50017449 57.90832227 60.70751833]
94,[49.70511346 62.86032361 32.24871543],[33.41213646 26.62004992 31.29898154],[0.34765934 0.41336348 0.49521907],[19.11790885 89.73018541 57.58387416],[ 19.36348733 206.7759899    9.3697486 ],[89.63807886 18.47599723 77.66209039],[35.47775664  0.51110273  0.48420667],[25.03007068 16.12734035 28.42231706],[ 73.28271945  18.47599723 112.78807205],[0.63256155 0.35589509 0.673222  ],[0.97967468 0.96034885 0.87870257],[0.99123065 0.99299513 0.88861471],[0.99999914 0.99999846 0.99997253],[0.99738529 0.91716794 0.72263003],[0.99694747 0.59845884 0.98694317],[ 0.93223908  0.9975226  -0.01865318],[0.98917127 0.99999846 0.99997612],[0.99563497 0.99747917 0.92481949],[0.96625192 0.9975226  0.5604703 ],[0.99999666 0.99999882 0.99993549],[13.71139958 11.08193325  5.12274819],[17.16133604 18.54528819  5.38239247],[56.81634295 54.72282335 41.39704942],[22.01061324  7.9906942   0.08697898],[21.89974946  0.73946333 15.85843782],[ 8.58957017 21.71730773 -2.51118494],[16.64029797 52.87930144 41.59238121],[19.67017945 22.89821047  6.21980699],[10.33938943 21.71730773 -5.75226688],[51.61736516 56.02302568 38.7298306 ]
95,[48.89481509 45.5047259  16.88942957],[26.01276261 54.98573891 12.7673733 ],[0.38475485 0.27345427 1.54024868],[424.39385272 603.90034824 176.66268843],[ 0.37408273  2.71179309 24.70961846],[ 67.13626386 151.3778282   22.23841435],[3.89807227 6.15668499 1.86300511],[ 4.18494389 13.68858524 10.5817553 ],[244.55865577 551.82313102  68.81454031],[0.38079138 0.25435985 1.38840554],[0.97920829 0.97988172 0.96510175],[0.99416926 0.97019937 0.97939671],[0.99999873 0.99999955 0.99971775],[0.49855584 0.35214663 0.28521679],[0.9999988  0.99992767 0.92570338],[0.9632955  0.82927872 0.93072466],[0.99986918 0.99962755 0.9995703 ],[0.99985592 0.99821625 0.98720594],[0.7015872  0.37624402 0.60907564],[0.99999876 0.99999965 0.99973663],[13.85416481 13.88833545 10.74069695],[19.33569142 12.24446419 13.17096545],[55.93573901 58.31177119 31.54117968],[-4.91596072 -8.5698401  -9.64990012],[56.1800677  38.38433452  7.43567579],[11.10027759  3.4482201   8.35092023],[35.82242324 31.26252683 29.88871566],[35.20562819 24.32229421 14.80184229],[-0.1282398  -7.78653252 -1.46060768],[56.02567872 58.94049443 32.44266983]
96,[25.46706231 45.67432485 14.43396532],[ 3.68610004  9.01215809 23.77532747],[0.38760378 0.30404666 0.77100328],[ 29.64536762 265.57694596  92.61907935],[ 89.84651827 144.74070576   3.23598135],[19.67412956 25.55683273 39.86312947],[0.31276747 0.37627741 0.34881716],[ 6.9848904  11.69537374  7.15134129],[ 19.67412956  25.55683273 183.69850552],[0.31875067 0.40571644 1.98627047],[0.99458104 0.98076515 0.97378885],[0.99991391 0.99956849 0.92101281],[0.99999893 0.99999939 0.99991794],[0.99565042 0.63844624 0.52633549],[0.93193377 0.77661737 0.99845387],[0.9967147  0.99450595 0.7339855 ],[0.99999948 0.99999961 0.99998741],[0.99969556 0.99920968 0.99487566],[0.9967147  0.99450595 0.28230744],[0.99999942 0.99999944 0.99942259],[19.51984395 13.85602277 12.10528343],[36.30807863 27.95288947  7.77046644],[55.87166096 57.39066069 37.55187205],[18.20028417 -1.43434195 -4.04101261],[ 8.56939593  3.83765178 25.09287638],[21.76151043 18.89932489  3.28156878],[57.73498945 55.53930247 44.44103983],[30.75622905 25.68918341 18.20524649],[21.76151043 18.89932489 -9.98911588],[57.57039889 54.88501342 29.33222887]
97,[25.96275733 54.01505615 21.12792703],[10.77693    20.2691153  24.51846429],[0.36513667 0.61149344 0.23426137],[34.94660283 48.66602388 53.90503605],[ 55.55566442 273.28577727  56.04009872],[55.49358914 50.44629363 53.00739307],[0.37476559 0.7605662  0.62538758],[ 7.26956677 23.74142606 16.82290853],[52.4758694  51.44956481 93.9516664 ],[0.42218385 0.93944085 1.10217433],[0.99432311 0.97283985 0.95175809],[0.99903928 0.99699004 0.92701956],[0.99999891 0.99999666 0.999994  ],[0.99091182 0.98110137 0.72491701],[0.97432876 0.58231197 0.7110779 ],[0.97318469 0.97820201 0.62327994],[0.99999883 0.9999958  0.99996297],[0.99962274 0.99553043 0.97699566],[0.97701608 0.97718059 0.50172433],[0.99999851 0.99999248 0.99983932],[19.35240469 12.39916886  8.79585882],[26.98951973 20.91276964  7.50313129],[56.39031192 51.32162946 47.89898295],[16.77132169 13.3049482   0.66040977],[12.74485405 -1.6828751   0.32301875],[12.75456468 12.99288023  0.80626767],[56.16422683 49.42672513 39.37001148],[30.40925038 19.53932946 10.77497491],[13.24022812 12.82183139 -4.16509316],[55.12938856 47.59207666 34.44799072]
